,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
0,The Decline of the Northeastern Ohio Steel Market: Why Did Attempts by Union Leaders and Concerned Citizens to Revive the Steel Industry Ultimately Fail?,The Decline of the Northeastern Ohio Steel Market: Why Did Attempts by Union Leaders and Concerned Citizens to Revive the Steel Industry Ultimately Fail?,Fail,Market,,CANNOT_DECIDE,['CANNOT_DECIDE'],
1,"An Extended Essay in History By Philosophy E. Walker Candidate Number: xxxxxxxxx Supervisor: Alexis Mamaux Date: January 12, 2004 Word Count: 3215 United World College of the American West Montezuma, NM 87731 USA","An Extended Essay in History By Philosophy E. Walker Candidate Number: xxxxxxxxx Supervisor: Alexis Mamaux Date: January 12, 2004 Word Count: 3215 United World College of the American West Montezuma, NM 87731 USA",,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
2,"September 19, 1977 became a date","September 19, 1977 is a date",is,USA,became,DYNAMIC,['DYNAMIC'],becoming
3,"that few people in Youngstown, Ohio will ever forget.","that few people in Youngstown, Ohio will ever forget.",forget,people,,DYNAMIC,['DYNAMIC'],
4,"On that date Jennings Lambeth, president of Youngstown Sheet and Tube Company, thought","On that date Jennings Lambeth, president of Youngstown Sheet and Tube Company, announced",announced,Lambeth,thought,STATIVE,['DYNAMIC'],thought
5,that most of the steel companys Campbell Works would close.,that most of the steel companys Campbell Works would close.,close,most,,DYNAMIC,['DYNAMIC'],
6,"Although for other cities this would simply create a minor economic setback, for the people of Youngstown and the surrounding area,","Although for other cities this would simply be a minor economic setback, for the people of Youngstown and the surrounding area,",be,this,create,DYNAMIC,['DYNAMIC'],participant
7,it meant disaster.,it meant disaster.,meant,it,,STATIVE,['STATIVE'],
8,"Mahoning County was treated as a one-industry area,","Mahoning County was a one-industry area,",was,County,treated,DYNAMIC,['STATIVE'],participant
9,"and the people of Youngstown, Struthers, Campbell, Boardman Township, and the numerous other small towns and villages in the area only had one main employer: the steel mills.","and the people of Youngstown, Struthers, Campbell, Boardman Township, and the numerous other small towns and villages in the area only had one main employer: the steel mills.",had,area,,STATIVE,['STATIVE'],
10,The events that were on this date,The events that would follow this date,follow,events,were,STATIVE,['STATIVE'],copula
11,(known as Black Monday),(known as Black Monday),known,events,,STATIVE,['DYNAMIC'],
12,are seen by the people,are seen by the people,seen,events,,STATIVE,['DYNAMIC'],
13,who witnessed them either as stories of great courage and determination or as monuments to human failure and false hope.,who witnessed them either as stories of great courage and determination or as monuments to human failure and false hope.,witnessed,people,,DYNAMIC,['DYNAMIC'],
14,Rather than sit back,Rather than sit back,sit,than,,CANNOT_DECIDE,['CANNOT_DECIDE'],
15,and wait,and wait,wait,than,,CANNOT_DECIDE,['CANNOT_DECIDE'],
16,"for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open.","for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open.",fought,workers,,DYNAMIC,['DYNAMIC'],
17,Those in the industry wanted to preserve the only source of employment,"Petitions, protests, rallies, collectivization, and even the takeover of a steel companys headquarters were all attempted in a desperate movement by those in the industry to preserve the only source of employment",attempted,collectivization,wanted,STATIVE,['STATIVE'],thought
18,that this town had.,that this town had.,had,source,,STATIVE,['DYNAMIC'],
19,They meant well with their efforts but ultimately failed,"These well-intentioned efforts ultimately failed,",failed,efforts,meant well,STATIVE,['DYNAMIC'],thought
20,leaving thousands with shattered dreams and a distinct lack of trust in fellow humankind.,leaving thousands with shattered dreams and a distinct lack of trust in fellow humankind.,leaving,,,DYNAMIC,['CANNOT_DECIDE'],
21,But why did the brave attempts by union leaders and concerned citizens to revive the steel industry ultimately fail?,But why did the brave attempts by union leaders and concerned citizens to revive the steel industry ultimately fail?,fail,attempts,,CANNOT_DECIDE,['CANNOT_DECIDE'],
22,"Based on the area’s history, culture, and economic situation","When examining the areas history, culture, and economic situation",examining,identify,based on,STATIVE,['STATIVE'],downgrade_to_ppl
23,we can identify four main reasons:,we can identify four main reasons:,identify,we,,DYNAMIC,['STATIVE'],
24,"the refusal of the international leadership of United Steelworkers of America to support their unions Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism","the refusal of the international leadership of United Steelworkers of America to support their unions Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism",support,refusal,,CANNOT_DECIDE,['CANNOT_DECIDE'],
25,"which caused animosity between different small towns in the region,","which caused animosity between different small towns in the region,",caused,regionalism,,DYNAMIC,['DYNAMIC'],
26,all contributed in some way to the failure of the workers and union leaders to save the industry.,all contributed in some way to the failure of the workers and union leaders to save the industry.,contributed,all,,DYNAMIC,['DYNAMIC'],
27,"Most importantly, the problem in Youngstown amounted to a nationwide problem.","Most importantly, the problem in Youngstown was a nationwide problem.",was,problem,amounted,DYNAMIC,['STATIVE'],descriptive
28,"Although it was in Youngstown and the surrounding area more than in other regions,","Although it affected Youngstown and the surrounding area more than it affected other regions,",affected,it,was,STATIVE,['STATIVE'],copula
29,the local people simply could not solve a national crisis on a local level.,the local people simply could not solve a national crisis on a local level.,solve,people,,DYNAMIC,['STATIVE'],
30,A Brief History of Steel in Northeastern Ohio,A Brief History of Steel in Northeastern Ohio,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
31,"In 1802, Yellow Creek was lined with ore and coal in an area outside of Youngstown",In 1802 James and Daniel Heaton discovered ore and coal lining Yellow Creek in an area outside of Youngstown,discovered,History,lined,STATIVE,['DYNAMIC'],participant
32,known as Poland Township.,known as Poland Township.,known,area,,STATIVE,['STATIVE'],
33,"Their blast furnace, “Hopewell,” served as the very first blast furnace in the area.","Their blast furnace, Hopewell, was the very first blast furnace in the area.",was,furnace,served,DYNAMIC,['DYNAMIC'],participant
34,"During the Civil War, Youngstown was a supply depot offering the Union army access to iron products.","During the Civil War, Youngstown played a vital role in supplying the Union army with iron products.",played,Youngstown,played,STATIVE,['DYNAMIC'],participant
