,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
0,"Blackjack, which people have labeled twenty-one,","Blackjack, also known as twenty-one,",known,Blackjack,labeled,DYNAMIC,['STATIVE'],NEW PARTICIPANT
1,is the most widely played casino banking game in the world.,is the most widely played casino banking game in the world.,is,Blackjack,,STATIVE,['STATIVE'],
2,"Blackjack plays as a comparing card game between a player and dealer,","Blackjack is a comparing card game between a player and dealer,",is,Blackjack,plays,DYNAMIC,['STATIVE'],INSERT VERB
3,meaning,meaning,meaning,game,,STATIVE,['CANNOT_DECIDE'],
4,that players compete against the dealer but not against any other players.,that players compete against the dealer but not against any other players.,compete,players,,DYNAMIC,['STATIVE'],
5,It contains one or more decks of 52 cards.,It is played with one or more decks of 52 cards.,played,It,contains,STATIVE,['STATIVE'],DESCRIPTIVE VERB
6,"The game is won if you ""beat the dealer","The object of the game is to ""beat the dealer",is,object,won,DYNAMIC,['DYNAMIC'],INSERT VERB
7,"'', which can be done in a number of ways:","'', which can be done in a number of ways:",done,dealer,,DYNAMIC,['STATIVE'],
8,* Get 21 points on the player's first two cards,* Get 21 points on the player's first two cards,Get,object,,CANNOT_DECIDE,['STATIVE'],
9,"(called a blackjack), without a dealer blackjack;","(called a blackjack), without a dealer blackjack;",called,Get,,STATIVE,['STATIVE'],
10,* Reach a final score higher than the dealer without exceeding 21; or,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,object,,CANNOT_DECIDE,['CANNOT_DECIDE'],
11,* Let the dealer,* Let the dealer,Let,object,,CANNOT_DECIDE,['CANNOT_DECIDE'],
12,draw additional cards,draw additional cards,draw,dealer,,CANNOT_DECIDE,['CANNOT_DECIDE'],
13,until his or her hand exceeds 21.,until his or her hand exceeds 21.,exceeds,hand,,DYNAMIC,['DYNAMIC'],
14,The player or players know that they are dealt an initial two-card hand,The player or players are dealt an initial two-card hand,dealt,players,know,STATIVE,['DYNAMIC'],THOUGHT VERB
15,and add together the value of their cards.,and add together the value of their cards.,add,player,,DYNAMIC,['CANNOT_DECIDE'],
16,"Face cards (kings, queens, and jacks)","Face cards (kings, queens, and jacks)",,,CANNOT_DECIDE,CANNOT_DECIDE,['CANNOT_DECIDE'],
17,are counted as ten points.,are counted as ten points.,counted,cards,,DYNAMIC,['DYNAMIC'],
18,A player and the dealer want his or her own ace as 1 point or 11 points.,A player and the dealer can count his or her own ace as 1 point or 11 points.,count,dealer,want,STATIVE,['STATIVE'],THOUGHT VERB
19,All other cards appear as the numeric value,All other cards are counted as the numeric value,counted,cards,appear,STATIVE,['STATIVE'],DESCRIPTIVE VERB
20,shown on the card.,shown on the card.,shown,value,,STATIVE,['STATIVE'],
21,"After receiving their initial two cards, players may pursue the option of getting a ""hit"",","After receiving their initial two cards, players have the option of getting a ""hit"",",have,players,pursue,DYNAMIC,['DYNAMIC'],HEAVY VERB
22,or taking an additional card.,or taking an additional card.,taking,option,,DYNAMIC,['DYNAMIC'],
23,"In a given round,","In a given round,",given,,CANNOT_DECIDE,CANNOT_DECIDE,['DYNAMIC'],
