,Clause,mainVerb,mainReferent,Gold,predictions,Contrast,Contrast_Labels
0,The Decline of the Northeastern Ohio Steel Market: Why Did Attempts by Union Leaders and Concerned Citizens to Revive the Steel Industry Ultimately Fail?,Fail,Market,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
1,"An Extended Essay in History By Philosophy E. Walker Candidate Number: xxxxxxxxx Supervisor: Alexis Mamaux Date: January 12, 2004 Word Count: 3215 United World College of the American West Montezuma, NM 87731 USA",,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
2,"September 19, 1977 became a date",is,USA,DYNAMIC,['DYNAMIC'],y,STATIVE
3,"that few people in Youngstown, Ohio will ever forget.",forget,people,DYNAMIC,['DYNAMIC'],,STATIVE
4,"On that date Jennings Lambeth, president of Youngstown Sheet and Tube Company, thought",announced,Lambeth,STATIVE,['DYNAMIC'],y,DYNAMIC
5,that most of the steel companys Campbell Works would close.,close,most,DYNAMIC,['DYNAMIC'],,STATIVE
6,"Although for other cities this would simply create a minor economic setback, for the people of Youngstown and the surrounding area,",be,this,DYNAMIC,['DYNAMIC'],y,STATIVE
7,it meant disaster.,meant,it,STATIVE,['STATIVE'],,DYNAMIC
8,"Mahoning County was treated as a one-industry area,",was,County,DYNAMIC,['STATIVE'],y,STATIVE
9,"and the people of Youngstown, Struthers, Campbell, Boardman Township, and the numerous other small towns and villages in the area only had one main employer: the steel mills.",had,area,STATIVE,['STATIVE'],,DYNAMIC
10,The events that were on this date,follow,events,STATIVE,['STATIVE'],y,DYNAMIC
11,(known as Black Monday),known,events,STATIVE,['DYNAMIC'],,DYNAMIC
12,are seen by the people,seen,events,STATIVE,['DYNAMIC'],,DYNAMIC
13,who witnessed them either as stories of great courage and determination or as monuments to human failure and false hope.,witnessed,people,DYNAMIC,['DYNAMIC'],,STATIVE
14,Rather than sit back,sit,than,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
15,and wait,wait,than,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
16,"for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open.",fought,workers,DYNAMIC,['DYNAMIC'],,STATIVE
17,Those in the industry wanted to preserve the only source of employment,attempted,collectivization,STATIVE,['STATIVE'],y,DYNAMIC
18,that this town had.,had,source,STATIVE,['DYNAMIC'],,DYNAMIC
19,They meant well with their efforts but ultimately failed,failed,efforts,STATIVE,['DYNAMIC'],y,DYNAMIC
20,leaving thousands with shattered dreams and a distinct lack of trust in fellow humankind.,leaving,,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
