Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,Strategy
"Blackjack, which people have labeled twenty-one,","Blackjack, also known as twenty-one,",known,Blackjack,labeled,DYNAMIC,participant
is the most widely played casino banking game in the world.,is the most widely played casino banking game in the world.,is,Blackjack,,STATIVE,
"Blackjack plays as a comparing card game between a player and dealer,","Blackjack is a comparing card game between a player and dealer,",is,Blackjack,plays,DYNAMIC,insert_verb
meaning,meaning,meaning,game,,STATIVE,
that players compete against the dealer but not against any other players.,that players compete against the dealer but not against any other players.,compete,players,,DYNAMIC,
It contains one or more decks of 52 cards.,It is played with one or more decks of 52 cards.,played,It,contains,STATIVE,descriptive
"The game is won if you ""beat the dealer","The object of the game is to ""beat the dealer",is,object,won,DYNAMIC,insert_verb
"'', which can be done in a number of ways:","'', which can be done in a number of ways:",done,dealer,,DYNAMIC,
* Get 21 points on the player's first two cards,* Get 21 points on the player's first two cards,Get,object,,CANNOT_DECIDE,
"(called a blackjack), without a dealer blackjack;","(called a blackjack), without a dealer blackjack;",called,Get,,STATIVE,
* Reach a final score higher than the dealer without exceeding 21; or,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,object,,CANNOT_DECIDE,
* Let the dealer,* Let the dealer,Let,object,,CANNOT_DECIDE,
draw additional cards,draw additional cards,draw,dealer,,CANNOT_DECIDE,
until his or her hand exceeds 21.,until his or her hand exceeds 21.,exceeds,hand,,DYNAMIC,
The player or players know that they are dealt an initial two-card hand,The player or players are dealt an initial two-card hand,dealt,players,know,STATIVE,thought
and add together the value of their cards.,and add together the value of their cards.,add,player,,DYNAMIC,
"Face cards (kings, queens, and jacks)","Face cards (kings, queens, and jacks)",nan,nan,CANNOT_DECIDE,CANNOT_DECIDE,CANNOT_DECIDE
are counted as ten points.,are counted as ten points.,counted,cards,,DYNAMIC,
A player and the dealer want his or her own ace as 1 point or 11 points.,A player and the dealer can count his or her own ace as 1 point or 11 points.,count,dealer,want,STATIVE,thought
All other cards appear as the numeric value,All other cards are counted as the numeric value,counted,cards,appear,STATIVE,descriptive
shown on the card.,shown on the card.,shown,value,,STATIVE,
"After receiving their initial two cards, players may pursue the option of getting a ""hit"",","After receiving their initial two cards, players have the option of getting a ""hit"",",have,players,pursue,DYNAMIC,heavy_verb
or taking an additional card.,or taking an additional card.,taking,option,,DYNAMIC,
"In a given round,","In a given round,",given,nan,CANNOT_DECIDE,CANNOT_DECIDE,CANNOT_DECIDE
