Clause,mainVerb,mainReferent,Gold
Papyrus is a thin paper-like material,is,Papyrus,STATIVE
"made from the pith of the papyrus plant, Cyperus papyrus, a wetland sedge",made,material,DYNAMIC
that was once abundant in the Sudd of Southern Sudan along with the Nile Delta of Egypt.,was,plant,STATIVE
Papyrus is first known to have been used in ancient Egypt,known,Papyrus,STATIVE
"(at least as far back as the First Dynasty), but it was also used throughout the Mediterranean region and in Kingdom of Kush.",used,Papyrus,DYNAMIC
"Ancient Egyptians are thought to have used papyrus as a writing material, as well as employing it commonly in the construction of other artifacts such as reed boats, mats, rope, sandals, and baskets.",thought,Egyptians,STATIVE
== History ==,,,CANNOT_DECIDE
Papyrus was first manufactured in Egypt and Southern Sudan as far back as the fourth millennium BCE.,manufactured,History,DYNAMIC
"The earliest archaeological evidence of papyrus was excavated in 2012-2013 at Wadi al-Jarf, an ancient Egyptian harbor",excavated,evidence,DYNAMIC
located on the Red Sea coast.,located,harbor,STATIVE
These documents date from ca.,date,documents,STATIVE
25602550 BCE (end of the reign of Khufu).,,,CANNOT_DECIDE
"In the first centuries BCE and CE, papyrus scrolls gained a rival as a writing surface in the form of parchment,",gained,scrolls,DYNAMIC
which was prepared from animal skins.,prepared,form,DYNAMIC
Sheets of parchment were folded to form quires,folded,Sheets,DYNAMIC
from which book-form codices were fashioned.,fashioned,codices,DYNAMIC
"Early Christian writers soon adopted the codex form,",adopted,writers,DYNAMIC
"and in the Grco-Roman world, it became common to cut sheets from papyrus rolls to form codices.",became,writers,DYNAMIC
"Codices were an improvement on the papyrus scroll,",were,Codices,STATIVE
as the papyrus was not pliable enough to fold without cracking,was,papyrus,STATIVE
"and a long roll, or scroll, was required to create large-volume texts.",required,papyrus,STATIVE
"Papyrus had the advantage of being relatively cheap and easy to produce,",had,Papyrus,STATIVE
but it was fragile and susceptible to both moisture and excessive dryness.,was,it,STATIVE
"Unless the papyrus was of perfect quality,",was,papyrus,STATIVE
"the writing surface was irregular,",was,surface,STATIVE
and the range of media that could be used was also limited.,was,range,STATIVE
"Papyrus was replaced in Europe by the cheaper, locally produced products parchment and vellum, of significantly higher durability in moist climates,",replaced,Papyrus,DYNAMIC
though Henri Pirenne's connection of its disappearance with the Muslim overrunning of Egypt is contended.,contended,connection,STATIVE
"Its last appearance in the Merovingian chancery is with a document of 692,",is,appearance,STATIVE
though it was known in Gaul until the middle of the following century.,known,it,STATIVE
The latest certain dates for the use of papyrus are 1057 for a papal decree,are,dates,STATIVE
"(typically conservative, all papal bulls were on papyrus until 1022), under Pope Victor II, and 1087 for an Arabic document.",were,1057,STATIVE
Its use in Egypt continued,continued,use,STATIVE
until it was replaced by more inexpensive paper,replaced,it,DYNAMIC
introduced by Arabs.,introduced,paper,DYNAMIC
"By the 12th century, parchment and paper were in use in the Byzantine Empire,",were,parchment,STATIVE
but papyrus was still an option.,was,papyrus,STATIVE
Papyrus was made in several qualities and prices;,made,Papyrus,DYNAMIC
"these are listed, with minor differences, both by Pliny and Isidore of Seville.",listed,these,STATIVE
"Until the middle of the 19th century, only some isolated documents written on papyrus were known.",known,documents,STATIVE
They did not contain literary works.,contain,They,STATIVE
The first discovery of papyri rolls in modern days was made at Herculaneum in 1752.,made,discovery,DYNAMIC
"Before that date, the only papyri known were a few surviving from medieval times.",were,papyri,STATIVE
== Etymology ==,,,CANNOT_DECIDE
"The English word ""papyrus"" derives, via Latin, from Greek ",derives,papyrus,STATIVE
"(papuros), a loanword of unknown (perhaps Pre-Greek) origin.",,,CANNOT_DECIDE
