Clause,mainVerb,mainReferent,Gold
The Entrepreneur Is the New Madonna,Is,Entrepreneur,STATIVE
"Dear Joe,",,,CANNOT_DECIDE
I know,know,I,STATIVE
what you mean about being a journalist.,mean,you,STATIVE
Almost every assignment is a challenge in a different way,is,assignment,STATIVE
and it never seems to get easier.,seems,challenge,STATIVE
I often feel,feel,I,STATIVE
"as if I only get half the story sometimes,",get,I,DYNAMIC
so I typically do a massive amount of reporting,do,I,DYNAMIC
that is most often much more,is,amount,STATIVE
than I will ever need.,need,I,STATIVE
I think,think,I,STATIVE
that is why I welcomed doing a book --,is,that,DYNAMIC
it gives one the ability to use so much of what is left on the cutting room floor of daily journalism.,gives,it,DYNAMIC
Think of all the good stuff,Think,,CANNOT_DECIDE
we all collect daily in our reporting,collect,we,DYNAMIC
that we never add to stories.,add,we,DYNAMIC
Most often reporters recount these tales with each other and with their sources,recount,reporters,DYNAMIC
rather than share them with the general public.,share,reporters,DYNAMIC
"Much of it, of course, using the standards of top newspapers, cannot be used",used,Much,DYNAMIC
since it is largely gossip,is,it,STATIVE
"we are repeating,",repeating,we,DYNAMIC
although it certainly could make for some very good stories.,make,it,DYNAMIC
I often wonder,wonder,I,STATIVE
when a really great fictional book will be written about this era,written,book,DYNAMIC
(probably decades and decades hence as it is too close).,is,it,STATIVE
"In any case, there certainly is no lack of information available about the moguls of technology now",is,lack,STATIVE
as they all become our current pop icons.,become,they,DYNAMIC
I would posit,posit,I,DYNAMIC
that Bill and Michael and Steve and Jerry have become the Madonnas of the current age of stock market mania and celebration of the entrepreneur.,become,Steve,DYNAMIC
So the shift in the image of Gates has been an interesting one,been,So,STATIVE
for me to watch.,watch,shift,CANNOT_DECIDE
The smart-boy technologist is now being painted as the whiny bully.,painted,technologist,DYNAMIC
I personally always thought,thought,I,STATIVE
it was a risk to pin the image of Microsoft on just one man --,was,it,STATIVE
"at AOL, for example, there was a conscious effort to develop other ""characters,"" for lack of a better word.",was,effort,STATIVE
"So there, while you think of Case,",think,you,STATIVE
you also think of Pittman and Leonsis and increasingly a range of other executives.,think,you,STATIVE
"Steve Ballmer, of course, is now getting a lot more attention at Microsoft,",getting,Ballmer,DYNAMIC
but it still seems to be Bill's show over there.,seems,Ballmer,STATIVE
While I did not attend the trial --,attend,I,DYNAMIC
"I was lucky to be able to read your highly amusing and informative dispatches,",was,I,STATIVE
several of which made me spit up my lunch laughing --,made,several,DYNAMIC
it certainly seemed,seemed,it,STATIVE
as if the image of Bill Gates took a beating,took,image,DYNAMIC
and the insular culture of Microsoft did not look so good.,look,image,STATIVE
"That's ironic,",'s,That,STATIVE
since I think,think,I,STATIVE
it was just that insularity,was,it,STATIVE
"that helped them, much in the same way",helped,insularity,DYNAMIC
that AOL has benefited from being in the Virginia suburbs rather than in Silicon Valley.,benefited,way,DYNAMIC
AOL would never have existed,existed,AOL,STATIVE
"if it had been founded here,",founded,it,DYNAMIC
"I am sure,",am,I,STATIVE
since its employees would have been mocked into obscurity by the digerati.,mocked,employees,DYNAMIC
"Out in the D.C. area, they looked positively exciting next to all the government-oriented contractors.",looked,they,STATIVE
I wonder,wonder,I,STATIVE
if that means,means,that,STATIVE
"geography is destiny,",is,geography,STATIVE
"and it's still location, location, location.",'s,it,STATIVE
"From where I am sitting,",sitting,I,STATIVE
I think,think,I,STATIVE
the Microsoft trial has been the really obvious turning point between the computer era and the digital age.,been,trial,STATIVE
I think,think,I,STATIVE
it almost does not matter,matter,it,STATIVE
what the judge does since it's clear,does,judge,STATIVE
"that the balance of power is shifting again, although it not clear",shifting,balance,DYNAMIC
where it will land.,land,it,DYNAMIC
"Will the strongman of the era be AOL, AT&T, Microsoft, or one of the big media companies?",be,strongman,CANNOT_DECIDE
Or will it be none of them,be,it,CANNOT_DECIDE
because the Internet allows and encourages a plethora of strong companies and a complex interconnection of businesses,allows,Internet,CANNOT_DECIDE
where none are allowed to dominate?,allowed,none,CANNOT_DECIDE
I always use two simple words,use,I,DYNAMIC
when people tell me that one company,tell,people,DYNAMIC
-- whether it is AOL or Microsoft or Disney --,is,it,STATIVE
is in charge of all our destinies:,is,company,STATIVE
Babylon was.,was,Babylon,STATIVE
That incredible empire dominated the world,dominated,empire,DYNAMIC
and I imagine,imagine,empire,STATIVE
it did not seem possible to people,seem,it,STATIVE
living then,living,people,CANNOT_DECIDE
that anyone could loosen that empire's grip on humanity.,loosen,anyone,DYNAMIC
But we all know,know,we,STATIVE
how that story turned out.,turned,story,DYNAMIC
"Now I am getting way too philosophical,",am,,DYNAMIC
"but this is my final missive, so why not?",is,not,STATIVE
Perhaps you could hasten a prediction of where this is all going.,hasten,you,DYNAMIC
"As for me, I'll stick with my philosophy of reporting and,",stick,I,STATIVE
"I guess,",guess,reporting,STATIVE
life -- nobody knows.,knows,nobody,STATIVE
"Cheers, Kara",Cheers,Kara,CANNOT_DECIDE
