Clause,mainVerb,mainReferent,Gold
"June 6, 2000",,,CANNOT_DECIDE
Name,Name,June,CANNOT_DECIDE
Address,,,CANNOT_DECIDE
"City, ST Zip",,,CANNOT_DECIDE
Dear Name:,Name,City,CANNOT_DECIDE
Pat LaCrosse asked me to send this information,asked,LaCrosse,DYNAMIC
inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,inviting,,DYNAMIC
"The SCS brochure I am enclosing will give you the historic significance of SCS, as well as listing activities and specific benefits",give,brochure,DYNAMIC
awarded to donors at the Georgia O'Keeffe level.,awarded,benefits,DYNAMIC
"Your Georgia O'Keeffe membership, please note, includes free admission to all art-related activities of the IMA's Young Friends of Art group.",includes,membership,STATIVE
"Additionally, I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events, exhibitions, and educational programs.",sending,I,DYNAMIC
These are particularly exciting times at the Indianapolis Museum of Art:,are,These,STATIVE
"Progress continues on the J.K. Lilly estate-Oldfields,",continues,Progress,DYNAMIC
"our Ravine Garden has been restored to its original splendor,",restored,Garden,DYNAMIC
and there is national attention,is,These,STATIVE
showered on our current exhibition of Japanese Painting.,,,CANNOT_DECIDE
(please see,see,,CANNOT_DECIDE
The New York Times article I have included.),included,I,DYNAMIC
"With thousands of trees and flowers in bloom, we are having a beautiful Spring!",having,we,STATIVE
"Our extraordinary permanent collection, facility, and grounds, we understand full well,",understand,we,STATIVE
would not be possible without the philanthropic support of civic-minded men and women.,be,collection,STATIVE
"In joining SCS,",joining,you,DYNAMIC
you join the ranks of those,join,you,DYNAMIC
who believe,believe,those,STATIVE
"that bringing art and art education to the city makes life better, richer, and more rewarding for the entire community.",makes,those,DYNAMIC
A Second Century Society response card and return envelope are enclosed.,enclosed,envelope,STATIVE
Should you have questions or,have,ext.,STATIVE
"if I can be of assistance in any way, please call me: 317.923.1331, ext. 248.",ext.,,CANNOT_DECIDE
"Sincerely, ARLETTA B.NEWTON Donor Relations Coordinator Enclosures/",/,Enclosures,CANNOT_DECIDE
P .,,,CANNOT_DECIDE
"S. Both our Barefoot in the Grass family picnic (July 23,2000) and the annual SCS Founders Day celebration",,,CANNOT_DECIDE
"(October 11,2000) are free for Georgia O'Keeffe members.",are,S.,STATIVE
Mark your calendars!,Mark,,CANNOT_DECIDE
