Clause,mainVerb,mainReferent,Gold
Antireligion is opposition to religion.,is,Antireligion,STATIVE
Antireligion is distinct from atheism,is,Antireligion,STATIVE
"(the absence of a belief in deities) and antitheism (an opposition to belief in deities),",,,CANNOT_DECIDE
although antireligionists may be atheists or antitheists.,be,antireligionists,STATIVE
"The term may be used to describe opposition to organized religion,",used,term,DYNAMIC
or to describe a broader opposition to any form of belief in the supernatural or the divine.,describe,,CANNOT_DECIDE
== History ==,,,CANNOT_DECIDE
"According to historian Michael Burleigh, antireligion found its first mass expression in revolutionary France in response to organised resistance to ""organised ... irreligion...an 'anti-clerical' and self-styled 'non-religious' state.""",According,,DYNAMIC
"The Soviet Union directed antireligious campaigns at all faiths,",directed,Union,DYNAMIC
"including Christian, Islamic, Buddhist and Shamanist religions.",including,,STATIVE
"In the 1930s, during the Stalinist period, the government destroyed church buildings",destroyed,government,DYNAMIC
"or put them into secular use (as museums of religion and atheism, clubs or storage facilities),",put,government,DYNAMIC
"executed clergy,",executed,destroyed,DYNAMIC
prohibited the publication of most religious material,prohibited,destroyed,DYNAMIC
and persecuted some members of religious groups.,persecuted,government,DYNAMIC
Less violent attempts to reduce or eliminate the influence of religion in society were also carried out at other times in Soviet history.,carried,attempts,DYNAMIC
"For instance, it was usually necessary to be an atheist",was,it,STATIVE
in order to acquire any important political position or any prestigious scientific job;,acquire,,CANNOT_DECIDE
thus many people became atheists,became,people,DYNAMIC
in order to advance their careers.,advance,,CANNOT_DECIDE
"Different sources disagree on the results of all this, with some",disagree,sources,STATIVE
"claiming the death of 21 million Russian Orthodox Christians by the Soviet government,",claiming,sources,DYNAMIC
"not including other religious groups or persecutions without killings, and other sources",including,claiming,STATIVE
stating,stating,sources,DYNAMIC
"that only up to 500,000 Russian Orthodox Christians were persecuted by the Soviet government,",persecuted,Christians,DYNAMIC
not including other religious groups.,including,,STATIVE
"The atheist state of the People's Republic of Albania had an objective for the eventual destruction of all religion in Albania,",had,state,STATIVE
including a constitutional ban on religious activity and propaganda.,including,,STATIVE
The government nationalised most property,nationalised,government,DYNAMIC
of religious institutions and used it for non-religious purposes.,used,government,DYNAMIC
Religious literature was banned.,banned,literature,DYNAMIC
"Many clergy and theists were tried, tortured, and executed.",tried,theists,DYNAMIC
All foreign Roman Catholic clergy were expelled in 1946.,expelled,clergy,DYNAMIC
Albania was the only country,was,Albania,STATIVE
that ever officially banned religion.,banned,country,DYNAMIC
"The Khmer Rouge attempted to eliminate Cambodia's cultural heritage,",attempted,Rouge,DYNAMIC
