Clause,mainVerb,mainReferent,Gold
Grimpoteuthis is a genus of pelagic umbrella octopus,is,Grimpoteuthis,STATIVE
that live in the deep sea.,live,genus,STATIVE
Prominent ear-like fins protrude from the mantle just above their lateral eyes.,protrude,fins,STATIVE
They have a U or V shaped shell in their mantle,have,They,STATIVE
which gives them a bell shaped appearance.,gives,shell,STATIVE
"Some species are short, squat and yellow,",are,species,STATIVE
"while others resemble a jellyfish with one, big, brown,",resemble,others,STATIVE
walking shoe.,,,CANNOT_DECIDE
"Some have suckers, in addition to spines, on all 8 webbed tentacles",have,Some,STATIVE
"while others look like a regular octopus with the addition of blue or other colored ""ears"".",look,others,STATIVE
"These octopuses are commonly nicknamed ""Dumbo octopuses"" or ""Dumbo octopods"" in reference to how the ear-like fins",nicknamed,octopuses,STATIVE
protruding from the top of their head-like bodies resemble the ears of Walt Disney's flying elephant Dumbo.,resemble,reference,STATIVE
At the moment scientists know,know,scientists,STATIVE
that there are 37 different types of the Grimpoteuthis each having a different aspect from all the others.,are,types,STATIVE
These features could be larger ears or different colours.,be,features,STATIVE
As these animals live at the bottom of the sea,live,animals,STATIVE
they have a very small food supply.,have,they,STATIVE
"Prey include Crustaceans, bivalves, worms on the ocean floor and Copepods.",include,Prey,STATIVE
These octopi have a short life span.,have,octopi,STATIVE
The average life span of various Grimpoteuthis species is 3 to 5 years.,is,span,STATIVE
"All species of Grimpoteuthis are bathyal creatures,",are,species,STATIVE
"living at extreme depths of 3,000 to 4,000 metres (9,800 to 13,100 ft) with some living up to 7,000 metres (23,000 ft) below sea level,",living,creatures,STATIVE
which is the deepest of any known octopus.,is,level,STATIVE
They are some of the rarest of the Octopoda species.,are,They,STATIVE
"They have been found worldwide in the waters of New Zealand, Australia, Monterrey Bay, Oregon, Philippines, Martha's Vineyard, Papua New Guinea and Azores.",found,They,DYNAMIC
"They can flush the transparent layer of their skin at will,",flush,They,DYNAMIC
"and are pelagic animals, as with all other cirrate octopuses.",are,,STATIVE
The largest Dumbo octopus ever recorded was 5.9 ft,was,m,STATIVE
(1.8 m) in length,,,CANNOT_DECIDE
and weighed .,weighed,ft,STATIVE
The average size for most species is 2030 cm,is,size,STATIVE
(7.912 in) length.,,,CANNOT_DECIDE
The average weight is still undetermined.,is,weight,STATIVE
Grimpoteuthis innominata 73 mm ML.,,,CANNOT_DECIDE
jpg|thumb|left|Dorsal (left) and ventral,left,|,CANNOT_DECIDE
(right) aspects of a mature female of G. innominata (73 mm ML),,,CANNOT_DECIDE
==Appearance==,,,CANNOT_DECIDE
As previously mentioned,mentioned,left,DYNAMIC
the most acknowledged physical feature of the Grimpoteuthis is the large ear like fins,is,feature,STATIVE
that resemble the Disney character Dumbo.,resemble,fins,STATIVE
Another noticeable feature about the Dumbo Octopus is the tentacles.,is,feature,STATIVE
When the Grimpoteuthis swims/spreads its tentacles out,swims/spreads,Grimpoteuthis,DYNAMIC
it forms a skirt like shape around the animals body.,forms,it,DYNAMIC
These Tentacles make the octopus classify as an Umbrella octopus.,make,Tentacles,STATIVE
The Grimpoteuthis comes in a range of different colours.,comes,Grimpoteuthis,STATIVE
"Some of these colours are red, orange, blue and in some cases purple.",are,Some,STATIVE
Between the animals eyes and lower down the Grimpoteuthis has an indent,has,down,STATIVE
where beak sits.,sits,beak,STATIVE
This beak is used for eating food,used,beak,DYNAMIC
and catching food.,catching,beak,DYNAMIC
Certain breeds of Grimpoteuthis can have 'V' or 'U' shaped shields/shells.,have,breeds,STATIVE
These shields/shells are used for protection against the threats,used,shields/shells,DYNAMIC
the animal faces.,faces,animal,DYNAMIC
The Grimpoteuthis is a very small animal compared to other animals in the sea.,is,Grimpoteuthis,STATIVE
"On average, species of Grimpoteuthis grow to about 20 centimetres in length (8 inches).",grow,species,DYNAMIC
These animals have very large eyes.,have,animals,STATIVE
On average the eyes of these animals are 12mm wide.,are,eyes,STATIVE
==Range and Habitat==,,,CANNOT_DECIDE
Species of Grimpoteuthis are assumed to have a worldwide distribution.,assumed,=,STATIVE
"Specimens have been found off the coast of Oregon, The Philippines, Martha's Vineyard, Azores, New Zealand, Australia, California, Papua, and New Guinea.",found,Specimens,DYNAMIC
Dumbo octopuses are among the deepest living octopuses,are,octopuses,STATIVE
that have been observed.,observed,octopuses,DYNAMIC
They can survive in extreme depths,survive,They,DYNAMIC
