Clause,mainVerb,mainReferent,Gold
Historical climatology is the study of historical changes in climate and their effect on human history and development.,is,climatology,STATIVE
This differs from paleoclimatology,differs,This,STATIVE
which encompasses climate change over the entire history of the earth.,encompasses,paleoclimatology,STATIVE
The study seeks to define periods in human history,seeks,study,STATIVE
where temperature or precipitation varied from what is observed in the present day.,varied,temperature,STATIVE
"The primary sources include written records such as sagas, chronicles, maps and local history literature as well as pictorial representations such as paintings, drawings and even rock art.",include,sources,STATIVE
"The archaeological record is equally important in establishing evidence of settlement, water and land usage.",is,record,STATIVE
==Techniques of historical climatology==,,,CANNOT_DECIDE
"In literate societies, historians may find written evidence of climatic variations over hundreds or thousands of years, such as phenological records of natural processes, for example viticultural records of grape harvest dates.",find,historians,DYNAMIC
"In preliterate or non-literate societies, researchers must rely on other techniques to find evidence of historical climate differences.",rely,researchers,STATIVE
Past population levels and habitable ranges of humans or plants and animals may be used to find evidence of past differences in climate for the region.,used,levels,DYNAMIC
"Palynology, the study of pollens, can show not only the range of plants",show,Palynology,DYNAMIC
"and to reconstruct possible ecology,",reconstruct,range,CANNOT_DECIDE
"but to estimate the amount of precipitation in a given time period,",estimate,range,CANNOT_DECIDE
based on the abundance of pollen in that layer of sediment or ice.,based,period,STATIVE
==Evidence of climatic variations==,=,variations,CANNOT_DECIDE
"The eruption of the Toba supervolcano, 70,000 to 75,000 years ago reduced the average global temperature by 5 degrees Celsius for several years",reduced,Evidence,DYNAMIC
and may have triggered an ice age.,triggered,Evidence,DYNAMIC
It has been postulated,postulated,It,DYNAMIC
that this created a bottleneck in human evolution.,created,this,DYNAMIC
"A much smaller but similar effect occurred after the eruption of Krakatoa in 1883,",occurred,effect,DYNAMIC
when global temperatures fell for about 5 years in a row.,fell,temperatures,DYNAMIC
"Before the retreat of glaciers at the start of the Holocene (~9600 BC), ice sheets covered much of the northern latitudes and sea levels were much lower",covered,sheets,STATIVE
than they are today.,are,they,STATIVE
The start of our present interglacial period appears to have helped spur the development of human civilization.,appears,start,STATIVE
===Human record===,,,CANNOT_DECIDE
"Evidence of a warm climate in Europe, for example, comes from archaeological studies of settlement and farming in the Early Bronze Age at altitudes now beyond cultivation, such as Dartmoor, Exmoor, the Lake district and the Pennines in England.",comes,climate,STATIVE
The climate appears to have deteriorated towards the Late Bronze Age however.,appears,climate,STATIVE
"Settlements and field boundaries have been found at high altitude in these areas,",found,Settlements,DYNAMIC
which are now wild and uninhabitable.,are,areas,STATIVE
They include Dartmoor and Exmoor as well as the Pennines and Lake District in the United Kingdom.,include,They,STATIVE
Grimspound on Dartmoor is well preserved,preserved,Grimspound,STATIVE
and shows,shows,Grimspound,STATIVE
the standing remains of an extensive settlement in a now inhospitable environment.,remains,standing,STATIVE
Some parts of the present Saharan desert may have been populated,been,parts,DYNAMIC
"when the climate was cooler and wetter,",was,climate,STATIVE
judging by cave art and other signs of settlement in Prehistoric Central North Africa.,judging,cooler,DYNAMIC
"The Medieval Warm Period was a time of warm weather between about AD 8001300, during the European Medieval period.",was,Period,STATIVE
Archaeological evidence supports studies of the Norse sagas,supports,evidence,STATIVE
which describe the settlement of Greenland in the 9th century AD of land now quite unsuitable for cultivation.,describe,studies,DYNAMIC
"For example, excavations at one settlement site have shown the presence of birch trees during the early Viking period.",shown,excavations,DYNAMIC
The same period records the discovery of an area,records,period,STATIVE
"called Vinland, probably in North America,",called,area,STATIVE
"which may also have been warmer than at present,",warmer,America,STATIVE
judging by the alleged presence of grape vines.,judging,America,STATIVE
The interlude is known as the Medieval Warm Period.,known,interlude,STATIVE
==Little Ice Age==,,,CANNOT_DECIDE
"Later examples include the Little Ice Age,",include,,STATIVE
"well documented by paintings, documents",documented,,STATIVE
(such as diaries) and events such as the River Thames frost fairs,,,CANNOT_DECIDE
held on frozen lakes and rivers in the 17th and 18th centuries.,held,fairs,DYNAMIC
The River Thames was made more narrow and flowed faster,made,Thames,DYNAMIC
"after old London Bridge was demolished in 1831,",demolished,Bridge,DYNAMIC
"and the river was embanked in stages during the 19th century,",embanked,Thames,DYNAMIC
both of which made the river less liable to freezing.,made,both,DYNAMIC
Among the earliest references to the coming climate change is an entry in the Anglo-Saxon Chronicle dated 1046:,dated,,STATIVE
"*""And in this same year after the 2nd of February came the severe winter with frost and snow, and with all kinds of bad weather, so that there was no man alive who could remember so severe a winter as that, both through mortality of men and disease of cattle; both birds and fishes perished through the great cold and hunger.""",*,dated,DYNAMIC
The Chronicle is the single most important historical source for the period in England between the departure of the Romans and the decades following the Norman Conquest.,is,Chronicle,STATIVE
Much of the information given in the Chronicle is not recorded elsewhere.,recorded,Much,STATIVE
The Little Ice Age brought colder winters to parts of Europe and North America.,brought,Age,DYNAMIC
"In the mid-17th century, glaciers in the Swiss Alps advanced,",advanced,glaciers,DYNAMIC
gradually engulfing farms,engulfing,,DYNAMIC
and crushing entire villages.,crushing,,DYNAMIC
"The River Thames and the canals and rivers of the Netherlands often froze over during the winter,",froze,Thames,DYNAMIC
and people skated,skated,Thames,DYNAMIC
and even held frost fairs on the ice.,held,people,DYNAMIC
"The first Thames frost fair was in 1607; the last in 1814,",was,fair,STATIVE
"although changes to the bridges and the addition of an embankment affected the river flow and depth,",affected,last,DYNAMIC
diminishing the possibility of freezes.,diminishing,last,DYNAMIC
The freeze of the Golden Horn and the southern section of the Bosphorus took place in 1622.,took,freeze,DYNAMIC
"In 1658, a Swedish army marched across the Great Belt to Denmark to invade Copenhagen.",marched,army,DYNAMIC
"The Baltic Sea froze over,",froze,Sea,DYNAMIC
"enabling sledge rides from Poland to Sweden, with seasonal inns",enabling,,DYNAMIC
built on the way.,built,inns,DYNAMIC
The winter of 1794/1795 was particularly harsh,was,winter,STATIVE
"when the French invasion army under Pichegru could march on the frozen rivers of the Netherlands,",march,army,DYNAMIC
while the Dutch fleet was fixed in the ice in Den Helder harbour.,fixed,fleet,STATIVE
"In the winter of 1780, New York Harbour froze,",froze,Harbour,DYNAMIC
allowing people to walk from Manhattan to Staten Island.,allowing,,DYNAMIC
"Sea ice surrounding Iceland extended for miles in every direction,",extended,ice,DYNAMIC
closing that island's harbours to shipping.,closing,,DYNAMIC
The severe winters affected human life in ways large and small.,affected,winters,DYNAMIC
"The population of Iceland fell by half,",fell,population,DYNAMIC
but this was perhaps also due to fluorosis,was,this,STATIVE
caused by the eruption of the volcano Laki in 1783.,caused,fluorosis,DYNAMIC
Iceland also suffered,suffered,Iceland,DYNAMIC
failures of cereal crops and people moved away from a grain-based diet.,moved,Iceland,DYNAMIC
The Norse colonies in Greenland starved and vanished (by the 15th century) as crops failed,starved,colonies,DYNAMIC
"and livestock could not be maintained through increasingly harsh winters,",maintained,livestock,DYNAMIC
though Jared Diamond noted,noted,Diamond,DYNAMIC
that they had exceeded the agricultural carrying capacity before then.,exceeded,they,DYNAMIC
"In North America, American Indians formed leagues in response to food shortages.",formed,Indians,DYNAMIC
"In Southern Europe, in Portugal, snow storms were much more frequent",were,storms,STATIVE
while today they are rare.,are,they,STATIVE
"There are reports of heavy snowfalls in the winters of 1665, 1744 and 1886.",are,reports,STATIVE
