Clause,mainVerb,mainReferent,Gold
"A cajn (kaxon (Ka-hon), ""box"", ""crate"" or ""drawer"")",,,CANNOT_DECIDE
is nominally,is,cajón,STATIVE
"a six sided, box-shaped percussion instrument originally from Peru,",,,CANNOT_DECIDE
played by slapping,played,Peru,DYNAMIC
"the front or rear faces (generally thin plywood) with the hands, fingers, or sometimes various implements such as brushes,",,,CANNOT_DECIDE
"mallets,",mallets,fingers,CANNOT_DECIDE
or sticks.,sticks,fingers,CANNOT_DECIDE
== Description ==,,,CANNOT_DECIDE
Sheets of thick wood are generally used for five sides of the box.,used,Sheets,DYNAMIC
"A thinner sheet of plywood is nailed on as the sixth side,",nailed,sheet,DYNAMIC
and acts as the striking surface or head.,acts,sheet,DYNAMIC
A sound hole is cut on the back side.,cut,hole,DYNAMIC
The top edges are often left unattached,left,edges,STATIVE
and can be slapped against the box.,slapped,edges,DYNAMIC
"The modern cajn may have rubber feet,",have,cajón,STATIVE
and has several screws at the top,has,cajón,STATIVE
for adjusting percussive timbre.,adjusting,top,CANNOT_DECIDE
Originally they would be only wooden boxes,be,they,STATIVE
but now some versions may also have several stretched cords pressed against the top for a buzz-like effect or tone.,have,boxes,STATIVE
"Guitar strings, rattles or drum snares may serve this purpose.",serve,rattles,DYNAMIC
They may also have bells on the inside near the cords.,have,They,STATIVE
"The player sits astride the box,",sits,player,DYNAMIC
tilting it at an angle,tilting,,DYNAMIC
while striking the head between his knees.,striking,,DYNAMIC
The percussionist can play the sides with the top of his palms and fingers for additional sounds.,play,percussionist,DYNAMIC
== Origins and evolution ==,,,CANNOT_DECIDE
The cajn is the most widely used Afro-Peruvian musical instrument since the late 18th century.,is,Origins,STATIVE
"Slaves of west and central African origin in the Americas, specifically Per, are considered to be the source of the cajn drum.",considered,origin,STATIVE
"Currently, the instrument is common in musical performance throughout some of the Americas and Spain.",is,instrument,STATIVE
"The cajn was developed during the periods of slavery in coastal Per,",developed,cajón,DYNAMIC
where it is associated with several Afro-Peruvian genres.,associated,it,STATIVE
"The instrument reached a peak in popularity by 1850,",reached,instrument,DYNAMIC
and by the end of the 19th century cajn players were experimenting with the design of the instrument by bending some of the planks in the cajn's body to alter the instrument's patterns of sound vibration.,experimenting,instrument,DYNAMIC
After slavery the cajn was spread to a much larger audience,spread,cajón,DYNAMIC
including Criollos.,including,,STATIVE
"Given that the cajn comes from slave musicians in the Spanish colonial Americas, there are two complementary origin theories for the instrument.",are,theories,STATIVE
It is possible,is,It,STATIVE
"that the drum is a direct descendant of a number of boxlike musical instruments from west and central Africa, especially Angola, and the Antilles.",is,drum,STATIVE
These instruments were adapted by Peruvian slaves from the Spanish shipping crates at their disposal.,adapted,instruments,DYNAMIC
"In port cities like Matanzas, Cuba codfish shipping crates and small dresser drawers became similar instruments.",became,crates,DYNAMIC
Another theory states,states,theory,STATIVE
that slaves simply used boxes as musical instruments to subvert Spanish colonial bans on music in predominantly African areas;,used,slaves,DYNAMIC
"In this way, cajones could easily be disguised as seats or stools,",disguised,cajones,DYNAMIC
thus avoiding identification as musical instruments.,avoiding,,DYNAMIC
In all likelihood it is a combination of these factors - African origins and Spanish suppression of slave music - that led to the cajn's creation.,is,it,DYNAMIC
Spanish flamenco guitar player Paco de Luca brought to Spain a cajn,brought,Lucía,DYNAMIC
formerly owned by Peruvian percussionist Caitro Soto in 1977 with the purpose of using it as a more reliable rhythmic base in Flamenco.,owned,cajón,STATIVE
In 2001 the cajn was declared National Heritage by the Peruvian National Institute of Culture.,declared,cajón,DYNAMIC
"In 2014 the Organization of American States declared the cajn an ""Instrument of Peru for the Americas""",declared,Organization,DYNAMIC
== Contemporary music ==,,,CANNOT_DECIDE
"Today, the cajn is heard extensively in Coastal Peruvian musical styles such as Tondero, Zamacueca and Peruvian Waltz, modern Flamenco and certain styles of modern Rumba.",heard,cajón,DYNAMIC
The modern cajn is often used to accompany the acoustic guitar.,used,cajón,DYNAMIC
"The cajn is becoming rapidly popular in blues, pop, rock, funk, world music, jazz, etc.",becoming,cajón,DYNAMIC
The cajn has become a popular instrument in the folk music of Ireland,become,cajón,DYNAMIC
and is often played alongside the bodhrn.,played,cajón,DYNAMIC
== Cajn playing styles ==,=,styles,CANNOT_DECIDE
"The instrument has been played not only with hands, but also with plastic and metal brushes,",played,styles,DYNAMIC
as normally used for drums.,used,,DYNAMIC
Another way of playing the cajn is to use an ordinary bass,is,way,STATIVE
"drum pedal,",pedal,use,CANNOT_DECIDE
thus turning the cajn into an indirect percussion instrument.,turning,,DYNAMIC
"This enables the player to beat it just like a pedal-bass-drum,",enables,This,DYNAMIC
but it also restricts the player's standard position.,restricts,This,DYNAMIC
== Gallery ==,,,CANNOT_DECIDE
== See also ==,=,See,CANNOT_DECIDE
* Afro-Peruvian music,,,CANNOT_DECIDE
* Jawbone (instrument),,,CANNOT_DECIDE
* Festejo,,,CANNOT_DECIDE
* Flamenco,,,CANNOT_DECIDE
* Cajn de rumba - Cuba,,,CANNOT_DECIDE
* Cajn de tapeo - Mxico,,,CANNOT_DECIDE
==References==,,,CANNOT_DECIDE
==External links==,,,CANNOT_DECIDE
*,,,CANNOT_DECIDE
How to Build a Cajn,Build,,CANNOT_DECIDE
*DavisDrum Curved sides cajons BeatBox Davis.,cajons,*,CANNOT_DECIDE
* Cajon info site.,,,CANNOT_DECIDE
