Clause,mainVerb,mainReferent,Gold
"The Venus flytrap (also Venus's flytrap or Venus' flytrap), Dionaea muscipula, is a carnivorous plant native to subtropical wetlands on the East Coast of the United States.",is,flytrap,STATIVE
It catches its preychiefly insects and arachnids with a trapping structure,catches,It,DYNAMIC
formed by the terminal portion of each of the plant's leaves,formed,structure,DYNAMIC
and is triggered by tiny hairs on their inner surfaces.,triggered,It,DYNAMIC
"When an insect or spider crawling along the leaves contacts a hair, the trap closes",closes,trap,DYNAMIC
if a different hair is contacted within twenty seconds of the first strike.,contacted,hair,DYNAMIC
The requirement of redundant triggering in this mechanism serves as a safeguard against a waste of energy in trapping objects with no nutritional value.,serves,requirement,DYNAMIC
"Dionaea is a monotypic genus closely related to the waterwheel plant and sundews,",is,Dionaea,STATIVE
all of which belong to the family Droseraceae.,belong,of,STATIVE
==Description==,,,CANNOT_DECIDE
The Venus flytrap is a small plant,is,=,STATIVE
"whose structure can be described as a rosette of four to seven leaves,",described,structure,STATIVE
which arise from a short subterranean stem,arise,leaves,DYNAMIC
that is actually a bulb-like object.,is,stem,STATIVE
"Each stem reaches a maximum size of about three to ten centimeters, depending on the time of year;",reaches,stem,DYNAMIC
longer leaves with robust traps are usually formed after flowering.,formed,leaves,DYNAMIC
Flytraps that have more than 7 leaves are colonies,are,Flytraps,STATIVE
formed by rosettes,formed,colonies,DYNAMIC
that have divided beneath the ground.,divided,rosettes,DYNAMIC
The leaf blade is divided into two regions:,divided,blade,STATIVE
"a flat, heart-shaped photosynthesis-capable petiole, and a pair of terminal lobes hinged at the midrib, forming the trap",forming,petiole,STATIVE
which is the true leaf.,is,trap,STATIVE
The upper surface of these lobes contains red anthocyanin pigments and its edges secrete mucilage.,contains,surface,STATIVE
"The lobes exhibit rapid plant movements, snapping shut",exhibit,lobes,STATIVE
when stimulated by prey.,stimulated,,DYNAMIC
The trapping mechanism is tripped,tripped,mechanism,DYNAMIC
when prey contacts one of the three hair-like trichomes,prey,,DYNAMIC
that are found on the upper surface of each of the lobes.,found,trichomes,STATIVE
The trapping mechanism is so specialized,is,mechanism,STATIVE
that it can distinguish between living prey and non-prey stimuli such as falling raindrops;,distinguish,it,DYNAMIC
two trigger hairs must be touched in succession within 20 seconds of each other or one hair,touched,hairs,DYNAMIC
"touched twice in rapid succession, whereupon",touched,seconds,DYNAMIC
the lobes of the trap will snap shut in about one-tenth of a second.,shut,lobes,DYNAMIC
"The edges of the lobes are fringed by stiff hair-like protrusions or cilia,",fringed,edges,STATIVE
which mesh together,mesh,cilia,DYNAMIC
and prevent large prey from escaping.,prevent,protrusions,DYNAMIC
"(These protrusions, and the trigger hairs, also known as sensitive hairs, are probably homologous with the tentacles found in this plants close relatives, the sundews.)",protrusions,These,STATIVE
Scientists have concluded,concluded,Scientists,DYNAMIC
