Clause,mainVerb,mainReferent,Gold
"May 18, 2006",,,CANNOT_DECIDE
ANTH 250,,,CANNOT_DECIDE
Prof. Tavrez,,,CANNOT_DECIDE
Indigenous Revitalization Movements of Latin America:,,,CANNOT_DECIDE
The Rediscovery of Language and Identity,,,CANNOT_DECIDE
"Humans, in the process of defining themselves, look to immediately recognizable factors",look,May,DYNAMIC
in order to differentiate themselves from others.,differentiate,,CANNOT_DECIDE
This process leads to the development of what can be broadly termed culture:,leads,process,DYNAMIC
"a group of people joined by characteristics, traits, and beliefs comes to view themselves as sharing a distinct identity, discernible from that of those outside them, those",comes,group,DYNAMIC
who do not belong.,belong,those,STATIVE
"Naturally this can be signaled by any number of things - clothing, food, lifestyle choices.",signaled,this,DYNAMIC
One of the most dominant and easily noted factors is language.,noted,One,STATIVE
"The command of a language, while not affording guaranteed access to the community",affording,key,STATIVE
"which speaks it,",speaks,community,DYNAMIC
is often the key to gaining entry.,is,command,STATIVE
In turn communal identity can be formed around a language;,formed,identity,DYNAMIC
it is used as the focal point,used,it,DYNAMIC
around which the group gathers.,gathers,group,DYNAMIC
Therefore when considering the indigenous revitalization movements,considering,,DYNAMIC
"which began in 20th century Latin America, the impact of those indigenous languages on those movements and the nature of the identity of the peoples themselves is key.",is,impact,DYNAMIC
"Language plays a complex and integral role in the development and redefinition of an identity,",plays,Language,STATIVE
particularly when that identity has been oppressed and subsumed by a dominant other for as long as that of the indigenous peoples in Latin America has.,oppressed,identity,DYNAMIC
"In particular I will examine two divergent yet remarkably parallel cases, that of the Maya in Guatemala and the Nasa and Guambiano peoples of Colombia.",examine,I,DYNAMIC
Their struggle to attain status in societies,attain,struggle,CANNOT_DECIDE
"still bearing the marks of Spanish colonialism is deeply tied to their struggle to reaffirm the nature of their indigenous identity,",tied,struggle,STATIVE
and is in turn linked to the interaction of Spanish and their native languages.,is,struggle,STATIVE
The effects of Spanish colonialism are both far-reaching and deeply embedded in both countries.,are,effects,STATIVE
"One of the most prominent, lasting influences is that of the land grant system.",is,One,STATIVE
"Initially the Spanish government attempted to instate the encomienda system,",attempted,government,DYNAMIC
in which a conquistador maintained direct control over the indigenous peoples and their land.,maintained,conquistador,DYNAMIC
This was in turn replaced by the repartimento;,was,This,DYNAMIC
the natives were allowed to maintain control over their land and their laws,allowed,natives,STATIVE
"but remained in every way the inferior of the Spanish,",remained,natives,STATIVE
providing labor and taxes as demanded.,providing,natives,DYNAMIC
"In reality land ownership rights were the exclusive right of the Spanish,",were,rights,STATIVE
"resulting in modern-day malappropriation of land ownership in the hands of the descendants of the Spanish colonialists (Warren 1978, 7-8).",resulting,right,DYNAMIC
Indigenous peoples are commonly sharecroppers or migrant workers.,are,peoples,STATIVE
The impoverished plight of the native populations was first recognized by the Marxist movements of the early 20th century.,recognized,plight,DYNAMIC
Those were the first to articulate the necessity of affirming the independent identity of the indigenous populations;,were,articulate,STATIVE
"previously, both the left and right maintained a belief in indigenous assimilation into the dominant Spanish culture.",maintained,the,STATIVE
"The Marxists, on the contrary, argued",argued,Marxists,DYNAMIC
that the indigenous peoples possessed a unique identity.,possessed,peoples,STATIVE
"However, they also claimed",claimed,they,DYNAMIC
"that they were part of a larger group, the working class,",were,they,STATIVE
whose poverty was a direct result of American imperialism;,was,poverty,STATIVE
therefore they should join these new popular leftist movements,join,they,DYNAMIC
in order to reorganize society into a worker-friendly one (Jackson 1995: 6-7).,reorganize,,CANNOT_DECIDE
In Colombia this resulted in a civil war between the Liberal and Communist parties and Conservative party.,resulted,this,DYNAMIC
"A truce established between the Liberals and Conservatives failed to meet the demands of the Communists,",failed,truce,DYNAMIC
who in turn sustained guerrilla attacks in response.,sustained,Communists,DYNAMIC
Guerrilla warfare has since become a part of Colombian life;,become,warfare,DYNAMIC
"multiple groups maintain an ongoing presence,",maintain,groups,STATIVE
often stationing themselves in the remote mountainous villages,stationing,presence,DYNAMIC
often populated by various indigenous peoples.,populated,villages,STATIVE
This is similar to the situation of Guatemala:,is,This,STATIVE
the government felt,felt,government,STATIVE
"it needed to battle communism, an armed and dangerous menace within, plunging the country into civil warfare in the 1960s",needed,it,STATIVE
and continuing through the 1980s (Warren 1993: 25).,continuing,communism,DYNAMIC
