Clause,mainVerb,mainReferent,Gold
Veterinary medicine is the branch of medicine,is,medicine,STATIVE
"that deals with the prevention, diagnosis and treatment of disease, disorder and injury in animals.",deals,branch,STATIVE
"The scope of veterinary medicine is wide,",is,scope,STATIVE
"covering all animal species, both domesticated and wild, with a wide range of conditions",covering,scope,STATIVE
which can affect different species.,affect,conditions,DYNAMIC
"Veterinary medicine is widely practiced, both with and without professional supervision.",practiced,medicine,DYNAMIC
Professional care is most often led by a veterinary physician,led,care,DYNAMIC
"(also known as a vet, veterinary surgeon or veterinarian), but also by paraveterinary workers such as veterinary nurses or technicians.",known,physician,STATIVE
"This can be augmented by other paraprofessionals with specific specialisms such as animal physiotherapy or dentistry, and species relevant roles such as farriers.",augmented,This,DYNAMIC
Veterinary science helps human health through the monitoring and control of zoonotic disease,helps,science,DYNAMIC
"(infectious disease transmitted from non-human animals to humans), food safety, and indirectly through human applications from basic medical research.",transmitted,disease,DYNAMIC
"They also help to maintain food supply through livestock health monitoring and treatment, and mental health by keeping pets healthy and long living.",help,They,DYNAMIC
"Veterinary scientists often collaborate with epidemiologists, and other health or natural scientists depending on type of work.",collaborate,scientists,DYNAMIC
"Ethically, veterinarians are usually obliged to look after animal welfare.",obliged,veterinarians,STATIVE
== History ==,,,CANNOT_DECIDE
===Premodern era===,,,CANNOT_DECIDE
The Egyptian Papyrus of Kahun (1900 BCE) and Vedic literature in ancient India offer one of the first written records of veterinary medicine.,offer,History,STATIVE
(See also Shalihotra),See,reads,CANNOT_DECIDE
( Buddhism) First Buddhist Emperor of India edicts of Asoka reads:,reads,Emperor,DYNAMIC
"""Everywhere King Piyadasi (Asoka)",,,CANNOT_DECIDE
"made two kinds of medicine () available, medicine for people and medicine for animals.",made,Piyadasi,DYNAMIC
"Where there were no healing herbs for people and animals,",were,herbs,STATIVE
he ordered,ordered,he,DYNAMIC
"that they be bought and planted.""",bought,they,DYNAMIC
Asoka,,,CANNOT_DECIDE
The first attempts to organize and regulate the practice,organize,attempts,CANNOT_DECIDE
of treating animals,treating,practice,CANNOT_DECIDE
tended to focus on horses because of their economic significance.,tended,attempts,STATIVE
"In the Middle Ages from around 475 CE, farriers combined their work in horseshoeing with the more general task of ""horse doctoring"".",combined,farriers,DYNAMIC
"In 1356, the Lord Mayor of London, concerned at the poor standard of care",concerned,Mayor,STATIVE
"given to horses in the city, requested",requested,Mayor,DYNAMIC
"that all farriers operating within a seven mile radius of the City of London form a ""fellowship"" to regulate and improve their practices.",form,operating,DYNAMIC
This ultimately led to the establishment of the Worshipful Company of Farriers in 1674.,led,This,DYNAMIC
"Meanwhile, Carlo Ruini's book Anatomia del Cavallo, (Anatomy of the Horse) was published in 1598.",published,book,DYNAMIC
It was the first comprehensive treatise on the anatomy of a non-human species.,was,It,STATIVE
===Establishment of profession===,,,CANNOT_DECIDE
"The first veterinary college was founded in Lyon, France in 1762 by Claude Bourgelat.",founded,Establishment,DYNAMIC
"According to Lupton, after observing the devastation",According,,DYNAMIC
"being caused by cattle plague to the French herds, Bourgelat devoted his time to seeking out a remedy.",devoted,Bourgelat,DYNAMIC
"This resulted in his founding a veterinary college in Lyon in 1761,",resulted,This,DYNAMIC
from which establishment he dispatched students to combat the disease;,dispatched,he,DYNAMIC
"in a short time, the plague was stayed",stayed,plague,DYNAMIC
"and the health of stock restored, through the assistance",restored,plague,DYNAMIC
"rendered to agriculture by veterinary science and art.""",rendered,assistance,DYNAMIC
"The Odiham Agricultural Society was founded in 1783 in England to promote agriculture and industry,",founded,Society,DYNAMIC
and played an important role in the foundation of the veterinary profession in Britain.,played,Society,DYNAMIC
"A founding member, Thomas Burgess, began to take up the cause of animal welfare and campaign for the more humane treatment of sick animals.",began,member,DYNAMIC
"A 1785 Society meeting resolved to ""promote the study of Farriery upon rational scientific principles.",resolved,,DYNAMIC
The physician James Clark wrote a treatise entitled Prevention of Disease,wrote,Clark,DYNAMIC
"in which he argued for the professionalization of the veterinary trade, and the establishment of veterinary colleges.",argued,he,DYNAMIC
"This was finally achieved in 1790, through the campaigning of Granville Penn,",achieved,This,DYNAMIC
"who persuaded the Frenchman, Benoit Vial de St. Bel to accept the professorship of the newly established Veterinary College in London.",persuaded,Penn,DYNAMIC
The Royal College of Veterinary Surgeons was established by royal charter in 1844.,established,College,DYNAMIC
"Veterinary science came of age in the late 19th century, with notable contributions from Sir John McFadyean,",came,science,DYNAMIC
credited by many as having been the founder of modern Veterinary research.,credited,McFadyean,STATIVE
"In the United States, the first schools were established in the early 19th century in Boston, New York and Philadelphia.",established,schools,DYNAMIC
"In 1879, Iowa Agricultural College became the first land grant college to establish a school of veterinary medicine.",became,College,DYNAMIC
==Veterinary workers==,,,CANNOT_DECIDE
===Veterinary physicians===,,,CANNOT_DECIDE
Veterinary care is usually led by a veterinary physician,led,workers,DYNAMIC
"(usually called a vet, veterinary surgeon or veterinarian).",called,physician,DYNAMIC
"This role is the equivalent of a doctor in human medicine,",is,role,STATIVE
and usually involves post-graduate study and qualification.,involves,equivalent,STATIVE
"In many countries, the local nomenclature for a vet is a protected term,",is,nomenclature,STATIVE
meaning,meaning,term,STATIVE
"that people without the prerequisite qualifications and/or registration are not able to use the title,",are,people,STATIVE
"and in many cases, the activities that may be undertaken by a vet",undertaken,activities,DYNAMIC
(such as animal treatment or surgery) are restricted only to those people,restricted,people,STATIVE
who are registered as vet.,registered,people,STATIVE
"For instance, in the United Kingdom, as in other jurisdictions, animal treatment may only be performed by registered vets",performed,treatment,DYNAMIC
"(with a few designated exceptions, such as paraveterinary workers),",designated,,CANNOT_DECIDE
and it is illegal for any person,is,it,STATIVE
who is not registered to call themselves a vet,registered,person,STATIVE
or perform any treatment.,perform,person,CANNOT_DECIDE
"Most vets work in clinical settings,",vets,Most,DYNAMIC
treating animals directly.,treating,Most,DYNAMIC
"These vets may be involved in a general practice,",involved,vets,STATIVE
treating animals of all types;,treating,practice,DYNAMIC
"may be specialized in a specific group of animals such as companion animals, livestock, laboratory animals, zoo animals or horses;",specialized,vets,STATIVE
"or may specialize in a narrow medical discipline such as surgery, dermatology, laboratory animal medicine, or internal medicine.",specialize,vets,STATIVE
"As with healthcare professionals, vets face ethical decisions about the care of their patients.",face,vets,DYNAMIC
"Current debates within the profession include the ethics of purely cosmetic procedures on animals, such as declawing of cats,",include,debates,STATIVE
"docking of tails,",docking,procedures,CANNOT_DECIDE
cropping of ears,cropping,procedures,CANNOT_DECIDE
and debarking on dogs.,debarking,procedures,CANNOT_DECIDE
===Paraveterinary workers===,,,CANNOT_DECIDE
"Paraveterinary workers, including veterinary nurses, technicians and assistants, either assist vets in their work,",including,,DYNAMIC
"or may work within their own scope of practice,",work,assist,DYNAMIC
"depending on skills and qualifications,",depending,assist,STATIVE
"including in some cases, performing minor surgery.",performing,qualifications,CANNOT_DECIDE
"The role of paraveterinary workers is less homogeneous globally than that of a vet,",is,role,STATIVE
"and qualification levels, and the associated skill mix, vary widely.",vary,role,STATIVE
===Allied professions===,,,CANNOT_DECIDE
"A number of professions exist within the scope of veterinary medicine,",exist,number,STATIVE
but which may not necessarily be performed by vets or veterinary nurses.,performed,number,DYNAMIC
This includes those performing roles,includes,This,STATIVE
"which are also found in human medicine, such as practitioners dealing with musculoskeletal disorders,",found,roles,STATIVE
"including osteopaths, chiropractors and physiotherapists.",including,,STATIVE
