Clause,mainVerb,mainReferent,Gold
WARTIME,,,CANNOT_DECIDE
"After the attacks had occurred,",occurred,attacks,DYNAMIC
"while crisis managers were still sorting out a numberof unnerving false alarms, Air Force One flew to Barksdale Air Force Base in Louisiana.",flew,Force,DYNAMIC
"One of these alarms was of a reported threat against Air Force One itself, a threat",was,One,STATIVE
eventually run down to a misunderstood communication in the hectic White House Situation Room that morning.,run,One,DYNAMIC
"While the plan at the elementary school had been to return to Washington, by the timeAir Force One was airborne at 9:55 A.M.",was,Force,STATIVE
"the Secret Service, the President's advisers, and Vice President Cheney were strongly advising against it.",advising,Force,DYNAMIC
President Bush reluctantly acceded to this advice,acceded,Bush,DYNAMIC
"and, at about 10:10, Air Force One changed course",changed,Bush,DYNAMIC
and began heading due west.,began,Force,DYNAMIC
The immediate objective was to find a safe location-not too far away-where the President could land and speak to the American people.,was,objective,STATIVE
The Secret Service was also interested in refueling the aircraft,was,Service,STATIVE
and paring down the size of the traveling party.,paring,Service,CANNOT_DECIDE
"The President's military aide, an Air Force officer, quickly researched the options and, sometime around 10:20,",researched,aide,DYNAMIC
identified Barksdale Air Force Base as an appropriate interim destination.,identified,aide,DYNAMIC
"When Air Force One landed at Barksdale at about 11:45, personnel from the localSecret Service office were still en route to the airfield.",were,personnel,DYNAMIC
The motorcade consisted of a military police lead vehicle and a van;,consisted,motorcade,STATIVE
the proposed briefing theater had no phones or electrical outlets.,had,theater,STATIVE
"Staff scrambled to prepare another room for the President's remarks,",scrambled,Staff,DYNAMIC
while the lead Secret Service agent reviewed the security situation with superiors in Washington.,reviewed,agent,DYNAMIC
"The President completed his statement,",completed,President,DYNAMIC
which for security reasons was taped,taped,statement,DYNAMIC
"and not broadcast live,",broadcast,President,DYNAMIC
and the traveling party returned to Air Force One.,returned,President,DYNAMIC
The next destination was discussed:,discussed,destination,DYNAMIC
"once again the Secret Service recommended against returning to Washington,",recommended,Service,DYNAMIC
and the Vice President agreed.,agreed,Service,DYNAMIC
"Offutt Air Force Base in Nebraska was chosen because of its elaborate command and control facilities,",chosen,Base,DYNAMIC
and because it could accommodate overnight lodging for 50 persons.,accommodate,Base,STATIVE
The Secret Service wanted a place,wanted,Service,STATIVE
"where the President could spend several days, if necessary.",spend,President,DYNAMIC
Air Force One arrived at Offutt at 2:50 P.M.,arrived,Force,DYNAMIC
"At about 3:15, President Bush met withhis principal advisers through a secure video teleconference.",met,Bush,DYNAMIC
Rice said,said,Rice,DYNAMIC
"President Bush began the meeting with the words,",began,Bush,DYNAMIC
"""We're at war,""",'re,We,STATIVE
and that Director of Central Intelligence George Tenet saidthe agency was still assessing,assessing,Bush,DYNAMIC
"who was responsible,",was,who,STATIVE
but the early signs all pointed to al Qaeda.,pointed,Rice,STATIVE
That evening the Deputies Committee returned to the pending presidential directive,returned,Committee,DYNAMIC
they had labored over during the summer.,labored,they,DYNAMIC
"The secretary of defense directed the nation's armed forces to Defense Condition 3,an increased state of military readiness.",directed,secretary,DYNAMIC
"For the first time in history, all nonemergency civilian aircraft in the UnitedStates were grounded,",grounded,aircraft,DYNAMIC
stranding tens of thousands of passengers across the country.,stranding,,DYNAMIC
Contingency plans for the continuity of government and the evacuation of leaders had been implemented.,implemented,plans,DYNAMIC
The Pentagon had been struck;,struck,Pentagon,DYNAMIC
the White House or the Capitol had narrowly escaped direct attack.,escaped,Capitol,DYNAMIC
Extraordinary security precautions were put in place at the nation's borders and ports.,put,precautions,DYNAMIC
"In the late afternoon, the President overruled his aides' continuing reluctance tohave him return to Washington",overruled,President,DYNAMIC
and ordered Air Force One back to Andrews Air Force Base.,ordered,reluctance,DYNAMIC
"He was flown by helicopter back to the White House,",flown,He,DYNAMIC
passing over the still-smoldering Pentagon.,passing,,DYNAMIC
"At 8:30 that evening, President Bush addressed the nation from the White House.",addressed,Bush,DYNAMIC
After emphasizing,emphasizing,he,DYNAMIC
that the first priority was to help the injured,was,priority,STATIVE
"and protect against any further attacks,",protect,priority,CANNOT_DECIDE
he said:,said,he,DYNAMIC
"""We will make no distinction between the terrorists",make,We,STATIVE
who committed these acts and those,committed,terrorists,DYNAMIC
"who harbor them.""",harbor,those,STATIVE
He quoted Psalm 23-,quoted,He,DYNAMIC
"""though I walk through the valley",walk,I,DYNAMIC
"of the shadow of death . . ."" No American, he said,",said,he,DYNAMIC
"""will ever forget this day.""",forget,walk,DYNAMIC
"Following his speech, President Bush met again with his National Security Council",Following,,DYNAMIC
"(NSC), expanded to include Secretary of Transportation Norman Mineta and Joseph Allbaugh, the director of the Federal Emergency Management Agency.",expanded,Council,STATIVE
"Secretary of State Colin Powell, who had returned from Peru after hearing of the attacks,",returned,Powell,DYNAMIC
joined the discussion.,joined,Powell,DYNAMIC
They reviewed the day's events.,reviewed,They,DYNAMIC
IMMEDIATE RESPONSES AT HOME,,,CANNOT_DECIDE
"As the urgent domestic issues accumulated, White House Deputy Chief of Staff JoshuaBolten chaired a temporary ""domestic consequences"" group.",chaired,Chief,STATIVE
"The agenda in those first days is worth noting, partly as a checklist for futurecrisis planners.",is,agenda,STATIVE
It began with problems of how to help victims,began,It,DYNAMIC
"and stanch the flowing losses to the American economy, such as",stanch,problems,CANNOT_DECIDE
Organizing federal emergency assistance.,,,CANNOT_DECIDE
One question was what kind of public health advice to give about the air quality in Lower Manhattan in the vicinity of the fallen buildings.,was,question,STATIVE
Compensating victims.,,,CANNOT_DECIDE
"They evaluated legislative options,",evaluated,They,DYNAMIC
eventually setting up a federal compensation fund,setting,evaluated,DYNAMIC
