Clause,mainVerb,mainReferent,Gold
Parapsychology is a field of study concerned with the investigation of paranormal and psychic phenomena.,is,Parapsychology,STATIVE
"Parapsychologists study telepathy, precognition, clairvoyance, psychokinesis, near-death experiences, reincarnation, apparitional experiences, and other paranormal claims.",study,Parapsychologists,DYNAMIC
Parapsychology research is largely conducted by private institutions in several different countries,conducted,research,DYNAMIC
"and funded through private donations,",funded,research,DYNAMIC
and the subject rarely appears in mainstream science journals.,appears,research,DYNAMIC
Most papers about parapsychology are published in a small number of niche journals.,published,papers,DYNAMIC
Most scientists regard parapsychology as pseudoscience.,regard,scientists,STATIVE
Parapsychology has been criticised for continuing investigation despite being unable to provide convincing evidence for the existence of any psychic phenomena after more than a century of research.,criticised,Parapsychology,DYNAMIC
==Terminology==,,,CANNOT_DECIDE
"Para is from Greek,",is,Para,STATIVE
"and means ""beside, closely related to, beyond...""",means,Para,STATIVE
The term parapsychology was coined in or around 1889 by the philosopher Max Dessoir.,coined,parapsychology,DYNAMIC
It was adopted by J.B. Rhine in the 1930s as a replacement for the term psychical research,adopted,It,DYNAMIC
in order to indicate a significant shift toward experimental methodology and academic discipline.,indicate,,CANNOT_DECIDE
The term originates from the ,originates,term,STATIVE
"meaning ""alongside"", and psychology.",meaning,παρά,STATIVE
"In parapsychology, psi is the unknown factor in extrasensory perception and psychokinesis experiences",is,psi,STATIVE
that is not explained by known physical or biological mechanisms.,explained,experiences,STATIVE
"The term is derived from the Greek  psi, 23rd letter of the Greek alphabet and the initial letter of the Greek  psyche, ""mind, soul"".",derived,term,STATIVE
"The term was coined by biologist Berthold P. Wiesner,",coined,term,DYNAMIC
and first used by psychologist Robert Thouless in a 1942 article,used,term,DYNAMIC
published in the British Journal of Psychology.,published,article,DYNAMIC
The Parapsychological Association divides psi into two main categories: psi-gamma for extrasensory perception and psi-kappa for psychokinesis.,divides,Association,STATIVE
"In popular culture, ""psi"" has become more and more synonymous with special psychic, mental, and ""psionic"" abilities and powers.",become,psi,DYNAMIC
==History==,,,CANNOT_DECIDE
===Early psychical research===,,,CANNOT_DECIDE
The Society for Psychical Research was founded in London in 1882.,founded,History,DYNAMIC
Its formation was the first systematic effort to organize scientists and scholars to investigate paranormal phenomena.,was,formation,STATIVE
"Early membership included philosophers, scholars, scientists, educators and politicians, such as Henry Sidgwick, Arthur Balfour, William Crookes, Rufus Osgood Mason and Nobel Laureate Charles Richet.",included,membership,STATIVE
"Presidents of the Society included,",included,Presidents,STATIVE
"in addition to Richet, Eleanor Sidgwick and William James, and subsequently Nobel Laureates Henri Bergson and Lord Rayleigh, and philosopher C. D. Broad.",,,CANNOT_DECIDE
"Areas of study included telepathy, hypnotism, Reichenbach's phenomena, apparitions, hauntings, and the physical aspects of Spiritualism such as table-tilting, materialization and apportation.",included,Areas,STATIVE
"The Society for Psychical Research published a Census of Hallucinations,",published,Society,DYNAMIC
which researched apparitional experiences and hallucinations in the sane.,researched,Census,DYNAMIC
"The census was the Society's first attempt at a statistical evaluation of paranormal phenomena,",was,census,STATIVE
"and the resulting publication in 1886, Phantasms of the Living is still widely referenced in parapsychological literature today.",is,publication,DYNAMIC
The SPR became the model for similar societies in other European countries and the United States during the late 19th century.,became,SPR,DYNAMIC
Early clairvoyance experiments were reported in 1884 by Charles Richet.,reported,experiments,DYNAMIC
Playing cards were enclosed in envelopes and a subject,enclosed,cards,DYNAMIC
put under hypnosis,put,subject,STATIVE
attempted to identify them.,attempted,subject,DYNAMIC
The subject was reported to have been successful in a series of 133 trials,reported,subject,DYNAMIC
but the results dropped to chance level,dropped,subject,DYNAMIC
when performed before a group of scientists in Cambridge.,performed,,DYNAMIC
J. M. Peirce and E. C. Pickering reported a similar experiment,reported,Peirce,DYNAMIC
"in which they tested 36 subjects over 23,384 trials",tested,they,DYNAMIC
which did not obtain above chance scores.,obtain,trials,DYNAMIC
"Largely due to the support of psychologist William James, the American Society for Psychical Research (ASPR) opened its doors in Boston in 1885,",opened,Society,DYNAMIC
moving to New York City in 1905 under the leadership of James H. Hyslop.,moving,Society,DYNAMIC
The SPR and ASPR continue research in parapsychology.,continue,SPR,STATIVE
===Rhine era===,,,CANNOT_DECIDE
"In 1911, Stanford University became the first academic institution in the United States to study extrasensory perception",became,University,DYNAMIC
(ESP) and psychokinesis (PK) in a laboratory setting.,,,CANNOT_DECIDE
"The effort was headed by psychologist John Edgar Coover,",headed,effort,STATIVE
and was supported by funds,supported,effort,STATIVE
"donated by Thomas Welton Stanford, brother of the university's founder.",donated,funds,DYNAMIC
"In 1930, Duke University became the second major U.S. academic institution to engage in the critical study of ESP and psychokinesis in the laboratory.",became,University,DYNAMIC
"Under the guidance of psychologist William McDougall, and with the help of others in the departmentincluding psychologists Karl Zener, Joseph B. Rhine, and Louisa E. Rhinelaboratory ESP experiments",including,,STATIVE
using volunteer subjects from the undergraduate student body began.,began,Zener,DYNAMIC
"As opposed to the approaches of psychical research,",opposed,,STATIVE
"which generally sought qualitative evidence for paranormal phenomena, the experiments at Duke University proffered a quantitative, statistical approach",proffered,experiments,DYNAMIC
using cards and dice.,using,approach,DYNAMIC
"As a consequence of the ESP experiments at Duke, standard laboratory procedures for the testing of ESP developed and came to be adopted by interested researchers throughout the world.",developed,procedures,DYNAMIC
George Estabrooks conducted an ESP experiment,conducted,Estabrooks,DYNAMIC
using cards in 1927.,using,experiment,DYNAMIC
Harvard students were used as the subjects.,used,students,DYNAMIC
Estabrooks acted as the sender with the guesser in an adjoining room.,acted,Estabrooks,DYNAMIC
"In total 2, 300 trials were conducted.",conducted,trials,DYNAMIC
When the subjects were sent to a distant room with insulation,sent,subjects,DYNAMIC
the scores dropped to chance level.,dropped,scores,DYNAMIC
Attempts to repeat the experiment also failed.,failed,Attempts,DYNAMIC
"The publication of J. B. Rhine's book, New Frontiers of the Mind (1937) brought the laboratory's findings to the general public.",brought,publication,DYNAMIC
"In his book, Rhine popularized the word ""parapsychology"",",popularized,Rhine,DYNAMIC
"which psychologist Max Dessoir had coined over 40 years earlier, to describe the research",coined,Dessoir,DYNAMIC
conducted at Duke.,conducted,research,DYNAMIC
Rhine also founded an autonomous Parapsychology Laboratory within Duke,founded,Rhine,DYNAMIC
"and started the Journal of Parapsychology, which he co-edited with McDougall.",started,Rhine,DYNAMIC
"Rhine, along with associate Karl Zener, had developed a statistical system of testing for ESP",developed,Rhine,DYNAMIC
that involved subjects guessing,involved,system,STATIVE
"what symbol, out of five possible symbols, would appear",appear,symbol,DYNAMIC
when going through a special deck of cards,going,,DYNAMIC
designed for this purpose.,designed,cards,STATIVE
A percentage of correct guesses (or hits),,,CANNOT_DECIDE
significantly above 20% was perceived as higher than chance and indicative of psychic ability.,perceived,percentage,DYNAMIC
"Rhine stated in his first book, ExtraSensory Perception",stated,Rhine,DYNAMIC
"(1934), that after 90,000 trials, he felt",felt,he,STATIVE
"ESP is ""an actual and demonstrable occurrence"".",is,ESP,STATIVE
