Clause,mainVerb,mainReferent,Gold
"June 26, 1995",,,CANNOT_DECIDE
Dear Friend:,,,CANNOT_DECIDE
This is not newsletter.,is,This,STATIVE
It is a fund-raising appeal.,is,It,STATIVE
But there's no reason,'s,reason,STATIVE
why we shouldn't share good news at the same time.,share,we,DYNAMIC
"Federal, state and local governments are freezing or withdrawing much-needed funding sources for people",freezing,governments,DYNAMIC
who are truly in need.,are,people,STATIVE
"In spite of that, Pleasant Run Children's Homes, with the help of hundreds of volunteers and others who really care,",care,help,STATIVE
continues to make a significant impact on the futures of families and kids in need of help.,continues,Homes,DYNAMIC
"We all hear about today's increases in neglect, abuse and abandonment of those",hear,We,DYNAMIC
who can't fight back: children.,fight,those,DYNAMIC
Yet few of us hear enough about kids,hear,few,DYNAMIC
who live through these adversities,live,kids,DYNAMIC
and do make the grade.,make,kids,DYNAMIC
The positive side.,,,CANNOT_DECIDE
These are special children.,are,These,STATIVE
They come into a Pleasant Run program...,come,They,DYNAMIC
whether it's for therapeutic help in their own homes,'s,it,STATIVE
"(which nurtures whole families), through foster care families or in the familial surroundings of our residential homes.",nurtures,which,DYNAMIC
"For some, it's a matter of weeks or months;",'s,it,STATIVE
"for others, it's years.",'s,it,STATIVE
"They leave Pleasant Run, generally, ready and able to contribute to society.",leave,They,DYNAMIC
We're proud of our children and all,'re,We,STATIVE
that they overcome.,overcome,they,DYNAMIC
"We are a not-for-profit, multi-service agency.",are,We,STATIVE
We wouldn't exist,exist,We,STATIVE
if the need weren't there.,were,need,STATIVE
The numbers of children who deserve our services are rising... as quickly as our programs can grow to serve them.,rising,numbers,DYNAMIC
Please help us help them.,help,,CANNOT_DECIDE
"Pleasant Run Children's Homes... ""where good kids get better.""",'s,Children,DYNAMIC
"Sincerely, Mary Roth Tom Hirschauer",,,CANNOT_DECIDE
