Clause,mainVerb,mainReferent,Gold
The saxhorn is a valved brass instrument with a conical bore and deep cup-shaped mouthpiece.,is,saxhorn,STATIVE
"The sound has a characteristic mellow quality, and blends well with other brass.",has,sound,STATIVE
==The saxhorn family==,=,family,CANNOT_DECIDE
The saxhorns form a family of seven instruments,,,STATIVE
(although at one point ten different sizes seem to have existed).,seem,sizes,STATIVE
"Designed for band use,",,,DYNAMIC
"they are pitched alternately in E-flat and B-flat, like the saxophone group.",pitched,they,DYNAMIC
Historically much confusion exists as to the nomenclature of the various instruments in different languages.,exists,confusion,STATIVE
"During the 19th century, the now-pointless debate as to whether the saxhorn family was truly new, or rather a development of members of the previously existing cornet and tuba families,",was,family,STATIVE
or copied directly from the flgelhorn was the subject of bitter and prolonged lawsuits.,was,debate,STATIVE
The following table lists the members of the saxhorn family,lists,table,DYNAMIC
"as described in the orchestration texts of Hector Berlioz and Cecil Forsyth, the J. Howard Foote catalog of 1893, and modern names.",described,,DYNAMIC
===Ranges of individual members===,,,CANNOT_DECIDE
The saxhorn is based on the same three-valve system as most other valved brass instruments.,based,Ranges,STATIVE
Each member of the family is named,named,member,STATIVE
after the root note produced by the second partial with no valves actuated.,produced,note,DYNAMIC
Each member nominally possesses or possessed the typical three-valve brass range from the note one tritone below that root note,possesses,member,STATIVE
"(second partial, all valves actuated) to the note",,,STATIVE
produced by eighth partial,produced,note,DYNAMIC
"with no valves actuated, i.e., the note two octaves above the root note.",actuated,valves,STATIVE
All the modern members of the family are transposing instruments,transposing,members,STATIVE
written in the treble clef with the root note,written,instruments,STATIVE
produced by the second partial,produced,note,DYNAMIC
"with no valves actuated being written as middle C,",actuated,valves,STATIVE
"though baritone horn often plays bass clef parts, especially those",plays,horn,DYNAMIC
written for the trombone.,written,those,STATIVE
==History==,,,CANNOT_DECIDE
[[MHS Saxhorn.,,,CANNOT_DECIDE
jpg|thumb|Saxhorn used by the 1st Minnesota Volunteer Infantry Regiment during the Civil War.,used,Saxhorn,DYNAMIC
The backward-facing bell version became the most common brass instrument in Civil War bands,became,version,DYNAMIC
because troops marching behind the band could hear the music.,hear,troops,DYNAMIC
From the collection of the Minnesota Historical Society. ]],,,CANNOT_DECIDE
"Developed during the mid-to-late 1830s, the saxhorn family was patented in Paris in 1845 by Adolphe Sax.",patented,family,DYNAMIC
"Sax's claim to have invented the instrument was hotly contested by other brass instrument makers during his lifetime, leading to various lawsuits.",was,,DYNAMIC
"Throughout the mid-1850s, he continued to experiment with the instrument's valve pattern.",continued,he,DYNAMIC
The Trojan March (Marche Troyenne) of the Berlioz opera Les Troyens (185658),,,CANNOT_DECIDE
features an on-stage band,features,March,STATIVE
which includes a family of saxhorns.,includes,band,STATIVE
"Saxhorns were popularized by the distinguished Distin Quintet,",popularized,Saxhorns,DYNAMIC
who toured Europe during the mid-19th century.,toured,Quintet,DYNAMIC
"This family of musicians, publishers and instrument manufacturers had a significant impact on the growth of the brass band movement in Britain during the mid- to late-19th century.",had,family,STATIVE
The saxhorn was the most common brass instrument in American Civil War bands.,was,saxhorn,STATIVE
"The over-the-shoulder variety of the instrument was used,",used,variety,DYNAMIC
as the backward-pointing bell of the instrument allowed troops,allowed,instrument,STATIVE
marching behind the band to hear the music.,marching,allowed,DYNAMIC
"Contemporary works featuring this instrument are Dsir Dondeyne's ""Tubissimo"" for bass tuba or saxhorn and piano (1983) and Olivier Messiaen's ""Et exspecto resurrectionem mortuorum"" (1984).",works,Contemporary,STATIVE
== See also ==,,,CANNOT_DECIDE
*Alto horn,,,CANNOT_DECIDE
*Baritone horn,,,CANNOT_DECIDE
*Flugelhorn,,,CANNOT_DECIDE
*Sudrophone,,,CANNOT_DECIDE
==References==,,,CANNOT_DECIDE
"* J. Howard Foote catalog, 1893",,,CANNOT_DECIDE
*,,,CANNOT_DECIDE
*,,,CANNOT_DECIDE
*,,,CANNOT_DECIDE
==Discography==,=,Discography,CANNOT_DECIDE
* Saxhorn et piano - Hybrid'Music Label - October 2008,,,CANNOT_DECIDE
"* David Maillot, saxhorn - Graldine Dutroncy, piano - Works by Eugne Bozza, Marcel Bitsch, Jacques Castrde, Alain Bernaud, Henri Tomasi, Claude Pascal, Grard Devos and Roger Boutry.",,,CANNOT_DECIDE
* 14 Volumes of saxhorn band are available featuring The First Brigade Band.,are,Volumes,STATIVE
==External links==,,,CANNOT_DECIDE
"* Saxhorn, Euphonium and Tuba site (in French)",,,CANNOT_DECIDE
* Dodworth Saxhorn Band,,,CANNOT_DECIDE
* Greg's Brass History Page,,,CANNOT_DECIDE
* First Brigade Band,,,CANNOT_DECIDE
* Galpin Society list of extant Adolphe Sax instruments,,,CANNOT_DECIDE
*,,,CANNOT_DECIDE
