Clause,mainVerb,mainReferent,Gold
"The balalaika (link=no, bllajk)",link,,CANNOT_DECIDE
is a Russian stringed musical instrument with a characteristic triangular body and three strings.,is,balalaika,STATIVE
"The balalaika family of instruments includes instruments of various sizes, from the highest-pitched to the lowest: the piccolo balalaika, prima balalaika, secunda balalaika, alto balalaika, bass balalaika, and contrabass balalaika.",includes,family,STATIVE
The prima balalaika is the most common.,is,balalaika,STATIVE
"All have three-sided bodies; spruce, evergreen, or fir tops;",have,All,STATIVE
and backs made of three to nine wooden sections (usually maple).,made,backs,STATIVE
They are typically strung with three strings.,strung,They,DYNAMIC
"The prima balalaika, secunda and alto are played either with the fingers or a plectrum",played,balalaika,DYNAMIC
"(pick), depending on the music",pick,fingers,STATIVE
"being played,",played,music,DYNAMIC
and the bass and contrabass (equipped with extension legs that rest on the floor),equipped,bass,STATIVE
are played with leather plectra.,played,balalaika,DYNAMIC
The rare piccolo instrument is usually played with a pick.,played,instrument,DYNAMIC
==Etymology==,,,CANNOT_DECIDE
The earliest mention of the term balalaika dates back to an AD 1688 Russian document.,dates,=,STATIVE
"The term ""balabaika"" was widely used in Ukrainian language documents from 1717 to 1732.",used,balabaika,DYNAMIC
"According to one theory, the term was loaned to Russian,",According,,DYNAMIC
"where  in literary language  it first appeared in ""Elysei"", a 1771 poem by V. Maikov.",–,–,DYNAMIC
==Types==,,,CANNOT_DECIDE
The modern balalaika is found in the following sizes:,found,=,STATIVE
* piccolo,,,CANNOT_DECIDE
* prima,,,CANNOT_DECIDE
* secunda,,,CANNOT_DECIDE
* alto,,,CANNOT_DECIDE
* tenor (rare),,,CANNOT_DECIDE
* bass,*,tenor,CANNOT_DECIDE
* contrabass,contrabass,*,CANNOT_DECIDE
"The most common solo instrument is the prima,",is,instrument,STATIVE
which is tuned E-E-A,is,strings,STATIVE
(thus the two lower strings are tuned to the same pitch).,tuned,,STATIVE
"Sometimes the balalaika is tuned ""guitar style"" by folk musicians to G-B-D",tuned,balalaika,DYNAMIC
"(mimicking the three highest strings of the Russian guitar),",mimicking,musicians,STATIVE
"whereby it is easier to play for Russian guitar players,",is,it,STATIVE
although classically trained balalaika purists avoid this tuning.,avoid,purists,DYNAMIC
"It can also be tuned to E-A-D,",tuned,It,DYNAMIC
"like its cousin, the domra, to make it easier",make,cousin,CANNOT_DECIDE
"for those trained on the domra to play the instrument,",trained,those,CANNOT_DECIDE
and still have a balalaika sound.,have,cousin,STATIVE
"The folk (pre-Andreev) tuning D-F#-A was very popular,",was,folk,STATIVE
as this makes it easier to play certain riffs.,makes,this,DYNAMIC
"Factory-made six-string prima balalaikas with three sets of double courses are also common and popular, particularly in Ukraine.",are,balalaikas,STATIVE
These instruments have three double courses similar to the stringing of the mandolin,have,instruments,STATIVE
"and often use a ""guitar"" tuning.",use,instruments,DYNAMIC
Four string alto balalaikas are also encountered,encountered,balalaikas,DYNAMIC
and are used in the orchestra of the Piatnistky Folk Choir.,used,balalaikas,DYNAMIC
"The piccolo, prima, and secunda balalaikas were originally strung with gut with the thinnest melody string",strung,piccolo,DYNAMIC
made of stainless steel.,made,string,STATIVE
"Today, nylon strings are commonly used in place of gut.",used,Today,DYNAMIC
===Technique===,,,CANNOT_DECIDE
"An important part of balalaika technique is the use of the left thumb to fret notes on the lower string, particularly on the prima,",is,Technique,STATIVE
where it is used to form chords.,used,it,DYNAMIC
"Traditionally, the side of the index finger of the right hand is used to sound notes on the prima,",used,side,DYNAMIC
while a plectrum is used on the larger sizes.,used,plectrum,DYNAMIC
"One can play the prima with a plectrum,",play,One,DYNAMIC
but it is considered rather unorthodox to do so.,considered,One,STATIVE
"Because of the large size of the contrabass's strings, it is not uncommon to see players using plectrums",is,it,STATIVE
made from a leather shoe or boot heel.,made,plectrums,STATIVE
"The bass balalaika and contrabass balalaika rest on the ground,",rest,balalaika,STATIVE
on a wooden or metal pin that is drilled into one of its corners.,drilled,pin,STATIVE
==History==,,,CANNOT_DECIDE
===Possible origins of the Balalaika===,,,CANNOT_DECIDE
The exact origins of the Balalaika are unknown.,are,=,STATIVE
It is commonly agreed,agreed,It,STATIVE
"that is came from the Domra, an instrument from the Caucasus region of Russia.",came,,DYNAMIC
"There is also similarity to the Kazakh Dombra,",is,similarity,STATIVE
"which has 2 strings, and the Mongolian Topshur",has,Dombra,STATIVE
===The pre-Andreyev period===,,,CANNOT_DECIDE
"Early representations of the balalaika show it with anywhere from two to six strings,",,,STATIVE
which resembles certain Central Asian instruments.,resembles,strings,STATIVE
"Similarly, frets",,,CANNOT_DECIDE
on earlier balalaikas were made of animal gut,made,frets,STATIVE
and tied to the neck,tied,frets,DYNAMIC
so that they could be moved around by the player at will,moved,they,DYNAMIC
"(as is the case with the modern saz,",is,,STATIVE
which allows for the playing distinctive to Turkish and Central Asian music).,allows,saz,STATIVE
The first known document mentioning the instrument dates back to 1688.,dates,document,STATIVE
A guard's logbook from the kremlin records,records,logbook,CANNOT_DECIDE
that two serfs were stopped from playing the Balalika whilst drunk.,stopped,serfs,DYNAMIC
Further documents from 1700 and 1714 also mention the instrument.,mention,documents,DYNAMIC
"In the early 18th century the term appeared in Ukrainian documents,",appeared,term,DYNAMIC
"where it sounded like ""Balabaika"".",sounded,it,STATIVE
"Balalaika appeared in ""Elysei"", a 1771 poem by V. Maikov.",appeared,Balalaika,DYNAMIC
"In the 19th century, the balalaika evolved into a triangular instrument with a neck",evolved,balalaika,DYNAMIC
that was substantially shorter than that of its Asian counterparts.,was,neck,STATIVE
"It was popular as a village instrument for centuries, particularly with the skomorokhs, sort of free-lance musical jesters",was,It,STATIVE
"whose tunes ridiculed the Tsar, the Russian Orthodox Church, and Russian society in general.",ridiculed,jesters,DYNAMIC
