Clause,mainVerb,mainReferent,Gold
a brief History,,,CANNOT_DECIDE
Prehistoric man in Asia Minor (now modern Turkey),,,CANNOT_DECIDE
or Greece could look out across the Aegean toward the horizon,look,man,DYNAMIC
and see the faint silhouette of land.,see,man,DYNAMIC
Their curiosity pushed them to build vessels,pushed,curiosity,DYNAMIC
that were strong enough to ford the open seas,were,vessels,STATIVE
"and reach these islands,",reach,vessels,CANNOT_DECIDE
marking the start of the long legacy of Mediterranean seafaring.,marking,,DYNAMIC
"Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings.",set,Phoenicians,DYNAMIC
"They eventually reached the islands, and founded colonies on the islands in the northernmost part of the Aegean Sea.",reached,They,DYNAMIC
"An important early material, obsidian, was discovered on the island of Milos.",discovered,material,DYNAMIC
"Obsidian is a hard, vitreous volcanic rock,",is,Obsidian,STATIVE
which could be fashioned into tools for cutting and stabbing.,fashioned,rock,DYNAMIC
The high quality of the seam on Milos ensured,ensured,quality,STATIVE
that the area remained popular with early travelers.,remained,area,STATIVE
"The basic elements of life in the Aegean began to come together as early as 5000 b.c. ,",began,elements,DYNAMIC
and were already in place by the late Bronze Age (c. 2700 b.c. ).,were,elements,STATIVE
"The major changes were not to daily tasks and routines, but to the political power base,",were,changes,STATIVE
which changed regularly and not necessarily peacefully throughout the ages.,changed,base,DYNAMIC
Cycladic Culture,,,CANNOT_DECIDE
"At around 3500 b.c. , a sophisticated culture evolved in the Cyclades islands.",evolved,culture,DYNAMIC
"The distinctive, sculpted marble figures of the era are now being reproduced in vast quantities as souvenirs.",reproduced,figures,DYNAMIC
"You will find original examples in the archaeological museums throughout the Cyclades,",find,You,DYNAMIC
although one of the earliest examples is in the museum on Paros.,is,one,STATIVE
"The people farmed and fished; on the dawning of the Bronze Age in 2700 b.c. ,",farmed,people,DYNAMIC
they began to work with metals.,began,they,DYNAMIC
"The Cycladic culture was influenced by societies in the east,",influenced,culture,DYNAMIC
importing the pottery wheel from Mesopotamia.,importing,,DYNAMIC
They also continued to trade in obsidian and the local marble.,continued,They,DYNAMIC
The Minoans and the Myceneans,,,CANNOT_DECIDE
"Farther south in Crete, the Minoan culture developed",developed,culture,DYNAMIC
"after 2000 b.c. into the most significant of its age, spreading its influence throughout the region by trade and diplomacy.",spreading,,DYNAMIC
"Santorini (Thira), the next major island north, was heavily influenced by Crete,",influenced,Santorini,STATIVE
and the settlements of Thira and Akrotiri thrived at this time.,thrived,Santorini,DYNAMIC
"The magnificent frescoes and mosaics found at Akrotiri are in Athens at present,",are,frescoes,STATIVE
but the remains of the buildings at the site provide ample evidence of the sophistication of the culture here.,provide,frescoes,DYNAMIC
"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiriunder feet of ash and pumicebut the whole Minoan civilization.",destroyed,eruption,DYNAMIC
"Massive tidal waves swept over Crete, and other parts of the Mediterranean,",swept,waves,DYNAMIC
smashing buildings,smashing,,DYNAMIC
and drowning many thousands of people.,drowning,,DYNAMIC
"In the wake of this tremendous natural upheaval, the Aegean Islands next came under the influence of the Mycenaeans",came,Islands,DYNAMIC
"(at around 1300 b.c. ), who had a base in the Peloponnese region of the Greek mainland.",had,Mycenaeans,STATIVE
The Mycenaeans were an acquisitive race,were,Mycenaeans,STATIVE
"who came to conquer,",came,race,DYNAMIC
not to trade.,trade,conquer,CANNOT_DECIDE
Their extensive military campaigns were later chronicled by Homer in his epic poems The Odyssey and The Iliad.,chronicled,campaigns,DYNAMIC
The Rise of Athens,,,CANNOT_DECIDE
"The Dorians, who came overland from northern Europe,",came,Dorians,DYNAMIC
conquered the Mycenaeans.,conquered,Rise,DYNAMIC
"They were a barbaric race, and their custody of the area",were,They,STATIVE
brought about a dark period,brought,area,DYNAMIC
during which the written word was forgotten and art disappeared.,forgotten,word,DYNAMIC
"They held sway over islands off the northern Greek coast,",held,They,STATIVE
but the Phoenicians kept control of the main sea routes;,kept,They,STATIVE
"south of the area, trade continued as usual.",continued,trade,DYNAMIC
"At the same time, city-states began to grow in influence on the southern Greek mainland.",began,city-states,DYNAMIC
"Athens became the most powerful,",became,Athens,DYNAMIC
heralding the start of the classical Greek period.,heralding,Athens,DYNAMIC
"However, Greece was not yet a country;",was,Greece,STATIVE
each city-state was self-governing and autonomous.,was,city-state,STATIVE
"The new culture spread throughout the Mediterranean,",spread,culture,DYNAMIC
"helped by a huge increase in migration from the mainland to new settlements such as Carthage, a Greek city on the African coast of the Mediterranean.",helped,culture,DYNAMIC
Culture and the arts flourished once again.,flourished,Culture,DYNAMIC
Athletic prowess was admired,was,prowess,DYNAMIC
"and the Olympic games were constituted in 776 b.c. , to promote friendly competition.",constituted,prowess,DYNAMIC
Homer wrote his epic works on Chios;,wrote,Homer,DYNAMIC
"and lyrical poetry was much admired, particularly the work of the poets Archilochos on Paros and Sappho on Lesvos.",was,poetry,DYNAMIC
"The preeminent islands of this era were Delos, a sacred island and center of religion",were,islands,STATIVE
ruled by Athens;,ruled,religion,STATIVE
"Samos, ruled by the tyrant Polycrates; and Naxos,",ruled,Samos,STATIVE
whose ruler Lygdamis undertook some major building projects.,undertook,Lygdamis,DYNAMIC
Archaeology shows,shows,Archaeology,DYNAMIC
"that, during this time, societies lived mainly in coastal trading towns with little settlement inland.",lived,societies,STATIVE
The Persian Wars,,,CANNOT_DECIDE
"As Athens rose in influence and power in the West,",rose,Athens,DYNAMIC
it was matched in the East by the rise of the Persian Empire.,matched,it,DYNAMIC
"From a power base in Anatolia, the Persians overran the eastern Aegean Islands",overran,Persians,DYNAMIC
and set their sights on the Cyclades.,set,Persians,DYNAMIC
"In 490 b.c. , they captured sacred Delos",captured,they,DYNAMIC
and razed the settlements on Naxos.,razed,they,DYNAMIC
The island communities were undecided about which side to back for a time.,were,communities,STATIVE
"Paros and Andros contributed to the Persian armory,",contributed,Paros,DYNAMIC
while others supported Athens.,supported,others,DYNAMIC
The two superpowers finally clashed at the epic battles of Marathon and Salamis in 480 b.c.,clashed,superpowers,DYNAMIC
"The Persians were defeated,",defeated,Persians,DYNAMIC
and Athens duly punished the islands,punished,Persians,DYNAMIC
that had turned against it.,turned,islands,DYNAMIC
"Following its victory,",Following,,DYNAMIC
Athens introduced the concept of a mutual protection alliance (a kind of NATO of the ancient world).,introduced,Athens,DYNAMIC
"Several islands and Greek city-states agreed to work together,",agreed,islands,DYNAMIC
"and created a treasury to fund their plans,",created,islands,DYNAMIC
which was held on the island of Delos.,held,plans,STATIVE
The alliance became known as the Delian League.,became,alliance,DYNAMIC
"Although there were minor internal wrangles,",were,wrangles,STATIVE
"the league controlled the Aegean and the greater Athenian Empire for most of the fifth century b.c. Later, in 454 b.c. ,",controlled,league,STATIVE
the treasury was transferred to Athens,transferred,league,DYNAMIC
and its deposits were used to finance the construction of many of the major buildings and temples of the Classical Age.,used,league,DYNAMIC
"In 431 b.c. , Athens began a war with its neighbor and league member Sparta.",began,Athens,DYNAMIC
"Although the islands saw little action, as the war went on",saw,islands,DYNAMIC
they could see,see,they,DYNAMIC
that Athens was slowly losing its power.,losing,Athens,DYNAMIC
"Before the end of the war in 401 b.c. , many islands had already transferred their allegiance to the victors,",transferred,islands,DYNAMIC
who were led by Philip II of Macedon.,led,victors,STATIVE
"He was followed in 336 b.c. by his son Alexander the Great, one of the most remarkable leaders in history.",followed,He,DYNAMIC
His rise to power ushered in the Hellenistic period.,ushered,rise,DYNAMIC
Hellenistic and Roman Periods,,,CANNOT_DECIDE
"When Alexander went on to conquer lands as far to the east as India, the Aegean became a crossroads for the long trading routes.",became,Periods,DYNAMIC
Delos became one of the largest marketplaces in the empire.,became,Delos,DYNAMIC
"Following Alexanders death, his lands were divided among his generals.",Following,,DYNAMIC
"Much of the Aegean came under the rule of the Ptolemies, along with Egypt.",came,Much,DYNAMIC
Cleopatra was a member of this famous ruling clan.,was,Cleopatra,STATIVE
"Although in 88 b.c. , Mithradates made a swift and successful raid from the East across Asia Minor and the Aegean Islands, the next major power change brought influence from the West.",brought,change,DYNAMIC
