Clause,mainVerb,mainReferent,Gold
"The Bandidos Motorcycle Club, also known as the Bandido Nation,",known,Club,STATIVE
"is a ""one-percenter"" motorcycle gang and organized crime syndicate with a worldwide membership.",is,Club,STATIVE
The club was formed in 1966 by Don Chambers in Texas.,formed,club,DYNAMIC
"Its motto is ""We are the people",is,motto,STATIVE
"our parents warned us about"".",warned,parents,DYNAMIC
"It is estimated to have 2,400 members in 210 chapters,",estimated,It,STATIVE
located in 22 countries.,located,chapters,STATIVE
The club considers itself to be an outlaw motorcycle club.,considers,club,STATIVE
"The Federal Bureau of Investigation and the Criminal Intelligence Service Canada have named the Bandidos an ""outlaw motorcycle gang"".",named,Bureau,DYNAMIC
==Organization==,,,CANNOT_DECIDE
"The Bandidos has over 90 chapters in the United States, 90 chapters in Europe, and another 17 in Australia, 1 in New Zealand and In Southeast Asia.",has,=,STATIVE
===In North America===,,,CANNOT_DECIDE
"In the United States, the club is concentrated in Texas,",concentrated,club,STATIVE
"but extends into Louisiana, Mississippi, Alabama, Arkansas, New Mexico, Colorado, Montana, Wyoming, South Dakota, Utah, Idaho, Nevada, Washington, Oklahoma, Nebraska, and several other states.",extends,club,STATIVE
"In Canada, the Rock Machine Motorcycle club in Montral merged with the Bandidos in 2000;",merged,club,DYNAMIC
"there was a chapter in Toronto, Ontario until a dramatic internal conflict",was,chapter,STATIVE
led to their deaths.,led,conflict,DYNAMIC
===In Oceania===,,,CANNOT_DECIDE
The Bandidos are also found in Australia;,found,Bandidos,STATIVE
"aside from the non-locale-specific Nomads chapter, the chapters are located in Adelaide, Ballarat, Brisbane",located,=,STATIVE
"(Bayside, Centro, City), Byron Bay, Cairns, Geelong, Gold Coast, Hunter Region, Port Stephens, Ipswich, Melbourne, Mid North Coast, Mid State, Mission Beach, Noosa, North Victoria, Northside, Sunshine Coast, Sydney, and Toowoomba,",,,CANNOT_DECIDE
and were acquired with much bloodletting.,acquired,,DYNAMIC
They have attempted to establish themselves in New Zealand starting in 2012.,attempted,They,DYNAMIC
An attempt in South Auckland in 2012 was stymied,stymied,attempt,DYNAMIC
"when their main contact, a former member of the Highway 61 gang, was recalled to prison for meeting them.",recalled,contact,DYNAMIC
In 2013 it was reported,reported,it,DYNAMIC
that some former Highway 61 members in Christchurch had aligned with the Bandidos.,aligned,members,DYNAMIC
===In Europe===,,,CANNOT_DECIDE
"The first European chapter opened in Marseilles in France in 1989, followed by chapters in Scandinavia, in Denmark in 1993 and Sweden in 1994.",opened,chapter,DYNAMIC
"In recent years the club has also expanded heavily into Germany, Spain, Norway, Finland, Belgium, Italy, Netherlands, Luxembourg and the Channel Islands.",expanded,club,DYNAMIC
"As of March 15, 2014, the club has opened a new ""Probationary Chapter"" in Sittard, in the Netherlands.",opened,club,DYNAMIC
"Additionally, it is looking into setting up shop in Russia and Eastern Europe and also in Singapore, Malaysia and Thailand.",looking,it,DYNAMIC
"The Bandidos are organized by local chapters, with state and regional officers, as well as a national chapter",organized,Bandidos,STATIVE
made up of four regional vice presidents and a national president.,made,chapter,STATIVE
===Support clubs===,,,CANNOT_DECIDE
"Like the Hells Angels, The Bandidos also have a number of ""support"" clubs,",have,Bandidos,STATIVE
who are used as proxies for both legal and illegal activities.,used,clubs,DYNAMIC
These groups usually wear reverse colors (gold border with red background rather than the Bandidos' red-borderandgold background).,wear,groups,DYNAMIC
They also commonly wear a unique patch,wear,They,DYNAMIC
"(known as the ""Heart Patch"") consisting of a round patch in Bandidos colors on the front upper left of the colors (vest),",known,patch,STATIVE
as worn by the member.,,,STATIVE
Most of these clubs are regional.,are,Most,STATIVE
==Criminal involvement==,,,CANNOT_DECIDE
===United States===,,,CANNOT_DECIDE
"In November 2006, Glenn Merritt of the Bellingham, Washington chapter was sentenced to four years in prison for drug possession and trafficking in stolen property.",sentenced,chapter,DYNAMIC
"A total of 32 members were indicted in the associated investigation, on charges",indicted,total,DYNAMIC
"including conspiracy, witness tampering, and various drug and gun violations.",including,,CANNOT_DECIDE
Eighteen of those pled guilty.,pled,those,DYNAMIC
"In October, 2006, George Wegers, then Bandidos' international president, pled guilty",pled,2006,DYNAMIC
and received a two-year sentence for conspiracy to engage in racketeering.,received,2006,DYNAMIC
"On 16 August 2004, a passer-by on Interstate 10 flagged down a police car after finding Robert Quiroga, International Boxing Federation Super flyweight champion from 1990 to 1993,",flagged,passer-by,DYNAMIC
lying next to his car.,lying,Quiroga,STATIVE
Quiroga had been stabbed multiple times.,stabbed,Quiroga,DYNAMIC
"Richard Merla, a member of the Bandidos, was arrested in 2006 for the killing",arrested,Merla,DYNAMIC
and in 2007 pled no contest to murdering Quiroga;,pled,Merla,DYNAMIC
he was sentenced to 40 years in prison.,sentenced,he,DYNAMIC
"""I don't regret it.",regret,I,STATIVE
I don't have no remorse.,have,I,STATIVE
I don't feel sorry for him and his family.,feel,I,STATIVE
I don't,do,I,STATIVE
"and I mean that,""",mean,I,STATIVE
Merla admits.,admits,Merla,DYNAMIC
"In regards to the murder of Robert Quiroga, the Bandidos Motorcycle Club denounced any involvement in the crime,",denounced,Club,DYNAMIC
stating,stating,Club,DYNAMIC
"that Merla's actions were his own, and not those of the Club.",were,actions,STATIVE
Merla was expelled from the Bandidos due to his actions.,expelled,Merla,DYNAMIC
"In March 2006 police in Austin, Texas announced",announced,Texas,DYNAMIC
"that the Bandidos were the prime suspects in the March 18, 2006 slaying of a 44-year-old local motorcyclist",were,Bandidos,STATIVE
named Anthony Benesh.,named,motorcyclist,STATIVE
"Benesh, who had been trying to start an Austin chapter of the Hells Angels,",,,DYNAMIC
"was shot in the head by an unseen sniper,",shot,Benesh,DYNAMIC
as he was leaving a North Austin restaurant with his girlfriend and two children.,leaving,he,DYNAMIC
Police said,said,Police,DYNAMIC
that Benesh was flanked by other people,flanked,Benesh,DYNAMIC
"and the shooter used only one bullet,",used,Benesh,DYNAMIC
fired at a distance from a high-powered rifle.,fired,bullet,DYNAMIC
"The murder occurred on the same weekend as the annual Bandidos MC ""Birthday Party"" in Southeast Texas,",occurred,murder,DYNAMIC
marking the 40th anniversary of the club's 1966 founding.,marking,,STATIVE
"According to police, in the days before his murder, Benesh had been receiving telephone calls from Bandidos",According,,DYNAMIC
telling him to stop wearing a vest,telling,Benesh,DYNAMIC
that displayed,displayed,vest,STATIVE
Hells Angels patches.,,,CANNOT_DECIDE
===Scandinavia===,,,CANNOT_DECIDE
"A turf and drug war between the Hells Angels and the Bandidos, known as the ""Great Nordic Biker War"" raged from 1993 until 1997.",known,war,DYNAMIC
"It resulted in 11 murders, 74 attempted murders, and 96 wounded members of the involved biker clubs.",resulted,It,DYNAMIC
In Denmark a law was passed in response to the biker war,passed,law,DYNAMIC
that banned biker clubs from owning or renting property for their club activities.,banned,war,DYNAMIC
The law was later repealed on constitutional grounds.,repealed,law,DYNAMIC
"On 14 January 2009, the Bandidos Sweden President, Mehdi Seyyed, was sentenced to nine years in prison for two counts of attempted murder.",sentenced,President,DYNAMIC
"He bombed two cars in Gothenburg, in September 2006, with hand grenades, in acts of revenge",bombed,He,DYNAMIC
as the victims had previously testified against him.,testified,victims,DYNAMIC
Four other Bandidos members received shorter sentences for their involvement in the attacks.,received,members,DYNAMIC
===Australia===,,,CANNOT_DECIDE
"The Australian chapter was founded by Anthony Mark ""Snodgrass"" Spencer in 1983",founded,Australia,DYNAMIC
following a split from the Comanchero Motorcycle Club.,following,,CANNOT_DECIDE
"The Bandidos are known in Australia for their involvement in the Milperra Bikie Massacre, a shoot-out with the rival Comanchero Motorcycle Club",known,Bandidos,STATIVE
that killed six gang members and a young bystander.,killed,Club,DYNAMIC
"In 2002, a Bandidos Motorcycle Club member was shot and wounded by Sean Waygood and Michael Christiansen of the Anthony ""Rooster"" Perish criminal gang network in Haymarket, New South Wales",shot,member,DYNAMIC
"More recently, five Bandidos are accused of starting a blaze",accused,Bandidos,DYNAMIC
"which destroyed the Rebels clubhouse at Albion, a suburb of Brisbane, Australia on 27 March 2007.",destroyed,blaze,DYNAMIC
All five faced Brisbane Magistrates Court again on 4 June 2007.,faced,five,DYNAMIC
"On 22 October 2008, Bandido member Ross Brand, 51 and an acquaintance were shot",shot,Brand,DYNAMIC
while walking outside the gang's Geelong clubhouse.,walking,,DYNAMIC
Mr. Brand was struck in the head,struck,Brand,DYNAMIC
and died.,died,Brand,DYNAMIC
Rival Rebels motorcycle gang affiliate John Russell Bedson was convicted for the shooting,convicted,Bedson,DYNAMIC
"and sentenced to a maximum 23 years in jail, with an 18-year non-parole period",sentenced,Bedson,DYNAMIC
On 24 March 2009 the Sergeant at Arms of the Bandidos Parramatta chapter Mahmoud Dib was arrested and charged with firearms offences by police,arrested,Sergeant,DYNAMIC
investigating a string of drive-by shootings in Sydney.,investigating,police,DYNAMIC
Police found a .45 calibre semi-automatic pistol,found,Police,DYNAMIC
which was loaded with seven bullets.,loaded,pistol,STATIVE
Days before Dib's arrest his family home was the scene of a wild shootout between members of the Bandidos and the Notorious gang in what is believed to be an ongoing feud with the latter Parramatta based bike group and the Bandidos.,was,Days,STATIVE
