Clause,mainVerb,mainReferent,Gold
The Decline of the Northeastern Ohio Steel Market: Why Did Attempts by Union Leaders and Concerned Citizens to Revive the Steel Industry Ultimately Fail?,Fail,Market,CANNOT_DECIDE
"An Extended Essay in History By Philosophy E. Walker Candidate Number: xxxxxxxxx Supervisor: Alexis Mamaux Date: January 12, 2004 Word Count: 3215 United World College of the American West Montezuma, NM 87731 USA",,,CANNOT_DECIDE
"September 19, 1977 is a date",is,USA,STATIVE
"that few people in Youngstown, Ohio will ever forget.",forget,people,DYNAMIC
"On that date Jennings Lambeth, president of Youngstown Sheet and Tube Company, announced",announced,Lambeth,DYNAMIC
that most of the steel companys Campbell Works would close.,close,most,DYNAMIC
"Although for other cities this would simply be a minor economic setback, for the people of Youngstown and the surrounding area,",be,this,STATIVE
it meant disaster.,meant,it,STATIVE
"Mahoning County was a one-industry area,",was,County,STATIVE
"and the people of Youngstown, Struthers, Campbell, Boardman Township, and the numerous other small towns and villages in the area only had one main employer: the steel mills.",had,area,STATIVE
The events that would follow this date,follow,events,DYNAMIC
(known as Black Monday),known,events,STATIVE
are seen by the people,seen,events,STATIVE
who witnessed them either as stories of great courage and determination or as monuments to human failure and false hope.,witnessed,people,DYNAMIC
Rather than sit back,sit,than,CANNOT_DECIDE
and wait,wait,than,CANNOT_DECIDE
"for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open.",fought,workers,DYNAMIC
"Petitions, protests, rallies, collectivization, and even the takeover of a steel companys headquarters were all attempted in a desperate movement by those in the industry to preserve the only source of employment",attempted,collectivization,DYNAMIC
that this town had.,had,source,STATIVE
"These well-intentioned efforts ultimately failed,",failed,efforts,DYNAMIC
leaving thousands with shattered dreams and a distinct lack of trust in fellow humankind.,leaving,,DYNAMIC
But why did the brave attempts by union leaders and concerned citizens to revive the steel industry ultimately fail?,fail,attempts,CANNOT_DECIDE
"When examining the areas history, culture, and economic situation",examining,identify,DYNAMIC
we can identify four main reasons:,identify,we,DYNAMIC
"the refusal of the international leadership of United Steelworkers of America to support their unions Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism",support,refusal,CANNOT_DECIDE
"which caused animosity between different small towns in the region,",caused,regionalism,DYNAMIC
all contributed in some way to the failure of the workers and union leaders to save the industry.,contributed,all,DYNAMIC
"Most importantly, the problem in Youngstown was a nationwide problem.",was,problem,STATIVE
"Although it affected Youngstown and the surrounding area more than it affected other regions,",affected,it,DYNAMIC
the local people simply could not solve a national crisis on a local level.,solve,people,DYNAMIC
A Brief History of Steel in Northeastern Ohio,,,CANNOT_DECIDE
In 1802 James and Daniel Heaton discovered ore and coal lining Yellow Creek in an area outside of Youngstown,discovered,History,DYNAMIC
known as Poland Township.,known,area,STATIVE
"Their blast furnace, Hopewell, was the very first blast furnace in the area.",was,furnace,STATIVE
"During the Civil War, Youngstown played a vital role in supplying the Union army with iron products.",played,Youngstown,DYNAMIC
"Youngstown also was a major railway crossroads, due to its strategic position between Cleveland, Pittsburgh, New York, and Chicago.",was,Youngstown,STATIVE
"In fact, More rail cars passed under the Center Street Bridge [a major bridge in Youngstown] per day than any other location in the country.",passed,cars,DYNAMIC
"During the 19th century, the center of iron manufacturing had gradually shifted from the far East Coast",shifted,center,DYNAMIC
"(Massachusetts and Eastern Pennsylvania) to the Ohio Valley Pittsburgh regions of the Northeast, including the Mahoning Valley and the Hanging Rock region of Ohio and Kentucky.",including,,STATIVE
"By 1880, Youngstowns population had grown to nearly 16,000,",grown,population,DYNAMIC
which meant,meant,"16,000",STATIVE
it had doubled in size over a twenty-year period.,doubled,it,DYNAMIC
"The town continued to prosper,",continued,town,DYNAMIC
driven by the flux of immigrants,driven,continued,STATIVE
pouring in with the hopes of employment at the mills.,pouring,immigrants,DYNAMIC
"This prosperity continued until the late 1920s,",continued,prosperity,STATIVE
when the Great Depression hit the area hard.,hit,Depression,DYNAMIC
"Despite the Congress of Industrial Organizations successful efforts to establish a national steel workers union,",establish,efforts,CANNOT_DECIDE
the industry barely survived the Depression years.,survived,industry,DYNAMIC
"Finally, the outbreak of the Second World War made iron and steel important again,",made,outbreak,DYNAMIC
and Youngstown was bolstered out of its economic standstill into a fast-paced period of booming growth.,bolstered,outbreak,DYNAMIC
"Youngstown may have been an important and prosperous region in the post-war period,",been,Youngstown,STATIVE
but the seeds for its downfall were slowly being sown.,sown,region,DYNAMIC
"Strikes racked the town during the forties, fifties, and sixties,",racked,Strikes,DYNAMIC
and they were often long and bloody.,were,they,STATIVE
"In 1973, the Experimental Negotiating Agreement was signed.",signed,Agreement,DYNAMIC
"This prohibited strikes and lockout,",prohibited,This,DYNAMIC
angering workers,angering,prohibited,DYNAMIC
and driving productivity and laborer morale down.,driving,prohibited,DYNAMIC
"At the same time, stricter governmental standards for environmental protection and the growth of imported steel were making it harder to produce and market American steel parts,",making,standards,DYNAMIC
and the overeager shareholders in the companies stock were pushing for more and more of their share of the pie.,pushing,standards,DYNAMIC
"Most importantly, Youngstowns steel mills were slowly becoming less efficient and more expensive.",becoming,mills,DYNAMIC
"Old technology was not replaced,",replaced,technology,DYNAMIC
"obsolete methods were not updated,",updated,technology,DYNAMIC
and almost none of the industrys profits were being utilized to help modernize.,utilized,technology,DYNAMIC
It was a recipe for disaster,was,It,STATIVE
that would soon explode in the faces of hundreds of thousands of workers and their families.,explode,recipe,DYNAMIC
Black Monday and the Crash of the Steel Industry,,,CANNOT_DECIDE
"The announcement of the closing of the mills in 1977 was the beginning of a downward spiral,",was,Crash,STATIVE
which would send the entire valley into chaos and ruin.,send,spiral,DYNAMIC
"Between 1977 and 1981, a total of five mills were closed",closed,total,DYNAMIC
"and approximately 25,000 jobs were lost countywide.",lost,total,DYNAMIC
Meetings of union officials and mill bosses were hurriedly set up in an attempt to persuade the powers,set,Meetings,DYNAMIC
that be to reconsider their statement.,be,powers,CANNOT_DECIDE
"However, it was clear",was,it,STATIVE
"that, in the words of USWA president Lloyd McBride, If",,,CANNOT_DECIDE
"you cant make a buck,",make,you,DYNAMIC
you get out of the business.,get,you,DYNAMIC
"The closings meant the end of Youngstowns only real industry, the end of its population growth, and then end of economic progress.",meant,closings,STATIVE
"Without the mills, people sought other places of employment in adjoining states or even other areas of the country.",sought,people,DYNAMIC
Those that could afford to move did so;,did,Those,DYNAMIC
those that couldnt afford to move mostly ended up on the streets.,ended,those,DYNAMIC
"Without an industrial or a residential base, commerce shrank considerably.",shrank,commerce,DYNAMIC
It was becoming increasingly clear,becoming,It,DYNAMIC
that without the industrial base provided,provided,base,CANNOT_DECIDE
"by the mills, the city of Youngstown would soon become a ghost town,",become,city,DYNAMIC
inhabited by those too poor or hopeful to escape.,inhabited,town,STATIVE
The workers decided,decided,workers,DYNAMIC
"they needed to do something to save their city,",needed,they,STATIVE
and so they mobilized in a variety of ways.,mobilized,they,DYNAMIC
Attempts to Save the Mills,Save,Attempts,CANNOT_DECIDE
"The very first thing that the workers could do was to get up a petition to stop the shutdown,",“,Attempts,STATIVE
" says Ed Mann, a local union leader and organizer.",says,”,DYNAMIC
"The petition was circulated,",circulated,petition,DYNAMIC
eventually including thousands of signatures;,including,circulated,STATIVE
it was then given to USWA representatives to present to President Carter in Washington.,given,it,DYNAMIC
"However, the representatives were shunted to the side",shunted,representatives,DYNAMIC
"and ignored in Washington,",ignored,representatives,DYNAMIC
since Youngstowns political influence had died with its industry.,died,influence,DYNAMIC
"The International chapter of the USWA had much more lobbying power,",had,chapter,STATIVE
but they refused to support the local union members.,refused,chapter,DYNAMIC
The petition was lost among paperwork and bureaucratic procedure.,lost,petition,DYNAMIC
"Next, workers decided to form the Ecumenical Coalition, an organization",decided,workers,DYNAMIC
of local religious groups which spearheaded the attempt to reopen the Youngstown works.,spearheaded,groups,DYNAMIC
The Coalition drafter letters to the Lykes Company asking,drafter,Coalition,DYNAMIC
if a group of workers might purchase the mill,purchase,group,DYNAMIC
and run it collectively.,run,group,DYNAMIC
"Lykes ignored the letters,",ignored,Lykes,DYNAMIC
so the Coalition turned once again to the federal government.,turned,Coalition,DYNAMIC
"Here, too, they were ignored.",ignored,they,DYNAMIC
"The Coalition had no proper funds to buy the mills,",had,Coalition,STATIVE
so they could do nothing,do,they,DYNAMIC
but sit back,sit,they,DYNAMIC
and watch,watch,they,DYNAMIC
as the mills closed.,closed,mills,DYNAMIC
"Finally, following the shutdown of US Steels plant in 1980, local union leaders congregated outside the US Steel Headquarters in Youngstown.",following,,DYNAMIC
"They invited local people and politicians to witness the scene,",invited,They,DYNAMIC
then charged the Headquarters,charged,They,DYNAMIC
and took it over.,took,They,DYNAMIC
"The workers stayed there until the next day,",stayed,workers,DYNAMIC
when US Steel declared,declared,Steel,DYNAMIC
that they were ready to talk about selling the mill.,were,they,STATIVE
"Immediately after the workers left the building, US steel representatives told the local union leaders",told,representatives,DYNAMIC
that they had changed their minds,changed,they,DYNAMIC
and were no longer interested in allowing the workers to purchase the mill.,were,they,STATIVE
"All these efforts eventually came to nothing,",came,efforts,DYNAMIC
and Youngstowns steel mills remained closed.,remained,efforts,STATIVE
"These attempts to save the mills were hindered by several major factors,",hindered,attempts,DYNAMIC
"including the decline of the world steel market,",including,,STATIVE
which made American steel impossible to sell or export.,made,factors,DYNAMIC
The Decline of the World Market,,,CANNOT_DECIDE
The efforts to save the mills failed,failed,Decline,DYNAMIC
partly because the international market for steel had largely dried up.,dried,market,DYNAMIC
During World War II the rest of the world was hungry for Americas iron and steel products;,was,rest,STATIVE
"however, by the seventies no foreign nations needed to import steel in such large quantities.",needed,nations,STATIVE
"In fact, American steel imports were beginning to outweigh exports.",beginning,imports,DYNAMIC
"Foreign steel was easier and more efficient to make,",was,steel,STATIVE
and was often of higher quality than domestic steel.,was,steel,STATIVE
"Foreign steel companies invested in their factories,",invested,companies,DYNAMIC
updating their technology and replacing their equipment often.,updating,companies,DYNAMIC
This meant,meant,This,STATIVE
"that foreign facilities were more modern and efficient than any plants in America,",were,facilities,STATIVE
and therefore were able to export a more competitive product.,were,facilities,STATIVE
Foreign steel was also much cheaper.,was,steel,STATIVE
"Wage hikes, although they helped to improve living conditions of steel workers in the US,",helped,made,DYNAMIC
made American steel far more expensive.,made,hikes,DYNAMIC
"Also, international competitors drew on a large supply of very cheap labor.",drew,competitors,STATIVE
"Jobs were scarce in other steel-exporting countries,",were,Jobs,STATIVE
and labor laws were either non-existent or allowed employers to pay much less for work.,were,laws,STATIVE
"Labor costs in America continued to go up,",continued,costs,DYNAMIC
"draining US companies of their resources,",draining,,DYNAMIC
while companies overseas were able to cut labor costs,were,companies,STATIVE
and put that money back into updating and renovating their facilities.,put,companies,DYNAMIC
"On a worldwide scale, newer materials such as aluminum, plastic, and composites were beginning to substitute steel both at home and abroad.",beginning,materials,DYNAMIC
"Steel demand worldwide was beginning to decline,",beginning,demand,DYNAMIC
and it affected both domestic and foreign companies.,affected,demand,DYNAMIC
"However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience",was,lack,STATIVE
they could not afford.,afford,they,STATIVE
"Americas steel remained unsold,",remained,steel,STATIVE
flooding the world market with inferior products,flooding,steel,DYNAMIC
that no one wanted to buy.,wanted,one,STATIVE
"Since this problem was a national one rather than a local one, the problems",was,problem,STATIVE
that were occurring in Youngstown were not unique.,were,problems,STATIVE
"Youngstown was perhaps hit harder than any other town by the collapse of the steel industry,",hit,Youngstown,DYNAMIC
but it was not alone.,was,it,STATIVE
"The problem was a national one, involving many more mills and issues than Youngstowns alone.",was,problem,STATIVE
"J. Philip Richley, a union member and organizer of many attempts to save 5the mills, has summed it up thus:",save,attempts,DYNAMIC
You just cant solve a nation-wide problem in a single city.,“,”,DYNAMIC
The decline of the world steel market affected not just Youngstown but the entire steel community in America.,affected,decline,DYNAMIC
Trying to prop up one citys mills was impossible,was,Trying,STATIVE
when faced with the depression,faced,,DYNAMIC
that spread throughout the entire industry.,spread,depression,DYNAMIC
The Save Our Valley Campaign: Lack of Funds and Plans,,,CANNOT_DECIDE
"Eventually, some religious leaders involved in the Ecumenical Coalition joined forces within community members and former steel mill employees to create the Save Our Valley Campaign.",joined,Campaign,DYNAMIC
"As the name suggests,",suggests,name,STATIVE
"local leaders wanted to instill the people of Youngstown with a fierce sense of urgency,",wanted,leaders,STATIVE
driving them forward to confront steel companies and owners,driving,,DYNAMIC
and help secure the future of the region.,help,,DYNAMIC
"Marches, speeches, and letter writing were all employed to help stimulate the Campaign",employed,speeches,DYNAMIC
and rally the people.,rally,,CANNOT_DECIDE
But the Campaign was bogged down heavily by the lack of proper funding.,bogged,Campaign,DYNAMIC
"The people of Youngstown, being now unemployed had very little money to spend on anything but staying alive.",unemployed,people,STATIVE
"College tuition, clothes, food, and heating all had to come before donations to non-profit organizations.",had,all,STATIVE
"People outside of the area had no personal investment in the mills,",had,People,STATIVE
