Clause,mainVerb,mainReferent,Gold
Consumer protection is a group of laws and organizations,is,protection,STATIVE
"designed to ensure the rights of consumers as well as fair trade, competition and accurate information in the marketplace.",designed,group,STATIVE
The laws are designed to prevent businesses,designed,laws,STATIVE
that engage in fraud or specified unfair practices from gaining an advantage over competitors.,engage,businesses,DYNAMIC
They may also provide additional protection for those most vulnerable in society.,provide,They,STATIVE
Consumer protection laws are a form,are,laws,STATIVE
"of government regulation, which aim to protect the rights of consumers.",aim,form,STATIVE
"For example, a government may require businesses to disclose detailed information about productsparticularly in areas",require,government,STATIVE
"where safety or public health is an issue, such as food.",is,safety,STATIVE
"Consumer protection is linked to the idea of consumer rights, and to the formation of consumer organizations,",linked,protection,STATIVE
which help consumers make better choices in the marketplace,help,formation,DYNAMIC
and get help with consumer complaints.,get,consumers,CANNOT_DECIDE
"Other organizations that promote consumer protection include government organizations and self-regulating business organizations such as consumer protection agencies and organizations, the Federal Trade Commission, ombudsmen, Better Business Bureaus, etc.",include,organizations,STATIVE
A consumer is defined as someone,defined,consumer,STATIVE
who acquires goods or services for direct use or ownership rather than for resale or use in production and manufacturing.,acquires,someone,DYNAMIC
Consumer interests can also be protected by promoting competition in the markets,protected,interests,DYNAMIC
"which directly and indirectly serve consumers, consistent with economic efficiency,",serve,markets,DYNAMIC
but this topic is treated in competition law.,treated,interests,STATIVE
Consumer protection can also be asserted via non-government organizations and individuals as consumer activism.,asserted,protection,DYNAMIC
==Consumer law==,,,CANNOT_DECIDE
Consumer protection law or consumer law is considered an area of law,considered,law,STATIVE
that regulates private law relationships between individual consumers and the businesses,regulates,area,DYNAMIC
that sell those goods and services.,sell,businesses,DYNAMIC
"Consumer protection covers a wide range of topics,",covers,protection,STATIVE
including,including,,STATIVE
"but not necessarily limited to product liability, privacy rights, unfair business practices, fraud, misrepresentation, and other consumer/business interactions.",limited,range,CANNOT_DECIDE
It's a way,'s,It,STATIVE
"of preventing fraud and scams from service and sales contracts, bill collector regulation, pricing, utility turnoffs, consolidation, personal loans",preventing,way,CANNOT_DECIDE
that may lead to bankruptcy.,lead,scams,DYNAMIC
===Australia===,,,CANNOT_DECIDE
"In Australia, the corresponding agency is the Australian Competition and Consumer Commission or the individual State Consumer Affairs agencies.",is,agency,STATIVE
The Australian Securities and Investments Commission has responsibility for consumer protection regulation of financial services and products.,has,Securities,STATIVE
===Germany===,,,CANNOT_DECIDE
A minister of the federal cabinet is responsible for consumer rights and protection (Verbraucherschutzminister).,is,=,STATIVE
"In the current cabinet of Angela Merkel, this is Heiko Maas.",is,this,STATIVE
"When issuing public warnings about products and services, the issuing authority has to take into account",has,authority,STATIVE
"that this affects the supplier's constitutionally protected economic liberty,",affects,this,DYNAMIC
"see Bundesverwaltungsgericht (Federal Administrative Court) Case 3 C 34.84, 71 BVerwGE 183).",see,affects,CANNOT_DECIDE
===India===,,,CANNOT_DECIDE
"In India, the Consumer Protection Act of 1986 is the law",is,Act,STATIVE
governing consumer protection.,governing,law,STATIVE
"Under this law, Separate Consumer Dispute Redressal Fora have been set up throughout India in each and every district",set,Fora,DYNAMIC
in which a consumer can be filed by both the consumer of a goods as well as of the services can file his complaint on a simple paper with nominal court fees,filed,consumer,DYNAMIC
and his complaint will be decided by the Presiding Officer of the District Level.,decided,Fora,DYNAMIC
Appeal could be filed to the State Consumer Disputes Redressal Commissions and after that to the National Consumer Disputes Redressal Commission (NCDRC).,filed,Appeal,DYNAMIC
The procedures in these tribunals are relatively less formal and more people friendly,are,procedures,STATIVE
and they also take less time to decide upon a consumer dispute,take,procedures,STATIVE
when compared to the years,compared,,DYNAMIC
long time taken by the traditional Indian judiciary.,taken,time,DYNAMIC
"In recent years, many effective judgement have been passed by some state and National Consumer Forums.",passed,judgement,DYNAMIC
===Republic of China (Taiwan)===,,,CANNOT_DECIDE
"Modern Taiwanese law has been heavily influenced by European civil law systems, particularly German and Swiss law.",influenced,law,STATIVE
"The Civil Code in Taiwan contains five books: General Principles, Obligations, Rights over Things, Family, and Succession.",contains,Code,STATIVE
"The second book of the Code, the Book of Obligations, provided the basis",provided,Book,DYNAMIC
from which consumers could bring products liability actions prior to the enactment of the CPL.,bring,consumers,DYNAMIC
"The Consumer Protection Law (CPL) in Taiwan,",,,CANNOT_DECIDE
"as promulgated on January 11, 1994 and effective on January 13, 1994, specifically protects the interests and safety of customers",protects,book,STATIVE
using the products or services,using,customers,DYNAMIC
provided by business operators.,provided,products,DYNAMIC
The Consumer Protection Commission of Executive Yuan serves as an ombudsman,serves,Commission,STATIVE
"supervising,",supervising,ombudsman,DYNAMIC
