Clause,mainVerb,mainReferent,Gold
A choir () (also known as a chorale or chorus) is a musical ensemble of singers.,is,(,STATIVE
"Choral music, in turn, is the music",is,music,STATIVE
written specifically for such an ensemble to perform.,written,music,DYNAMIC
A body of singers who perform together as a group is called a choir or chorus.,called,body,STATIVE
The former term is very often applied to groups,applied,term,DYNAMIC
affiliated with a church,affiliated,,STATIVE
(whether or not they actually occupy the choir) and the second to groups,occupy,they,STATIVE
"that perform in theatres or concert halls,",perform,groups,DYNAMIC
but this distinction is far from rigid.,is,term,STATIVE
"The term ""Choir"" has the secondary definition of a subset of an ensemble; thus one speaks of the ""woodwind choir"" of an orchestra, or different ""choirs"" of voices and/or instruments in a polychoral composition.",has,Choir,STATIVE
"In typical 18th- to 21st-century oratorios and masses, chorus or choir is usually understood to imply more than one singer per part,",understood,chorus,STATIVE
in contrast to the quartet of soloists also featured in these works.,featured,soloists,STATIVE
== Structure of choirs ==,,,CANNOT_DECIDE
Choirs are often led by a conductor or choirmaster.,led,Structure,DYNAMIC
Most often choirs consist of four sections,consist,choirs,STATIVE
"intended to sing in four part harmony,",intended,sections,STATIVE
but there is no limit to the number of possible parts as long as there is a singer available to sing the part:,is,choirs,STATIVE
Thomas Tallis wrote a 40-part motet,wrote,choirs,DYNAMIC
"entitled Spem in alium, for eight choirs of five parts each;",entitled,motet,STATIVE
"Krzysztof Penderecki's Stabat Mater is for three choirs of 16 voices each, a total of 48 parts.",is,choirs,STATIVE
"Other than four, the most common number of parts are three, five, six, and eight.",are,number,STATIVE
Choirs can sing with or without instrumental accompaniment.,sing,Choirs,DYNAMIC
Singing without accompaniment is called a cappella singing,called,Singing,STATIVE
"(although the American Choral Directors Association discourages this usage in favor of ""unaccompanied,""",discourages,singing,STATIVE
"since a cappella denotes singing ""as in the chapel""",,,STATIVE
and much unaccompanied music today is secular).,is,singing,STATIVE
"Accompanying instruments vary widely, from only one to a full orchestra;",vary,instruments,STATIVE
"for rehearsals a piano or organ accompaniment is often used,",used,accompaniment,DYNAMIC
"even if a different instrumentation is planned for performance,",planned,instrumentation,STATIVE
or if the choir is rehearsing unaccompanied music.,rehearsing,instrumentation,DYNAMIC
"Many choirs perform in one or many locations such as a church, opera house, or school hall.",perform,choirs,DYNAMIC
"In some cases choirs join up to become one ""mass"" choir",join,choirs,DYNAMIC
that performs for a special reason.,performs,choir,DYNAMIC
In this case they provide a series of songs or musical works to celebrate and provide entertainment to others.,provide,they,DYNAMIC
== In worship services ==,,,CANNOT_DECIDE
===Accompaniment===,,,CANNOT_DECIDE
"Eastern Orthodox churches, some American Protestant groups, and some synagogues do not use instruments.",use,=,DYNAMIC
"In churches of the Western Rite the accompanying instrument is usually the organ,",is,instrument,STATIVE
"although in colonial America, the Moravian Church used groups of strings and winds.",used,Church,DYNAMIC
"Many churches which use a contemporary worship format use a small amplified band to accompany the singing,",use,churches,DYNAMIC
"and Roman Catholic Churches may use, at their discretion, additional orchestral accompaniment.",use,churches,DYNAMIC
===Liturgical function===,,,CANNOT_DECIDE
"In addition to leading of singing in which the congregation participates, such as hymns and service music, some church choirs still sing full liturgies,",sing,choirs,DYNAMIC
"including propers (introit, gradual, communion antiphons appropriate for the different times of the liturgical year).",including,,STATIVE
Chief among these are the Anglican and Roman Catholic churches,are,Chief,STATIVE
; far more common however is the performance of anthems or motets at designated times in the service.,is,common,STATIVE
== Types==,,,CANNOT_DECIDE
* Mixed choirs (with male and female voices).,,,CANNOT_DECIDE
"This is perhaps the most common type,",is,This,STATIVE
"usually consisting of soprano, alto, tenor, and bass voices,",consisting,type,STATIVE
often abbreviated as SATB.,abbreviated,type,DYNAMIC
"Often one or more voices is divided into two, e.g., SSAATTBB,",divided,voices,DYNAMIC
"where each voice is divided into two parts, and SATBSATB,",divided,voice,DYNAMIC
where the choir is divided into two semi-independent four-part choirs.,divided,choir,DYNAMIC
"Occasionally baritone voice is also used (e.g., SATBarB), often sung by the higher basses.",used,voice,DYNAMIC
