Clause,mainVerb,mainReferent,Gold
"Carl Gustav Jung (; karl staf j; 26 July 1875  6 June 1961),",,,CANNOT_DECIDE
"often referred to as C. G. Jung, was a Swiss psychiatrist and psychotherapist",was,Jung,STATIVE
who founded analytical psychology.,founded,psychiatrist,DYNAMIC
"Jung proposed and developed the concepts of the collective unconscious, archetypes, and extraversion and introversion.",proposed,Jung,DYNAMIC
"His work has been influential not only in psychiatry but also in philosophy, anthropology, archeology, literature, and religious studies.",been,work,STATIVE
"He was a prolific writer,",was,He,STATIVE
though many of his works were not published until after his death.,published,many,DYNAMIC
"The central concept of analytical psychology is individuationthe psychological process of integrating the opposites,",individuation,concept,STATIVE
"including the conscious with the unconscious,",including,,STATIVE
while still maintaining their relative autonomy.,maintaining,unconscious,CANNOT_DECIDE
Jung considered individuation to be the central process of human development.,considered,Jung,STATIVE
"Jung created some of the best known psychological concepts,",created,Jung,DYNAMIC
"including the archetype, the collective unconscious, the complex, and synchronicity.",including,,STATIVE
"The Myers-Briggs Type Indicator (MBTI), a popular psychometric instrument, was developed from Jung's theory of psychological types.",developed,Indicator,DYNAMIC
"Jung saw the human psyche as ""by nature religious""",saw,Jung,STATIVE
and made this religiousness the focus of his explorations.,made,Jung,DYNAMIC
Jung is one of the best known contemporary contributors to dream analysis and symbolization.,is,Jung,STATIVE
Though he was a practising clinician,was,he,STATIVE
"and considered himself to be a scientist, much of his life's work was spent exploring tangential areas such as Eastern and Western philosophy, alchemy, astrology, and sociology, as well as literature and the arts.",spent,much,STATIVE
"Jung's interest in philosophy and the occult led many to view him as a mystic,",led,interest,DYNAMIC
although his ambition was to be seen as a man of science.,was,ambition,STATIVE
"His influence on popular psychology, the ""psychologization of religion"", spirituality and the New Age movement has been immense.",been,influence,STATIVE
==Early years==,,,CANNOT_DECIDE
===Childhood family===,,,CANNOT_DECIDE
"Carl Gustav Jung was born in Kesswil, in the Swiss canton of Thurgau, on 26 July 1875 as the fourth but only surviving child of Paul Achilles Jung and Emilie Preiswerk.",born,Jung,DYNAMIC
Emilie was the youngest child of Samuel Preiswerk and his wife.,was,Emilie,STATIVE
The senior Preiswerk was a wealthy professional man,was,Preiswerk,STATIVE
who taught Paul Achilles Jung as his professor of Hebrew.,taught,man,DYNAMIC
Jung's father was a poor rural pastor in the Swiss Reformed Church;,was,father,STATIVE
his mother had grown up in a wealthy Swiss family.,grown,mother,DYNAMIC
"When Jung was six months old,",was,Jung,STATIVE
his father was appointed to a more prosperous parish in Laufen,appointed,father,DYNAMIC
but the tension between his parents was growing.,growing,father,DYNAMIC
Emilie Jung was an eccentric and depressed woman;,was,Jung,STATIVE
"she spent considerable time in her bedroom,",spent,she,DYNAMIC
where she said,said,she,DYNAMIC
that spirits visited her at night.,visited,spirits,DYNAMIC
Jung had a better relationship with his father.,had,Jung,STATIVE
"Although she was normal during the day, Jung said",said,Jung,DYNAMIC
that at night his mother became strange and mysterious.,became,mother,DYNAMIC
Jung said that one night,said,Jung,DYNAMIC
he saw a faintly luminous and indefinite figure coming from her room with a head,saw,he,DYNAMIC
detached from the neck,detached,head,STATIVE
and floating in the air in front of the body.,floating,luminous,STATIVE
Jung's mother left Laufen for several months of hospitalization near Basel for an unknown physical ailment.,left,mother,DYNAMIC
His father took the boy to be cared for by Emilie Jung's unmarried sister in Basel,took,father,DYNAMIC
but he was later brought back to his father's residence.,brought,father,DYNAMIC
Emilie Jung's continuing bouts of absence and often depressed mood influenced her son's attitude towards women,influenced,mood,DYNAMIC
" one of ""innate unreliability"".",—,women,CANNOT_DECIDE
This was a view,was,This,STATIVE
"that he later called the ""handicap",called,he,DYNAMIC
"I started off with.""",started,I,DYNAMIC
He believed,believed,He,STATIVE
"it contributed to his sometimes patriarchal views of women,",contributed,it,DYNAMIC
but these were common in his society.,were,these,STATIVE
"After three years of living in Laufen, Paul Jung requested a transfer;",requested,Jung,DYNAMIC
he was called to Kleinhningen in 1879.,called,he,DYNAMIC
The relocation brought Emilie Jung in closer contact to her family,brought,relocation,DYNAMIC
and lifted her melancholy.,lifted,relocation,DYNAMIC
===Childhood memories===,,,CANNOT_DECIDE
Jung was a solitary and introverted child.,was,memories,STATIVE
From childhood he believed,believed,he,STATIVE
"that, like his mother, he had two personalitiesa modern Swiss citizen and a personality more suited to the nineteenth century.",had,he,STATIVE
"""Personality Number 1,"" as he termed it, was a typical schoolboy",was,Number,STATIVE
living in the era of the time.,living,schoolboy,STATIVE
"""Personality Number 2"" was a dignified, authoritative and influential man from the past.",was,Number,STATIVE
"Although Jung was close to both parents,",was,Jung,STATIVE
he was disappointed by his father's academic approach to faith.,disappointed,he,STATIVE
A number of childhood memories made lifelong impressions on him.,made,number,DYNAMIC
As a boy he carved a tiny mannequin into the end of the wooden ruler from his pencil case,carved,he,DYNAMIC
and placed it inside the case.,placed,he,DYNAMIC
He added a stone,added,He,DYNAMIC
"which he had painted into upper and lower halves,",painted,he,DYNAMIC
and hid the case in the attic.,hid,He,DYNAMIC
"Periodically he would return to the mannequin,",return,he,DYNAMIC
often bringing tiny sheets of paper with messages,bringing,often,DYNAMIC
inscribed on them in his own secret language.,inscribed,messages,STATIVE
He later reflected,reflected,He,DYNAMIC
that this ceremonial act brought him a feeling of inner peace and security.,brought,act,DYNAMIC
Years later he discovered similarities between his personal experience and the practices,discovered,he,DYNAMIC
"associated with totems in indigenous cultures, such as the collection of soul-stones near Arlesheim or the tjurungas of Australia.",associated,practices,STATIVE
He concluded,concluded,He,DYNAMIC
"that his intuitive ceremonial act was an unconscious ritual,",was,act,STATIVE
which he had practiced in a way,practiced,he,DYNAMIC
that was strikingly similar to those in distant locations,was,way,STATIVE
"which he, as a young boy, knew nothing about.",knew,he,STATIVE
"His conclusions about symbols, psychological archetypes, and the collective unconscious were inspired, in part, by these experiences.",inspired,conclusions,STATIVE
"At the age of twelve, shortly before the end of his first year at the Humanistisches Gymnasium in Basel, Jung was pushed to the ground",pushed,Jung,DYNAMIC
by another boy so hard that he momentarily lost consciousness.,lost,he,DYNAMIC
(Jung later recognized,recognized,Jung,DYNAMIC
"that the incident was his fault, indirectly.)",was,incident,STATIVE
A thought then came to him,came,thought,DYNAMIC
"""now you won't have to go to school any more.""",have,you,STATIVE
"From then on, whenever he walked to school",walked,he,DYNAMIC
"or began homework,",began,he,DYNAMIC
he fainted.,fainted,he,DYNAMIC
He remained at home for the next six months,remained,He,STATIVE
until he overheard his father speaking worriedly to a visitor about the boy's future ability to support himself.,overheard,he,DYNAMIC
They suspected,suspected,They,DYNAMIC
he had epilepsy.,had,he,STATIVE
"Confronted with the reality of his family's poverty,",Confronted,he,DYNAMIC
he realized the need for academic excellence.,realized,he,DYNAMIC
He went into his father's study,went,He,DYNAMIC
and began poring over Latin grammar.,began,He,DYNAMIC
He fainted three more times,fainted,He,DYNAMIC
but eventually overcame the urge,overcame,He,DYNAMIC
and did not faint again.,did,faint,DYNAMIC
"This event, Jung later recalled,",recalled,Jung,DYNAMIC
"""was when I learned",was,event,DYNAMIC
"what a neurosis is.""",is,neurosis,STATIVE
