Clause,mainVerb,mainReferent,Gold
Human rights are moral principles,are,rights,STATIVE
"that set out certain standards of human behaviour,",set,principles,STATIVE
and are regularly protected as legal rights in national and international law.,protected,principles,DYNAMIC
"They are ""commonly understood as inalienable fundamental rights to which a person is inherently entitled",understood,They,STATIVE
"simply because she or he is a human being.""",is,she,STATIVE
Human rights are thus conceived as universal,conceived,rights,STATIVE
(applicable everywhere) and egalitarian (the same for everyone).,,,CANNOT_DECIDE
"The doctrine of human rights has been highly influential within international law, global and regional institutions.",been,doctrine,STATIVE
Policies of states and in the activities of non-governmental organizations and have become a cornerstone of public policy around the world.,become,,DYNAMIC
"The idea of human rights suggests,",suggests,idea,STATIVE
"""if the public discourse of peacetime global society can be said to have a common moral language,",said,discourse,STATIVE
"it is that of human rights.""",is,it,STATIVE
"The strong claims made by the doctrine of human rights continue to provoke considerable skepticism and debates about the content, nature and justifications of human rights to this day.",continue,claims,DYNAMIC
"Indeed, the question of what is meant by a ""right"" is itself controversial and the subject of continued philosophical debate.",is,question,STATIVE
"Many of the basic ideas that animated the human rights movement developed in the aftermath of the Second World War and the atrocities of The Holocaust,",animated,ideas,DYNAMIC
culminating in the adoption of the Universal Declaration of Human Rights in Paris by the United Nations General Assembly in 1948.,culminating,,DYNAMIC
The ancient world did not possess the concept of universal human rights.,possess,world,STATIVE
The true forerunner of human rights discourse was the concept of natural rights,was,forerunner,STATIVE
which appeared as part of the medieval Natural law tradition,appeared,concept,DYNAMIC
"that became prominent during the Enlightenment with such philosophers as John Locke, Francis Hutcheson, and Jean-Jacques Burlamaqui,",became,tradition,DYNAMIC
and featured prominently in the English Bill of Rights and the political discourse of the American Revolution and the French Revolution.,featured,tradition,STATIVE
"From this foundation, the modern human rights arguments emerged over the latter half of the twentieth century.",emerged,arguments,DYNAMIC
==History of concept==,,,CANNOT_DECIDE
"Although ideas of rights and liberty have existed in some form for much of human history,",existed,ideas,STATIVE
they do not resemble the modern conception of human rights.,resemble,they,STATIVE
"According to Jack Donnelly, in the ancient world,",According,,CANNOT_DECIDE
"""traditional societies typically have had elaborate systems of duties... conceptions of justice, political legitimacy, and human flourishing",had,societies,STATIVE
"that sought to realize human dignity, flourishing, or well-being entirely independent of human rights.",sought,flourishing,DYNAMIC
"These institutions and practices are alternative to, rather than different formulations of, human rights"".",are,institutions,STATIVE
"The modern sense of human rights can be traced to Renaissance Europe and the Protestant Reformation, alongside the disappearance of the feudal authoritarianism and religious conservativism",traced,sense,DYNAMIC
that dominated the Middle Ages.,dominated,conservativism,STATIVE
"One theory is that human rights were developed during the early Modern period, alongside the European secularization of Judeo-Christian ethics.",is,theory,DYNAMIC
The most commonly held view is that concept of human rights,is,view,STATIVE
"evolved in the West,",evolved,concept,DYNAMIC
"and that while earlier cultures had important ethical concepts,",had,cultures,STATIVE
they generally lacked a concept of human rights.,lacked,concept,STATIVE
"For example, McIntyre argues",argues,McIntyre,DYNAMIC
"there is no word for ""right"" in any language before 1400.",is,word,STATIVE
"Medieval charters of liberty such as the English Magna Carta were not charters of human rights,",were,charters,STATIVE
rather they were the foundation,were,they,STATIVE
"and constituted a form of limited political and legal agreement to address specific political circumstances, in the case of Magna Carta later being recognised in the course of early modern debates about rights.",constituted,foundation,STATIVE
One of the oldest records of human rights is the statute of Kalisz,is,One,STATIVE
"(1264), giving privileges to the Jewish minority in the Kingdom of Poland such as protection from discrimination and hate speech.",giving,statute,DYNAMIC
=== 16th18th century ===,=,=,CANNOT_DECIDE
The earliest conceptualization of human rights is credited to ideas about natural rights,credited,=,STATIVE
emanating from natural law.,emanating,rights,STATIVE
"In particular, the issue of universal rights was introduced by the examination of extending rights to indigenous peoples by Spanish clerics, such as Francisco de Vitoria and Bartolom de Las Casas.",introduced,issue,DYNAMIC
"In the Valladolid debate, Juan Gins de Seplveda, who maintained an Aristotelian view of humanity",maintained,Sepúlveda,STATIVE
"as divided into classes of different worth,",divided,,STATIVE
"argued with Las Casas,",argued,Sepúlveda,DYNAMIC
who argued in favor of equal rights to freedom of slavery for all humans regardless of race or religion.,argued,Casas,DYNAMIC
"17th-century English philosopher John Locke discussed natural rights in his work,",discussed,Locke,DYNAMIC
"identifying them as being ""life, liberty, and estate",identifying,Locke,DYNAMIC
"(property)"", and argued",argued,Locke,DYNAMIC
that such fundamental rights could not be surrendered in the social contract.,surrendered,rights,DYNAMIC
