Clause,mainVerb,mainReferent,Gold
"Association football, more commonly known as football or soccer,",known,football,STATIVE
is a sport,is,football,STATIVE
played between two teams of eleven players with a spherical ball.,played,sport,DYNAMIC
"It is played by 250 million players in over 200 countries,",played,It,DYNAMIC
making it the world's most popular sport.,making,,STATIVE
The game is played on a rectangular field with a goal at each end.,played,game,DYNAMIC
The object of the game is to score by getting the ball into the opposing goal.,is,object,STATIVE
The goalkeepers are the only players,are,goalkeepers,STATIVE
allowed to touch the ball with their hands or arms,allowed,players,STATIVE
while it is in play and then only in their penalty area.,is,it,STATIVE
"Outfield players mostly use their feet to strike or pass the ball,",use,players,DYNAMIC
but may use their head or torso to strike the ball instead.,use,players,DYNAMIC
The team that scores the most goals by the end of the match wins.,wins,team,DYNAMIC
"If the score is level at the end of the game,",is,score,STATIVE
either a draw is declared,declared,draw,DYNAMIC
or the game goes into extra time and/or a penalty shootout depending on the format of the competition.,goes,draw,DYNAMIC
The Laws of the Game were originally codified in England by The Football Association in 1863.,codified,Laws,DYNAMIC
Association football is governed internationally by the International Federation of Association Football,governed,football,STATIVE
(FIFA; Fdration Internationale de Football Association) which organises a World Cup every four years.,organises,Football,DYNAMIC
==History==,,,CANNOT_DECIDE
Two of the earliest recorded football-type games from Europe include Episkyros from Ancient Greece and the Roman version Harpastum,include,History,STATIVE
"which similar to pre-codified ""Mob Football"", the antecedent of all modern football codes, involved more",involved,codes,STATIVE
handling the ball than kicking.,handling,,CANNOT_DECIDE
The earliest competitive game to involve kicking a ball,involve,game,CANNOT_DECIDE
(rather than handling it),handling,,CANNOT_DECIDE
"was Cuju,",was,game,STATIVE
which emerged in China during the Han dynasty (206 BC-220 AD).,emerged,Cuju,DYNAMIC
"Players were tasked with kicking a ball into a net affixed to bamboo poles, using only their feet, chest, back or shoulders.",tasked,Players,DYNAMIC
Non-competitive games included kemari in Japan and woggabaliri in Australia.,included,games,STATIVE
Association football in itself does not have a classical history.,have,football,STATIVE
Notwithstanding any similarities to other ball games played around the world FIFA have recognised,recognised,FIFA,DYNAMIC
that no historical connection exists,exists,connection,STATIVE
with any game played in antiquity outside Europe.,played,game,DYNAMIC
The modern rules of association football are based on the mid-19th century efforts to standardise the widely varying forms of football,based,rules,STATIVE
played in the public schools of England.,played,football,DYNAMIC
The history of football in England dates back to at least the eighth century AD.,dates,history,STATIVE
"The Cambridge Rules, first drawn up at Cambridge University in 1848,",drawn,Rules,DYNAMIC
"were particularly influential in the development of subsequent codes,",were,Rules,STATIVE
including association football.,including,,STATIVE
"The Cambridge Rules were written at Trinity College, Cambridge, at a meeting",written,Rules,DYNAMIC
"attended by representatives from Eton, Harrow, Rugby, Winchester and Shrewsbury schools.",attended,meeting,DYNAMIC
They were not universally adopted.,adopted,They,DYNAMIC
"During the 1850s, many clubs unconnected to schools or universities were formed throughout the English-speaking world, to play various forms of football.",formed,clubs,DYNAMIC
"Some came up with their own distinct codes of rules, most notably the Sheffield Football Club,",came,Some,DYNAMIC
"formed by former public school pupils in 1857,",formed,Club,DYNAMIC
which led to formation of a Sheffield FA in 1867.,led,Club,DYNAMIC
"In 1862, John Charles Thring of Uppingham School also devised an influential set of rules.",devised,Thring,DYNAMIC
These ongoing efforts contributed to the formation of The Football Association,contributed,efforts,DYNAMIC
"(The FA) in 1863,",,,CANNOT_DECIDE
"which first met on the morning of 26 October 1863 at the Freemasons' Tavern in Great Queen Street, London.",met,1863,DYNAMIC
The only school to be represented on this occasion was Charterhouse.,was,school,STATIVE
"The Freemason's Tavern was the setting for five more meetings between October and December,",was,Tavern,STATIVE
which eventually produced the first comprehensive set of rules.,produced,December,DYNAMIC
"At the final meeting, the first FA treasurer, the representative from Blackheath, withdrew his club from the FA over the removal of two draft rules at the previous meeting:",withdrew,treasurer,DYNAMIC
the first allowed for running with the ball in hand; the second for obstructing such a run by hacking,allowed,,STATIVE
"(kicking an opponent in the shins), tripping and holding.",kicking,,CANNOT_DECIDE
Other English rugby clubs followed this lead,followed,clubs,DYNAMIC
and did not join the FA,join,clubs,DYNAMIC
and instead in 1871 formed the Rugby Football Union.,formed,clubs,DYNAMIC
