Clause,mainVerb,mainReferent,Gold
"Louis Braille (, , lwi bj(); 4 January 1809  6 January 1852)",–,,CANNOT_DECIDE
was a French educator and inventor of a system of reading and writing for use by the blind or visually impaired.,was,Braille,STATIVE
His system remains known worldwide simply as braille.,remains,system,STATIVE
"Blinded in both eyes as a result of an early childhood accident,",Blinded,Braille,STATIVE
Braille mastered his disability while still a boy.,mastered,Braille,DYNAMIC
He excelled in his education and received scholarship to France's Royal Institute for Blind Youth.,excelled,He,DYNAMIC
"While still a student there, he began developing a system of tactile code",began,he,DYNAMIC
that could allow blind persons to read and write quickly and efficiently.,allow,system,STATIVE
"Inspired by the military cryptography of Charles Barbier,",Inspired,Braille,STATIVE
Braille constructed a new method,constructed,Braille,DYNAMIC
built specifically for the needs of the blind.,built,method,STATIVE
He presented his work to his peers for the first time in 1824.,presented,He,DYNAMIC
"In adulthood, Braille served as a professor at the Institute",served,Braille,DYNAMIC
"and enjoyed an avocation as a musician,",enjoyed,Braille,DYNAMIC
but he largely spent the remainder of his life,spent,Braille,DYNAMIC
refining and extending his system.,extending,he,DYNAMIC
"It went unused by most educators for many years after his death,",went,It,DYNAMIC
"but posterity has recognized braille as a revolutionary invention,",recognized,It,DYNAMIC
and it has been adapted for use in languages worldwide.,adapted,It,DYNAMIC
==Early life==,=,town,CANNOT_DECIDE
"Braille was born in Coupvray, France, a small town about twenty miles east of Paris.",born,,DYNAMIC
He and his three elder siblings ,–,He,CANNOT_DECIDE
"Monique Catherine Josephine Braille (b.1793), Louis-Simon Braille (b.1795), and Marie Cline Braille (b.1797)",,,CANNOT_DECIDE
" lived with their mother, Monique, and father, Simon-Ren, on three hectares of land and vineyards in the countryside.",lived,He,STATIVE
Simon-Ren maintained a successful enterprise as a leatherer and maker of horse tack.,maintained,Simon-René,STATIVE
"As soon as he could walk, Braille spent time playing in his father's workshop.",spent,Braille,DYNAMIC
"At the age of three, the child was toying with some of the tools,",toying,child,DYNAMIC
trying to make holes in a piece of leather with an awl.,trying,child,DYNAMIC
"Squinting closely at the surface,",Squinting,he,DYNAMIC
"he pressed down hard to drive the point in,",pressed,he,DYNAMIC
and the awl glanced across the tough leather,glanced,he,DYNAMIC
and struck him in one of his eyes.,struck,awl,DYNAMIC
A local physician bound and patched the affected eye,bound,physician,DYNAMIC
and even arranged,arranged,physician,DYNAMIC
"for Braille to be met the next day in Paris by a highly respected surgeon,",met,physician,CANNOT_DECIDE
but no treatment could save the damaged organ.,save,physician,DYNAMIC
