Clause,mainVerb,mainReferent,Gold
"The Ayoreo (Ayoreode, Ayoro, Ayorode)",,,CANNOT_DECIDE
are an indigenous people of the Gran Chaco.,are,Ayoreo,STATIVE
They live in an area,live,They,STATIVE
"surrounded by the Paraguay, Pilcomayo, Parapet, and Grande Rivers, spanning both Bolivia and Paraguay.",surrounded,area,STATIVE
"Ayoreo combine hunter-gatherer lifestyle with farming,",combine,Ayoreo,STATIVE
depending on the season of the year.,depending,,STATIVE
"There are records about a kind of shamanism (nainai, shaman).",are,records,STATIVE
==Name==,,,CANNOT_DECIDE
The Ayorea people are known by numerous names,known,=,STATIVE
"including Ayor, Garaygosode, Guaraoca, Guidaigosode, Koroino, Moro, Morotoco, Poturero, Pyeta Yovai, Samococio, Sirkua, Takrat, Totobiegosode, and Yanaigua.",including,,STATIVE
==Language==,,,CANNOT_DECIDE
"They speak the Ayoreo language,",speak,They,STATIVE
"which is classified under Zamucoan, a small language family of Paraguay and Bolivia.",classified,language,STATIVE
"A grammar and dictionary have been published for the language,",published,dictionary,DYNAMIC
and 20% of the Ayoreo are literate.,are,%,STATIVE
Tsiracua is a dialect of Ayoreo.,is,Tsiracua,STATIVE
==History==,,,CANNOT_DECIDE
"There are several subgroups,",are,subgroups,STATIVE
"for example Totobiegosode were isolated,",were,Totobiegosode,STATIVE
"but many of them have been eventually relocated forcibly,",relocated,Totobiegosode,DYNAMIC
while some remnants still keep avoiding contact.,keep,remnants,DYNAMIC
"Some groups still live uncontacted (or in voluntary isolation),",live,groups,STATIVE
being the only extant uncontacted tribes in South America not living in the Amazon.,being,,STATIVE
The Ayoreo are threatened by deforestation.,threatened,Ayoreo,STATIVE
"In 2010, an expedition in search of new species of plants and insects, organised by the Natural History Museum in London, was suspended",suspended,expedition,DYNAMIC
when concerns were raised,raised,concerns,DYNAMIC
that Ayoreo people might be encountered and disturbed.,encountered,people,DYNAMIC
==Political representation==,,,CANNOT_DECIDE
"In Bolivia, the Ayoreo people are represented by the organization CANOB (Central Ayoreo Nativo del Oriente Boliviano).",represented,people,STATIVE
"In 2002 an Ayoreo organization was founded in Paraguay, UNAP (Unin Nativa Ayoreo del Paraguay).",founded,organization,DYNAMIC
CANOB has its main office in Santa Cruz de la Sierra whilst UNAP,has,CANOB,STATIVE
has its headquarters at the frontier between the Campo Loro and Ebetogu regions.,has,has,STATIVE
