Clause,mainVerb,mainReferent,Gold
"Neurology (from , neuron, and the suffix",,,CANNOT_DECIDE
"grc -logia ""study of"")",logia,from,CANNOT_DECIDE
is a branch of medicine,is,Neurology,STATIVE
dealing with disorders of the nervous system.,dealing,branch,STATIVE
Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous system,involving,deals,STATIVE
"(and its subdivisions, the autonomic nervous system and the somatic nervous system); including their coverings, blood vessels, and all effector tissue, such as muscle.",including,,STATIVE
A neurologist is a physician,is,neurologist,STATIVE
"specializing in neurology and trained to investigate,",specializing,physician,STATIVE
or diagnose and treat neurological disorders.,diagnose,,CANNOT_DECIDE
"Neurologists may also be involved in clinical research, and clinical trials, as well as basic research and translational research.",involved,Neurologists,STATIVE
"While neurology is a non-surgical specialty, its corresponding surgical specialty is neurosurgery.",is,specialty,STATIVE
"Neurology, being a branch of medicine,",being,,STATIVE
"differs from neuroscience,",differs,,STATIVE
which is the scientific study of the nervous system in all of its aspects.,is,neuroscience,STATIVE
==Scope==,,,CANNOT_DECIDE
A large number of neurological disorders have been described.,described,=,DYNAMIC
"These can affect the central nervous system (brain and spinal cord), the peripheral nervous system, the autonomic nervous system and the muscular system.",affect,These,DYNAMIC
==Training==,,,CANNOT_DECIDE
"In the United States and Canada, neurologists are physicians having completed postgraduate training in neurology after graduation from medical school.",physicians,neurologists,STATIVE
"Neurologists complete, on average, at least 1013 years of college education and clinical training.",complete,Neurologists,DYNAMIC
"This training includes obtaining a four-year undergraduate degree, a medical degree",includes,training,STATIVE
"(D.O. or M.D.), which comprises an additional four years of study,",comprises,degree,STATIVE
and then completing a one-year internship and a three- or four-year residency in neurology.,completing,,CANNOT_DECIDE
The four-year residency consists of one year,consists,residency,STATIVE
of internal medicine training followed by three years of training in neurology.,followed,training,DYNAMIC
Some neurologists receive additional subspecialty training,receive,neurologists,DYNAMIC
focusing on a particular area of neurology.,focusing,training,STATIVE
"These training programs are called fellowships,",called,programs,STATIVE
and are one to two years in duration.,are,,STATIVE
Sub-specialties include:,include,Sub-specialties,STATIVE
"brain injury medicine, clinical neurophysiology, epilepsy, hospice and palliative medicine, neurodevelopmental disabilities, neuromuscular medicine, pain medicine and sleep medicine, vascular neurology (stroke), and interventional neurology.",,,CANNOT_DECIDE
"In Germany, a compulsory year of psychiatry must be done to complete a residency of neurology.",done,year,DYNAMIC
"In the United Kingdom and Ireland, neurology is a subspecialty of general (internal) medicine.",is,neurology,STATIVE
"After five to nine years of medical school and a year as a pre-registration house officer (or two years on the Foundation Programme), a neurologist must pass the examination for Membership of the Royal College of Physicians",pass,neurologist,DYNAMIC
(or the Irish equivalent) before completing two years of core medical training,completing,neurologist,DYNAMIC
and then entering specialist training in neurology.,entering,neurologist,DYNAMIC
"A generation ago, some neurologists would have also spent a couple of years",spent,neurologists,DYNAMIC
working in psychiatric units,working,years,CANNOT_DECIDE
and obtain a Diploma in Psychological Medicine.,obtain,neurologists,DYNAMIC
"However, this requirement has become uncommon,",become,requirement,DYNAMIC
"and, now that a basic psychiatric qualification takes three years to obtain, the requirement is no longer practical.",is,requirement,STATIVE
"A period of research is essential,",is,period,STATIVE
and obtaining a higher degree aids career progression:,aids,period,DYNAMIC
Many found,found,Many,DYNAMIC
it was eased after an attachment to the Institute of Neurology at Queen Square in London.,eased,it,DYNAMIC
Some neurologists enter the field of rehabilitation medicine,enter,neurologists,DYNAMIC
"(known as physiatry in the US) to specialise in neurological rehabilitation,",known,enter,STATIVE
which may include stroke medicine as well as brain injuries.,include,which,STATIVE
==Physical examination==,,,CANNOT_DECIDE
"During a neurological examination, the neurologist reviews the patient's health history with special attention to the current condition.",reviews,neurologist,DYNAMIC
The patient then takes a neurological exam.,takes,patient,DYNAMIC
"Typically, the exam tests mental status, function of the cranial nerves",tests,exam,DYNAMIC
"(including vision), strength, coordination, reflexes, and sensation.",including,,STATIVE
This information helps the neurologist determine,helps,information,DYNAMIC
whether the problem exists in the nervous system and the clinical localization.,exists,problem,STATIVE
Localization of the pathology is the key process,is,Localization,STATIVE
by which neurologists develop their differential diagnosis.,develop,neurologists,DYNAMIC
Further tests may be needed to confirm a diagnosis and ultimately guide therapy and appropriate management.,needed,tests,STATIVE
==Clinical tasks==,,,CANNOT_DECIDE
Neurologists examine patients,examine,tasks,DYNAMIC
who have been referred to them by other physicians in both the inpatient and outpatient settings.,referred,patients,DYNAMIC
"A neurologist will begin their interaction with a patient by taking a comprehensive medical history,",begin,neurologist,DYNAMIC
and then perform a physical examination,perform,neurologist,DYNAMIC
focusing on evaluating the nervous system.,focusing,,DYNAMIC
"Components of the neurological examination include assessment of the patient's cognitive function, cranial nerves, motor strength, sensation, reflexes, coordination, and gait.",include,Components,STATIVE
"In some instances, neurologists may order additional diagnostic tests as part of the evaluation.",order,neurologists,DYNAMIC
Commonly employed tests in neurology include imaging studies such as computed axial tomography,employed,imaging,STATIVE
"(CAT) scans, magnetic resonance imaging (MRI), and ultrasound of major blood vessels of the head and neck.",,,CANNOT_DECIDE
"Neurophysiologic studies, including electroencephalography",including,,STATIVE
"(EEG), needle electromyography (EMG), nerve conduction studies",,,CANNOT_DECIDE
(NCSs) and evoked potentials are also commonly ordered.,ordered,studies,DYNAMIC
Neurologists frequently perform lumbar punctures,perform,Neurologists,DYNAMIC
in order to assess characteristics of a patient's cerebrospinal fluid.,assess,,CANNOT_DECIDE
Advances in genetic testing has made genetic testing and important tool in the classification of inherited neuromuscular disease.,made,Advances,DYNAMIC
The role of genetic influences on the development of acquired neuromuscular diseases is an active area of research.,is,role,STATIVE
Some of the commonly encountered conditions,,,CANNOT_DECIDE
"treated by neurologists include headaches, radiculopathy, neuropathy, stroke, dementia, seizures and epilepsy, Alzheimer's Disease, Attention deficit/hyperactivity disorder, Parkinson's Disease, Tourette's syndrome, multiple sclerosis, head trauma, sleep disorders, neuromuscular diseases, and various infections and tumors of the nervous system.",include,Some,STATIVE
Neurologists are also asked to evaluate unresponsive patients on life support,asked,Neurologists,DYNAMIC
in order to confirm brain death.,confirm,,CANNOT_DECIDE
Treatment options vary depending on the neurological problem.,vary,options,STATIVE
"They can include everything from referring the patient to a physiotherapist, to prescribing medications, to recommending a surgical procedure.",include,They,STATIVE
Some neurologists specialize in certain parts of the nervous system or in specific procedures.,specialize,neurologists,STATIVE
