Clause,mainVerb,mainReferent,Gold
"MMM F_NAME L_NAME TITLE COMPANY ADDRESS CITY,ST ZIP",,,CANNOT_DECIDE
"March 4, 1999",,,CANNOT_DECIDE
Dear LTR_NAME:,,,CANNOT_DECIDE
CCI has come a long way in the last five years.,come,CCI,DYNAMIC
We've worked hard to structrue the organization,worked,We,DYNAMIC
"so that we've ready to move boldly into the next century,",'ve,ready,STATIVE
and I believe,believe,We,STATIVE
that we have an exciting and successful future ahead of us.,have,we,STATIVE
One of the areas we've decided to focus on is development.,is,One,DYNAMIC
It's clear,'s,It,STATIVE
"that if we don't increase our base of private funding,",increase,we,DYNAMIC
we won't have the kind of control,have,we,STATIVE
we need to ensure the continued success of our centers and the very important services,need,we,STATIVE
they offer.,offer,they,DYNAMIC
"In 1998, CCI served 31,484 individuals right in their own backyards.",served,CCI,DYNAMIC
Where else would that many people turn,turn,people,CANNOT_DECIDE
if CCI weren't there to help?,were,CCI,STATIVE
The community initiatives committee is working with our development office to put together a long-range fundraising plan,working,committee,DYNAMIC
that will ultimately bring more money into our centers.,bring,plan,DYNAMIC
This in turn will help us to increase,help,This,DYNAMIC
and even improve the services we offer.,improve,us,CANNOT_DECIDE
"With this in mind, I am asking each one of you to make a personal contribution of $50, $100 or even $1,000 to show",asking,I,DYNAMIC
that you believe in the work,believe,you,STATIVE
that we do,do,we,DYNAMIC
and are willing to support it with both your time and your finances.,are,we,STATIVE
This way when we go out to ask for community support,go,we,DYNAMIC
"and are asked about our board giving level,",asked,we,DYNAMIC
we can show our in-house commitment through 100% board participation.,show,we,DYNAMIC
"I also encourage you to seek additional support through your company, church, or service organization.",encourage,I,DYNAMIC
I know,know,I,STATIVE
that our staff and committee members will be happy to go with you to talk to these group,be,staff,STATIVE
if you need their help.,need,you,STATIVE
We're at an exciting juncture,'re,We,STATIVE
and it won't be long,be,it,STATIVE
until we start seeing solid results from our efforts.,start,we,DYNAMIC
"Your financial support of the development process is just one step in making CCI a stronger, more efficient and ultimately more effective federation of service providers.",is,support,STATIVE
"Please, make your contribution today.",make,,CANNOT_DECIDE
"Sincerely, J.Chris Graffeo Chair",,,CANNOT_DECIDE
P.S.,,,CANNOT_DECIDE
"If you have any questions, feel free to call Valery De Long at CCI, 638-3360 x23.",feel,,CANNOT_DECIDE
