Clause,mainVerb,mainReferent,Gold
"Kofi Annan, the Secretary-General of the United Nations, recently called attention to the clear inequalities in science between developing and developed countries and to the challenges of building bridges across these gaps",,,DYNAMIC
that should bring the United Nations and the world scientific community closer to each other (Annan 2003).,,,DYNAMIC
"Mr. Annan stressed the importance of reducing the inequalities in science between developed and developing countries,",,,DYNAMIC
asserting,,,DYNAMIC
"that This unbalanced distribution of scientific activity generates serious problems not only for the scientific community in the developing countries, but for development itself.",,,DYNAMIC
"Indeed, Mr. Annan's sentiments have also been echoed recently by several scientists,",,,DYNAMIC
who present overwhelming evidence for the disparity in scientific output between the developing and already developed countries (Gibbs 1995; May 1997; Goldemberg 1998; Riddoch 2000).,,,DYNAMIC
"For example, recent United Nations Educational, Scientific, and Cultural Organization (UNESCO) estimates (UNESCO 2001)",,,CANNOT_DECIDE
indicate,,,STATIVE
"that, in 1997, the developed countries accounted for some 84% of the global investment in scientific research and development,",,,STATIVE
"had approximately 72% of the world researchers,",,,STATIVE
and produced approximately 88% of all scientific and technical publications,,,DYNAMIC
registered by the Science Citation Index (SCI).,,,STATIVE
North America and Europe clearly dominate the number of scientific publications,,,STATIVE
"produced annually, with 36.6% and 37.5%, respectively, worldwide (UNESCO 2001).",,,STATIVE
North America and Europe clearly dominate the number of scientific publications,,,STATIVE
produced annually.,,,DYNAMIC
It is rather obvious,,,STATIVE
that richer countries are able to invest more resources in science,,,STATIVE
and therefore account for the largest number of publications.,,,STATIVE
It is also likely,,,STATIVE
"that there is a statistical bias on the part of the SCI as a bibliometric database,",,,STATIVE
since it represents North American and European publications far better than those of the rest of the world (Gibbs 1995; May 1997; Alonso and Fernndez-Juricic 2001; Vohora and Vohora 2001).,,,STATIVE
"But is the disparity in scientific contributions between the developed and developing worlds actually remaining unchanged or even increasing,",,,CANNOT_DECIDE
as Mr. Annan has implied?,,,DYNAMIC
A closer look at the trends over the last decade reveals important advances in developing countries.,,,DYNAMIC
"For example, Latin America and China, although representing, respectively, only 1.8% and 2% of scientific publications worldwide, have increased the number of their publications between 1990 and 1997 by 36% and 70%, respectively,",,,DYNAMIC
which is a much higher percentage than the increments,,,STATIVE
reached by Europe (10%) and industrial Asia (26%).,,,STATIVE
The percentage of global scientific publications from North America actually decreased by 8% over the same period (UNESCO 2001).,,,DYNAMIC
"Publishing Trends in the Americas Using the SCI databases produced by the Institute for Scientific Information (ISI), as well as data",,,DYNAMIC
compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnologa,,,STATIVE
"(RICYT), we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000,",,,DYNAMIC
focusing on the Americas as a case study.,,,DYNAMIC
"Not surprisingly, there was a huge disparity in the number of publications from 1990 until 2000, with the United States",,,STATIVE
contributing the lion's share,,,DYNAMIC
"(84.2%), followed by Canada (10.35%).",,,STATIVE
Latin America as a whole contributed only 5.45% to the total number of scientific publications in these ten years (RICYT 2002).,,,DYNAMIC
"The total number of publications, however, is not necessarily the best measure for assessing scientific productivity or technical advances (May 1997).",,,STATIVE
More relevant measurements for these factors include the proportional change in the number of publications and the total number of publications,,,STATIVE
when corrected for investment in research and development (May 1997).,,,STATIVE
"The proportional change in the number of publications, using 1990 as a comparison,",,,DYNAMIC
revealed,,,DYNAMIC
"that scientific publishing in Latin America increased the most rapidly in the Americas, far outpacing the United States and Canada (Figure 1).",,,DYNAMIC
"Further analyses, correcting the number of overall publications for the amount of money",,,DYNAMIC
"invested in research and development for each region, also show",,,STATIVE
"that, in contrast to both Canada and United States, the trend in Latin America has been an increase in relative output throughout the 1990s (Figure 2).",,,STATIVE
"Moreover, when taking into account the amount of research money available to researchers,",,,DYNAMIC
Latin America actually out-published the United States and Canada by the year 2000 (Figure 2).,,,DYNAMIC
"Although the cost of research is undoubtedly cheaper in the developing world due to relatively low researcher salaries, overhead and other work standards,",,,STATIVE
these factors do not explain the substantial increase in the number of publications per amount of money,,,DYNAMIC
"allocated to research and development in Latin America, particularly from 1995 until 2000 (Figure 2).",,,STATIVE
"Other relative indicators of scientific productivity, such as the number of publications picked up by the SCI in relation to the number of scientists in a particular country, also demonstrate",,,DYNAMIC
"that such developing regions as Latin America are making substantial contributions to science,",,,DYNAMIC
despite the fact that the average proportion of gross domestic product (GDP) invested in science in Latin America throughout this 10-year period,,,DYNAMIC
was only 21% of the amount,,,STATIVE
invested in United States (RICYT 2002).,,,DYNAMIC
"Indeed, this scientific productivity is remarkable",,,STATIVE
when we compare it with the relatively low investment in science itself as compared with the GDP of Latin America as a whole.,,,DYNAMIC
"In fact, Albornoz (2001) concluded",,,DYNAMIC
"that, as a group, Latin America could afford to invest a much higher proportion of its resources in scientific research and development.",,,STATIVE
"Latin American investment in research and development represented only 0.59% of the regional GDP in 1998, a very weak effort",,,STATIVE
compared with that of the United States (2.84%) and Canada (1.5%).,,,STATIVE
