Clause,mainVerb,mainReferent,Gold
A Brief History,,,CANNOT_DECIDE
Early Habitation,Habitation,History,CANNOT_DECIDE
"The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. ,",stretches,History,STATIVE
when much of the area was covered by a prehistoric lake.,covered,much,STATIVE
"During this period, the indigenous people lived in caves,",lived,people,STATIVE
hunting the mammals,hunting,,DYNAMIC
that gathered at the shoreline.,gathered,mammals,DYNAMIC
The landscape of the valley changed dramatically over the next 200 centuries.,changed,landscape,DYNAMIC
The glaciers feeding the lake melted away,melted,glaciers,DYNAMIC
and the lake evaporated.,evaporated,glaciers,DYNAMIC
Fossils tell an obscure story of mans slow and sporadic development.,tell,Fossils,DYNAMIC
"Around 3000 b.c. , native Archaic Indians began to develop a lasting hunting and gathering culture.",began,Indians,DYNAMIC
"By this time, the valley was in much the same geographic state",was,valley,STATIVE
"as it exists in today, with one exceptionthe presence of artesian springs",exists,it,STATIVE
that bubbled to the surface in several areas.,bubbled,springs,DYNAMIC
These springs fed a network of streams,fed,springs,DYNAMIC
draining through the Las Vegas Wash to the Colorado River.,draining,network,DYNAMIC
"The areas surrounding the springs were desert oases: sprawling collections of grasses, trees, and wildlife.",were,areas,STATIVE
Many springs lay in areas,lay,springs,STATIVE
that would eventually become the center of the modern Las Vegas metropolis.,become,areas,DYNAMIC
"For about 4000 years, the Archaics thrived in a culture",thrived,Archaics,STATIVE
that included many signs of early civilization.,included,culture,STATIVE
"Signs of even more advancement appeared halfway through the first millennium a.d. ,",appeared,Signs,DYNAMIC
when the Anasazi Indians inhabited the valley.,inhabited,Indians,STATIVE
"Far more progressive than the Archaics, the Anasazi utilized such formal agricultural techniques as irrigation to assist their harvest.",utilized,Anasazi,DYNAMIC
This permitted the Anasazi to achieve a benchmark of advanced societythe ability to live in permanent shelters year-round without need to follow wildlife.,permitted,This,STATIVE
"Mysteriously, the Anasazi vanished from the valley around a.d. 1150,",vanished,Anasazi,DYNAMIC
leaving,leaving,,DYNAMIC
"it to be repopulated by the Southern Paiutes, another hunter-gatherer tribe.",repopulated,it,CANNOT_DECIDE
"Unable to replicate the agricultural techniques of the Anasazi,",replicate,,STATIVE
the Paiutes were destined to a semi-nomadic lifestyle,destined,Paiutes,STATIVE
"until European settlers arrived,",arrived,settlers,DYNAMIC
changing the nature of existence in the valley forever.,changing,,DYNAMIC
From Mailmen to Mormons,,,CANNOT_DECIDE
"In the early nineteenth century, Americas western territories were still largely unexplored.",were,territories,STATIVE
It was not until 1829,was,It,STATIVE
"that Rafael Rivera, a Mexican scout, found a spring-fed valley",found,Rivera,DYNAMIC
and dubbed it Las Vegasa Spanish name,dubbed,Rivera,DYNAMIC
that leaves many modern visitors wondering,leaves,name,STATIVE
exactly where the meadows really lay.,lay,“,STATIVE
"For fifteen years, Las Vegas was used as a Spanish Trail way-station.",used,Vegas,DYNAMIC
"In 1844, American explorer John C. Fremont parked his horses at Big Springs,",parked,Fremont,DYNAMIC
and his report to the government resulted in a mail route,resulted,Fremont,DYNAMIC
leading past the spot on its way to California.,leading,route,STATIVE
This put Las Vegas on the map,put,This,DYNAMIC
and was one of the crucial turning points of its history.,was,,STATIVE
"In 1855, Mormon leader Brigham Young responded to promising reports of Las Vegas by sending 30 missionary settlers to the valley;",responded,Young,DYNAMIC
they eventually built a fort not far from todays Downtown.,built,they,DYNAMIC
Surrounded by acres of farmland,Surrounded,fort,STATIVE
"hewn from the hard desert,",hewn,farmland,STATIVE
the adobe fort became a focal point for the development of Las Vegas for the next fifty years.,became,fort,DYNAMIC
"The missionaries struggled valiantly against the dictates of the desert,",struggled,missionaries,DYNAMIC
trying simultaneously to survive the harshness of their circumstances,trying,,DYNAMIC
and spread the Mormon faith.,spread,,DYNAMIC
Additional pressures from arriving miners pushed the missionaries plight beyond recovery.,pushed,pressures,DYNAMIC
"Their supplies scarce, their harvest meager,",,,CANNOT_DECIDE
"and their spirit broken, they abandoned the fort in 1858.",abandoned,they,DYNAMIC
"Despite the fact that the local land was rich in silver, by 1865 most of the mining traffic through Las Vegas was of prospectors",was,most,STATIVE
headed to California or Northern Nevada in search of gold.,headed,prospectors,STATIVE
One opportunist who stayed was Octavius Decatur Gass.,was,opportunist,STATIVE
Bestowed with plenty of the invaluable pioneer spirit,Bestowed,Gass,STATIVE
"that characterizes Las Vegas to this day, Gass redirected his life by picking up",redirected,Gass,STATIVE
where the Mormons left offat,left,Mormons,DYNAMIC
least when it came to ranching and farming.,came,it,STATIVE
Gass took over the abandoned Mormon fort and 640 acres,took,Gass,DYNAMIC
"(260 hectares) surrounding it,",surrounding,acres,STATIVE
dubbing it the Las Vegas Ranch.,dubbing,Gass,DYNAMIC
He expanded the ranch,expanded,He,DYNAMIC
and irrigated the land,irrigated,He,DYNAMIC
so that it would support crops and cattle.,support,it,STATIVE
His determination had other results as well:,had,determination,STATIVE
Gass was named a justice of the peace and a territorial legislator.,named,Gass,DYNAMIC
"Despite his ambition, Gass success was short-lived.",was,success,STATIVE
"In the late 1870s, he defaulted on a loan from rancher Archibald Stewart,",defaulted,he,DYNAMIC
so Stewart took the Las Vegas Ranch for his own.,took,Stewart,DYNAMIC
"True to wild-West stereotypes, Stewart was slain by a neighboring farmer,",slain,Stewart,DYNAMIC
leaving,leaving,,DYNAMIC
"his strong-willed wife, Helen, to assume the duties of the ranch.",assume,wife,CANNOT_DECIDE
"Through 1905, Helen Stewart expanded the ranch to 2000 acres",expanded,Stewart,DYNAMIC
"(810 hectares), making quite a bit of money in the process.",making,Stewart,DYNAMIC
What happened,happened,What,CANNOT_DECIDE
