Clause,mainVerb,mainReferent,Gold
"Wednesday, 19 May 2010",,,CANNOT_DECIDE
The Internet occasionally reminds me of how different life is because of it.,reminds,May,DYNAMIC
I noted on Facebook,noted,I,DYNAMIC
"that, from a statistical perspective, what makes baseball such an amazing sport is that you can watch it your entire life",is,sport,STATIVE
"and still see, on a daily basis,",see,you,DYNAMIC
something youve never seen before.,’ve,you,DYNAMIC
"(Its a truism, I know,",’s,It,STATIVE
but it has the benefit of actually being true.),has,It,STATIVE
"In this case, the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run",watching,something,STATIVE
and initiate a triple play in the same game.,initiate,Pagan,DYNAMIC
John Emerson responded with some humbug about it,responded,Emerson,DYNAMIC
"not being an inside-the-park grand slam,",being,it,STATIVE
which made me remember,made,slam,DYNAMIC
that I had seen an inside-the-park grand slam at some time in the remote past.,seen,I,DYNAMIC
"I remember being six or seven years old and watching the Mets play the Cardinals in an afternoon game at Shea Stadium, and thanks to the miracle of the Internet,",remember,I,STATIVE
I can definitively say,say,I,DYNAMIC
"that at approximately 4:30 p.m. on 9 June 1985 , I watched",watched,I,DYNAMIC
Terry Pendleton hit an inside-the-park grand slam off Joe Sambito in a game,hit,Pendleton,DYNAMIC
the Cardinals would go on to win handily.,go,Cardinals,DYNAMIC
The fact that I can verify vague memories of events,verify,fact,DYNAMIC
that occurred,occurred,events,DYNAMIC
twenty-five years ago astounds me in a way,astounds,fact,STATIVE
I sometimes forget the Internet is capable of doing.,forget,I,DYNAMIC
"This realization is obviously not of world-historical importance, merely a reminder",is,realization,STATIVE
that this thing whose existence we take,take,we,STATIVE
for granted daily represents a fundamentally weird complement to human memory.,represents,thing,STATIVE
The fact that at some point in the future I can know,know,I,STATIVE
who I rode in an elevator with on 28 December 2005 is less weird,is,fact,STATIVE
because I chose to write about riding in an elevator with Grimace .,chose,I,DYNAMIC
That I can access detailed information about events,access,I,DYNAMIC
I have no right remembering in detail is another matter entirely.,is,That,STATIVE
Joe Sambito.,,,CANNOT_DECIDE
Wow.,,,CANNOT_DECIDE
I'd completely forgotten about him.,forgotten,,DYNAMIC
I sometimes wish,wish,I,DYNAMIC
I could forget,forget,I,DYNAMIC
that Pendelton is the Braves hitting coach.,is,Pendelton,STATIVE
Closest I came to,came,I,DYNAMIC
that was watching Dale Murphy get tagged out at the plate on what would have been an inside-the-park slam.,watching,I,STATIVE
"Posted by: Chuck | Wednesday, 19 May 2010 at 06:16 PM",Posted,Series,DYNAMIC
He pitched for the Astros,pitched,PM,DYNAMIC
"before he came to the Mets,",came,he,DYNAMIC
"stayed for '85,",stayed,came,STATIVE
then he pitched for the Red Sox against the Mets in '86 World Series.,pitched,he,DYNAMIC
I remember him,remember,I,STATIVE
"being ineffective,",being,him,STATIVE
"and as it turns out,",turns,it,DYNAMIC
he was .,was,I,STATIVE
"Now that I remember him,",remember,I,STATIVE
"which I didn't before,",did,,STATIVE
I remember him as being the pitcher,remember,I,STATIVE
who'd pitched,pitched,pitcher,DYNAMIC
for 1) the team the Mets faced to get to the '86 Series and 2) the one,faced,Mets,DYNAMIC
they faced in it.,faced,they,DYNAMIC
I didn't remember,remember,I,STATIVE
that I remember,remember,I,STATIVE
"that, but now that I do,",do,I,STATIVE
I do.,do,I,STATIVE
"Memory, as Gertrude Stein would say,",say,funny,DYNAMIC
is funny.,is,Memory,STATIVE
"Posted by: SEK | Wednesday, 19 May 2010 at 06:27 PM",Posted,use,DYNAMIC
"Apparently the drug use, sexual excess, and weird UCI experiences haven't softened your brain yet.",softened,use,DYNAMIC
"What's really bothersome, though, is when you only remember things from your distant past.",is,,STATIVE
"My grandpa was alert till the end,",was,grandpa,STATIVE
but when I last saw him at age 92 everything,saw,I,DYNAMIC
he wanted to talk about was 70 years in the past.,was,everything,STATIVE
"Posted by: John Emerson | Wednesday, 19 May 2010 at 07:02 PM",Posted,,DYNAMIC
"A guess, but perhaps your grandfather's life at 22 was more interesting than the ensuing 70 yrs.",was,life,STATIVE
"Posted by: M. Bouffant | Wednesday, 19 May 2010 at 08:54 PM",Posted,|,DYNAMIC
You know,know,You,CANNOT_DECIDE
what makes this post great?,makes,PM,CANNOT_DECIDE
No stinking cricket.,,,CANNOT_DECIDE
"Posted by: tomemos | Wednesday, 19 May 2010 at 09:04 PM",PM,19,DYNAMIC
"Yeah, I remember Sambito from the Astros",remember,I,STATIVE
(when the Braves were in the old NL West,were,Braves,STATIVE
"because it made sense to have a team 3,000 miles from most of their division rivals).",made,it,STATIVE
Solid pitcher for a while.,Solid,,CANNOT_DECIDE
But burned out toward the end.,burned,,STATIVE
"Apparently, he is a player's representative now.",is,he,STATIVE
"Posted by: Chuck | Thursday, 20 May 2010 at 12:14 PM",Posted,|,DYNAMIC
>Prosthetic memory.,,,CANNOT_DECIDE
"Posted by: Endy | Thursday, 20 May 2010 at",Posted,20,DYNAMIC
02:35 PM,PM,20,CANNOT_DECIDE
I like to read about others,like,I,STATIVE
watching baseball more,watching,I,DYNAMIC
than I like to watch baseball by a factor of nine.,like,I,STATIVE
"Having given up on watching the actual sport,",given,mention,DYNAMIC
mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers.,sparks,mention,DYNAMIC
It is true,is,It,STATIVE
"that at the end of time, the old time baseball writers will be hailed as the very best writers,",hailed,writers,DYNAMIC
as they had access to an event,had,writers,STATIVE
"that was susceptible to beautiful writing, but horrendous to watch in person.",was,event,STATIVE
"Plus, they smoked a prodigious quantity of cigarettes.",smoked,they,DYNAMIC
nota bene: An overdue library book is a crime against Humanities.,is,book,STATIVE
"Posted by: THE LIBRARY | Friday, 21 May 2010 at 11:17 PM",Posted,,DYNAMIC
