Clause,mainVerb,mainReferent,Gold
A Wasted Day,,,CANNOT_DECIDE
Richard Harding,,,CANNOT_DECIDE
Part One,,,CANNOT_DECIDE
"When its turn came,",came,turn,DYNAMIC
"the private secretary, somewhat apologetically, laid theletter in front of the Wisest Man in Wall Street.",laid,Part,DYNAMIC
"From Mrs. Austin, probation officer, Court of General Sessions,"" he explained.",explained,he,DYNAMIC
Wants a letter about Spear.,Wants,“,STATIVE
Hes been convicted of theft.,’s,He,DYNAMIC
Comes up for sentence Tuesday.,Comes,,DYNAMIC
Spear?,,,CANNOT_DECIDE
repeated Arnold Thorndike.,repeated,,DYNAMIC
"Young fellow, stenographer, used to do your letters",used,fellow,DYNAMIC
last summer going in and outon the train.,going,,DYNAMIC
The great man nodded.,nodded,man,DYNAMIC
I remember.,remember,I,STATIVE
What about him?,,,CANNOT_DECIDE
The habitual gloom of the private secretary was lightened by a grin.,lightened,gloom,DYNAMIC
Went on the loose; had with him,had,Went,DYNAMIC
"about five hundred dollars belonging to the firm;hes with Isaacs & Sons now, shoe people on Sixth Avenue.",belonging,dollars,STATIVE
"Met a woman,",Met,,DYNAMIC
and woke up without the money.,woke,,DYNAMIC
"The next morning he offered to make good,",offered,he,DYNAMIC
but Isaacs called in a policeman.,called,Isaacs,DYNAMIC
"When they looked into it,",looked,they,DYNAMIC
they found,found,they,DYNAMIC
the boy had been drunk.,drunk,boy,STATIVE
"They tried to withdraw the charge,",tried,They,DYNAMIC
but hed been committed.,committed,They,DYNAMIC
"Now, the probation officer is trying to get the judge to suspend sentence.",trying,officer,DYNAMIC
"A letter from you, sir, would",—,letter,CANNOT_DECIDE
It was evident,was,It,STATIVE
the mind of the great man was elsewhere.,was,mind,STATIVE
"Young men who, drunk orsober, spent the firms money on women",spent,men,DYNAMIC
who disappeared before sunrise did not appeal to him.,appeal,men,STATIVE
Another letter submitted,submitted,letter,DYNAMIC
that morning had come from his art agent in Europe.,come,letter,DYNAMIC
In Florence he had discovered the Correggio,discovered,he,DYNAMIC
he had been sent to find.,sent,he,DYNAMIC
"It was undoubtedly genuine,",was,It,STATIVE
and he asked to be instructed by cable.,asked,It,DYNAMIC
The price was forty thousand dollars.,was,price,STATIVE
"With one eye closed, and the other keenly regarding the inkstand, Mr. Thorndike decided to pay the price;",decided,Thorndike,STATIVE
"and with the facility of long practice dismissed the Correggio,",dismissed,Thorndike,DYNAMIC
and snapped his mind back to the present.,snapped,Thorndike,DYNAMIC
Spear had a letter from us,had,Spear,STATIVE
"when he left, didnt he?",left,he,CANNOT_DECIDE
he asked.,asked,he,DYNAMIC
