Clause,mainVerb,mainReferent,Gold
Tennis is a racquet sport,is,Tennis,STATIVE
that can be played individually against a single opponent,played,sport,DYNAMIC
(singles) or between two teams of two players each,singles,played,CANNOT_DECIDE
(doubles).,,,CANNOT_DECIDE
Each player uses a racquet,uses,player,DYNAMIC
that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court.,strung,racquet,STATIVE
The object of the game is to play the ball in such a way,is,object,STATIVE
that the opponent is not able to play a good return.,is,opponent,STATIVE
"The opponent who is unable to return the ball will not gain a point, while the opposite opponent will.",gain,opponent,DYNAMIC
Tennis is an Olympic sport,is,Tennis,STATIVE
and is played at all levels of society and at all ages.,played,sport,DYNAMIC
The sport can be played by anyone,played,sport,DYNAMIC
"who can hold a racquet,",hold,anyone,STATIVE
including wheelchair users.,including,,STATIVE
"The modern game of tennis originated in Birmingham, England, in the late 19th century as ""lawn tennis"".",originated,game,DYNAMIC
It had close connections both to various field,had,It,STATIVE
"(""lawn"") games such as croquet and bowls as well as to the older racquet sport of real tennis.",,,CANNOT_DECIDE
"During most of the 19th-century in fact, the term ""tennis"" referred to real tennis, not lawn tennis:",referred,tennis,STATIVE
"for example, in Disraeli's novel Sybil (1845), Lord Eugene De Vere announces",announces,Vere,DYNAMIC
"that he will ""go down to Hampton Court",go,he,DYNAMIC
"and play tennis.""",play,he,DYNAMIC
The rules of tennis have changed little since the 1890s.,changed,rules,DYNAMIC
"Two exceptions are that from 1908 to 1961 the server had to keep one foot on the ground at all times, and the adoption of the tie-break in the 1970s.",are,exceptions,STATIVE
"A recent addition to professional tennis has been the adoption of electronic review technology coupled with a point challenge system,",been,addition,STATIVE
which allows a player to contest the line call of a point.,allows,system,DYNAMIC
Tennis is played by millions of recreational players,played,Tennis,DYNAMIC
and is also a popular worldwide spectator sport.,is,,STATIVE
"The four Grand Slam tournaments (also referred to as the ""Majors"")",referred,,STATIVE
are especially popular:,are,tournaments,STATIVE
the Australian Open played,played,tournaments,DYNAMIC
"on hard courts, the French Open played on red clay courts, Wimbledon played on grass courts,",played,tournaments,DYNAMIC
and the US Open played also on hard courts.,played,tournaments,DYNAMIC
==History==,,,CANNOT_DECIDE
===Predecessors===,,,CANNOT_DECIDE
Historians believe,believe,=,STATIVE
"that the game's ancient origin lay in 12th century northern France,",lay,origin,STATIVE
where a ball was struck with the palm of the hand.,struck,ball,DYNAMIC
Louis X of France was a keen player of jeu de paume,was,X,STATIVE
"(""game of the palm""), which evolved into real tennis,",evolved,paume,DYNAMIC
and became notable as the first person to construct indoor tennis courts in the modern style.,became,paume,DYNAMIC
Louis was unhappy with playing tennis out of doors,was,Louis,STATIVE
"and accordingly had indoor,",had,Louis,CANNOT_DECIDE
"enclosed courts made in Paris ""around the end of the 13th century"".",made,courts,DYNAMIC
In due course this design spread across royal palaces all over Europe.,spread,design,DYNAMIC
"In June 1316 at Vincennes, Val-de-Marne and following a particularly exhausting game, Louis drank a large quantity of cooled wine",drank,Louis,DYNAMIC
"and subsequently died of either pneumonia or pleurisy,",died,Louis,DYNAMIC
although there was also suspicion of poisoning.,was,suspicion,STATIVE
"Because of the contemporary accounts of his death, Louis X is history's first tennis player",is,X,STATIVE
known by name.,known,player,STATIVE
"Another of the early enthusiasts of the game was King Charles V of France,",was,Another,STATIVE
who had a court set up at the Louvre Palace.,had,V,DYNAMIC
It wasn't until the 16th century,was,It,STATIVE
"that racquets came into use,",came,racquets,DYNAMIC
"and the game began to be called ""tennis"",",began,It,DYNAMIC
"from the Old French term tenez, which can be translated as ""hold!""",translated,tenez,DYNAMIC
", ""receive!""",receive,,CANNOT_DECIDE
"or ""take!""",take,,CANNOT_DECIDE
", an interjection used as a call from the server to his opponent.",used,interjection,DYNAMIC
"It was popular in England and France,",was,It,STATIVE
although the game was only played indoors,played,game,DYNAMIC
where the ball could be hit off the wall.,hit,ball,DYNAMIC
"Henry VIII of England was a big fan of this game,",was,VIII,STATIVE
which is now known as real tennis.,known,game,STATIVE
"During the 18th century and early 19th century, as real tennis declined,",declined,tennis,DYNAMIC
new racquet sports emerged in England.,emerged,sports,DYNAMIC
"Further, the patenting of the first lawn mower in 1830, in Britain, is strongly believed to have been the catalyst, world-wide, for the preparation of modern-style grass courts, sporting ovals, playing fields, pitches, greens, etc.",believed,patenting,STATIVE
"This in turn led to the codification of modern rules for many sports,",led,This,DYNAMIC
"including lawn tennis, most football codes, lawn",including,,STATIVE
bowls and others.,,,CANNOT_DECIDE
===Origins of the modern game===,,,CANNOT_DECIDE
Between 1859 and 1865 Harry Gem and his friend Augurio Perera developed a game,developed,Perera,DYNAMIC
"that combined elements of racquets and the Basque ball game pelota,",combined,game,STATIVE
"which they played on Perera's croquet lawn in Birmingham, England, United Kingdom.",played,they,DYNAMIC
"In 1872, along with two local doctors, they founded the world's first tennis club in Leamington Spa.",founded,they,DYNAMIC
"In December 1873, British army officer Major Walter Clopton Wingfield designed and patented a similar game ",designed,Wingfield,DYNAMIC
which he called sphairistik,called,he,DYNAMIC
"(, meaning ""ball-playing""),",,,STATIVE
"and was soon known simply as ""sticky""  for the amusement of guests at a garden party on his friend's estate of Nantclwyd Hall, in Llanelidan, Wales.",known,Wingfield,STATIVE
"According to R. D. C. Evans, turfgrass agronomist,",According,,STATIVE
"""Sports historians all agree",agree,historians,STATIVE
