Clause,mainVerb,mainReferent,Gold
Zebras (/zbr/ ZEB-r or /zibr/ ZEE-br)[1] are several species of African equids,are,Zebras,STATIVE
(horse family) united by their distinctive black and white stripes.,united,species,STATIVE
"Their stripes come in different patterns, unique to each individual.",come,stripes,STATIVE
They are generally social animals,are,They,STATIVE
that live in small harems to large herds.,live,animals,STATIVE
"Unlike their closest relatives, horses and donkeys, zebras have never been truly domesticated.",domesticated,zebras,DYNAMIC
"There are three species of zebras: the plains zebra, the Grvy's zebra and the mountain zebra.",are,species,STATIVE
"The plains zebra and the mountain zebra belong to the subgenus Hippotigris,",belong,zebra,STATIVE
but Grvy's zebra is the sole species of subgenus Dolichohippus.,is,zebra,STATIVE
"The latter resembles an ass, to which it is closely related,",resembles,latter,STATIVE
while the former two are more horse-like.,are,two,STATIVE
"All three belong to the genus Equus, along with other living equids.",belong,three,STATIVE
The unique stripes of zebras make them one of the animals most familiar to people.,make,stripes,STATIVE
"They occur in a variety of habitats, such as grasslands, savannas, woodlands, thorny scrublands, mountains, and coastal hills.",occur,They,DYNAMIC
"However, various anthropogenic factors have had a severe impact on zebra populations, in particular hunting for skins and habitat destruction.",had,factors,DYNAMIC
Grvy's zebra and the mountain zebra are endangered.,endangered,zebra,STATIVE
"While plains zebras are much more plentiful, one subspecies, the quagga, became extinct in the late 19th century",became,subspecies,DYNAMIC
" though there is currently a plan,",is,plan,STATIVE
"called the Quagga Project,",called,plan,STATIVE
that aims to breed zebras,aims,plan,STATIVE
that are phenotypically similar to the quagga in a process,are,zebras,STATIVE
called breeding back.,called,process,STATIVE
==Etymology==,,,CANNOT_DECIDE
"The name ""zebra"" in English dates back to c.1600, from Italian zebra, perhaps from Portuguese,",dates,=,STATIVE
which in turn is said to be Congolese (as stated in the Oxford English Dictionary).,said,Portuguese,STATIVE
The Encarta Dictionary says,says,Dictionary,STATIVE
"its ultimate origin is uncertain,",is,origin,STATIVE
"but perhaps it may come from Latin equiferus meaning ""wild horse""",come,Dictionary,STATIVE
"; from equus (""horse"") and ferus (""wild, untamed"").",,,CANNOT_DECIDE
"The word was traditionally pronounced with a long initial vowel,",pronounced,word,DYNAMIC
"but over the course of the twentieth century, the pronunciation with the short initial vowel became the usual one in the UK and Commonwealth.",became,word,DYNAMIC
The pronunciation with a long initial vowel remains standard in the United States.,remains,pronunciation,STATIVE
==Taxonomy and evolution==,,,CANNOT_DECIDE
Zebras evolved among the Old World horses within the last 4 million years.,evolved,Zebras,DYNAMIC
