Clause,mainVerb,mainReferent,Gold
A Brief History,,,CANNOT_DECIDE
"Jerusalems recorded history begins with its mention in Egyptian court records 4,000 years ago,",begins,history,DYNAMIC
"but there had been human settlements here for centuries, probably millennia, before that.",been,,STATIVE
"At the beginning of the second millennium b.c. , Jerusalem was a Canaanite mountain stronghold on a secondary trade route, far less important than biblical cities such as Hazor, Megiddo, Beth Shean, and Shechem.",was,Jerusalem,STATIVE
"The earliest name associated with the city, Ur usalim,",associated,name,STATIVE
perhaps meant city of Shalim,meant,name,STATIVE
or founded by Shalim. ,founded,“,CANNOT_DECIDE
Scholars speculate,speculate,Scholars,STATIVE
"that Shalim might have been an ancient Semitic deity of peace,",been,Shalim,STATIVE
"for the name resembles the modern Hebrew and Arabic words for peace: shalom and salaam, respectively.",resembles,name,STATIVE
"If true, this is an ironic name for a city",is,this,STATIVE
that would become one of the most constantly and bitterly embattled places on the face of the earth.,become,city,DYNAMIC
Biblical Jerusalem,,,CANNOT_DECIDE
"In the Bible, Genesis 14:1820 records",Genesis,Jerusalem,DYNAMIC
that Abraham visited the city of Salem in approximately 1800 b.c.,visited,Abraham,DYNAMIC
"and was blessed by the citys ruler, Melchzedik,",blessed,Abraham,DYNAMIC
who offered him bread and wine.,offered,ruler,DYNAMIC
"The city is not mentioned again in the Bible until the time of the great poet warrior, King David,",mentioned,city,STATIVE
who captured the city from the Jebusites in about 1000 b.c.,captured,warrior,DYNAMIC
The Bible describes,describes,Bible,DYNAMIC
how Davids soldiers conquered Jerusalem by discovering a water tunnel under the walls,conquered,soldiers,DYNAMIC
and using it to take the city by surprise.,using,soldiers,DYNAMIC
"Warrens Shaft, part of a Canaanite water system discovered by 19th-century archaeologists and open to visitors, might be the very tunnel",be,Shaft,STATIVE
infiltrated by Davids army.,infiltrated,tunnel,DYNAMIC
"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel, David made it the capital of his newly formed kingdom",made,David,STATIVE
