Clause,mainVerb,mainReferent,Gold
A grand coalition is an arrangement in a multi-party parliamentary system,is,coalition,STATIVE
in which the two largest political parties of opposing political ideologies unite in a coalition government.,unite,parties,DYNAMIC
The term is most commonly used in countries,used,term,DYNAMIC
"where there are two dominant parties with different ideological orientations, and a number of smaller parties",are,parties,STATIVE
that have passed the election threshold to secure representation in the parliament.,passed,parties,DYNAMIC
"The two large parties will each try to secure enough seats in any election to have a majority government alone,",try,parties,DYNAMIC
and if this fails,fails,this,DYNAMIC
each will attempt to form a coalition with smaller parties,attempt,parties,DYNAMIC
that have a similar ideological orientation.,have,parties,STATIVE
"Because the two large parties will tend to differ on major ideological issues,",tend,parties,STATIVE
"and portray themselves as rivals,",portray,parties,CANNOT_DECIDE
"or even sometimes enemies, they will usually find it more difficult to agree on a common direction for a combined government with each other than with smaller parties.",find,they,DYNAMIC
==Causes of a grand coalition==,,,CANNOT_DECIDE
Occasionally circumstances arise,arise,circumstances,DYNAMIC
where normally opposing parties may find it desirable to form a government.,find,parties,STATIVE
"One is a national crisis such as a war or depression,",is,One,STATIVE
where people feel a need for national unity and stability,feel,people,STATIVE
that overcomes ordinary ideological differences.,overcomes,need,DYNAMIC
This is especially true,is,This,STATIVE
where there is broad agreement about the best policy to deal with the crisis.,is,agreement,STATIVE
"In this case, a grand coalition may occur",occur,coalition,DYNAMIC
even when one party has enough seats to govern alone.,has,party,STATIVE
An example would be the United Kingdom national governments during World War I and before and during World War II.,be,example,STATIVE
Another possibility is that the major parties may find,is,possibility,STATIVE
"they have more in common ideologically with each other than with the smaller parties, or that the fragmentation of the smaller parties is so great",is,fragmentation,STATIVE
that no other coalition is stable.,is,coalition,STATIVE
"Examples include Austria,",include,Examples,STATIVE
"where the mainstream parties of the left and right have often formed grand coalitions to keep parties of the far left or far right out of government (an example of a cordon sanitaire), or Israel,",formed,parties,DYNAMIC
where in some parliaments the fragmentation and intransigence of some of the smaller parties has made it easier to maintain a coherent platform with a grand coalition than with a narrow one.,made,coalitions,DYNAMIC
"This is often done out of political necessity, to prevent an early election.",done,This,DYNAMIC
