Clause,mainVerb,mainReferent,Gold
"Henry Burden (April 22, 1791  January 19, 1871) was an engineer and businessman",was,Burden,STATIVE
"who built an industrial complex in Troy, New York",built,businessman,DYNAMIC
called the Burden Iron Works.,called,York,STATIVE
"Burden's horseshoe machine, invented in 1835,",invented,machine,DYNAMIC
was capable of making 60 horseshoes a minute.,was,machine,STATIVE
"His rotary concentric squeezer, a machine for working wrought iron, was adopted by iron industries world wide.",adopted,squeezer,DYNAMIC
His hook-headed spike machine helped fuel the rapid expansion of railroads in the U.S.,helped,machine,DYNAMIC
The Burden Iron Works is a now an historical site and museum.,is,Works,STATIVE
==Early life==,,,CANNOT_DECIDE
"Henry Burden[https://archive.org/stream/henryburden00prou#page/n59/mode/2up] was born in Dunblane, Perthshire, Scotland, UK, the son of Peter Burden",born,https://archive.org/stream/henryburden00prou#page/n59/mode/2up],DYNAMIC
(17521829) and Elizabeth Abercrombie (17561837).,,,CANNOT_DECIDE
His father was a sheep farmer.,was,father,STATIVE
"He studied engineering at the University of Edinburgh,",studied,He,DYNAMIC
and returned to the farm making implements and a water wheel to power them.,returned,He,DYNAMIC
"He emigrated in 1819 with a letter of introduction to Stephen van Rensselaer, courtesy of the American Minister in London.",emigrated,He,DYNAMIC
"Burden started at the Townsend & Corning Foundry,",started,Burden,DYNAMIC
"manufacturers of cast iron plows and other agricultural implements,",,,CANNOT_DECIDE
located in Albanys south end - near todays Port of Albany.,located,manufacturers,STATIVE
"The next year, he invented an improved plow,",invented,he,DYNAMIC
which took first premium at,took,plow,DYNAMIC
"three county fairs, and a cultivator, which was said to have been the first to be put into practical operation in",said,fairs,DYNAMIC
the country.,,,CANNOT_DECIDE
He also made mechanical improvements on threshing machines and grist mills.,made,He,DYNAMIC
"He moved to Troy in 1822,",moved,He,DYNAMIC
and worked as superintendent of the Troy Iron and Nail Factory.,worked,He,DYNAMIC
"The factory was located on north side of the Wynantskill Creek in South Troy, about a half-mile northeast of todays Troy-Menands bridge.",located,factory,STATIVE
"Burden's inventions, which automated work that was previously done by hand,",automated,inventions,DYNAMIC
made the factory extremely profitable.,made,inventions,DYNAMIC
Burden soon became the sole owner of the factory,became,Burden,DYNAMIC
and renamed it H. Burden and Sons.,renamed,Burden,DYNAMIC
"The Burden Iron Works, as it came to be known,",came,produced,DYNAMIC
produced a variety of iron-based products.,produced,Works,DYNAMIC
==Innovator==,,,CANNOT_DECIDE
He experimented not only in the manufacture of items like horseshoes and spikes but also in the production of machines to make them.,experimented,He,DYNAMIC
"In May 1825 He securing for a patent for a machine to make spikes,",securing,He,DYNAMIC
which up until then were made by hand.,made,patent,DYNAMIC
"The Burden Iron Works produced the first ship spikes, and the first horseshoes",produced,Works,DYNAMIC
made by machinery in the world.,made,horseshoes,STATIVE
"In 1835 he designed the ""Horseshoe Machine""",designed,he,DYNAMIC
that could produce 60 shoes a minute.,produce,Machine,DYNAMIC
Burden became the chief horseshoe producer for the Union Army.,became,Burden,DYNAMIC
Burden became involved in supplying the iron,became,Burden,DYNAMIC
needed by the nation's rapidly expanding railroads.,needed,iron,STATIVE
In 1840 he obtained a patent for the first hook-headed spike.,obtained,he,DYNAMIC
He made ten tons of these for the Long Island Railroad in 1836.,made,He,DYNAMIC
"His suit against Corning and Winslow for patent infringement lasted from 1842 to 1867,",lasted,suit,STATIVE
when the patent was upheld.,upheld,patent,DYNAMIC
"Also in 1840 he obtained a patent for the ""rotary squeezer"",",obtained,he,DYNAMIC
which came to be used in all the leading iron manufactories in both America and Europe.,came,squeezer,DYNAMIC
Burden held twelve patents in total.,held,manufactories,STATIVE
"He was also among the first to suggest the use of plates for iron-clad seagoing vessels,",was,He,STATIVE
and sent specimen plates of his own manufacture to Glasgow for test.,sent,He,DYNAMIC
"The company forged the hull plates for the , the Navy's first iron-clad battleship,",forged,company,DYNAMIC
which engaged the Confederacy's Merrimac in 1862 in the first battle of its kind.,engaged,the,DYNAMIC
==Burden Iron Works==,,,CANNOT_DECIDE
Burden replaced the small wooden mill with a large millworks.,replaced,Burden,DYNAMIC
"The river adjacent to the works was shallow and full of bars,",was,river,STATIVE
and the land along the river was low and frequently flooded.,was,land,STATIVE
"At great expense, Burden had the grounds filled in,",had,Burden,DYNAMIC
"and the river dredged,",dredged,Burden,CANNOT_DECIDE
so that the company's docks were accessible to large vessels.,were,docks,STATIVE
"A network of railroad tracks wove through the property to move train loads of sand, iron ore from the Lake Champlain region, and limestone from the downriver city of Hudson.",wove,network,STATIVE
The firm had its own locomotive.,had,firm,STATIVE
Steam derricks were used to unload coal from the dock,used,derricks,DYNAMIC
"and move it to the coal heap, three hundred feet distant, a ton at a time.",move,derricks,CANNOT_DECIDE
He originated a system of reservoirs,originated,He,DYNAMIC
along the Wynantskill Creek to hold the water in reserve,hold,He,CANNOT_DECIDE
and increase the water-supply to power the mills.,increase,He,CANNOT_DECIDE
"In order to find the necessary power to run his foundry, in 1851 Burden designed and constructed a 60-foot wheel",designed,Burden,DYNAMIC
that could generate 500 horsepower.,generate,wheel,DYNAMIC
