Clause,mainVerb,mainReferent,Gold
"Detroit and the Myth of the $100 House | Uprooted, an eco/travel blog",blog,,CANNOT_DECIDE
America's Rust Belt is a swath of cities and towns,is,Myth,STATIVE
that boomed during the Industrial Era,boomed,swath,DYNAMIC
"and now lie -- well, rusting -- as empty remainders of glory days past.",lie,swath,STATIVE
"Chief among these is Detroit, Motor City.",is,Chief,STATIVE
The longtime center of American automotive manufacturing was gutted,gutted,center,DYNAMIC
when the Big Three car companies simultaneously failed.,failed,companies,DYNAMIC
"Detroit, already plagued by corruption and crime,",plagued,Detroit,STATIVE
saw its unemployment rate skyrocket in 2009.,saw,Detroit,DYNAMIC
What's left behind,left,What,CANNOT_DECIDE
when an economy collapses?,collapses,economy,CANNOT_DECIDE
"Cheap real estate, that's what.",'s,that,STATIVE
I'd read a New York Times article about some forward-thinking artist-types,read,I,DYNAMIC
"who bought a house in Detroit for $1,900 .",bought,artist-types,DYNAMIC
"$1,900!",,,CANNOT_DECIDE
Some of us (and lots of New Yorkers) pay that much in rent every month!,pay,Some,DYNAMIC
"In fact, the article went on, soon a nearby house went on the market for $100.",went,article,DYNAMIC
"The artist types notified their buddies,",notified,types,DYNAMIC
who moved in post haste.,moved,buddies,DYNAMIC
I was intrigued.,intrigued,I,STATIVE
Really?,,,CANNOT_DECIDE
A $100 house?,,,CANNOT_DECIDE
"Even if it was a real fixer-upper,",was,it,STATIVE
"even if you really were better off tearing it down than living in it, that'd still be a hell of a deal.",be,that,STATIVE
"Why, out in New Mexico, where you can still buy unincorporated land with no water or roads,",buy,you,DYNAMIC
"you'd pay at least $1,000 for a house-sized plot of dust.",pay,you,DYNAMIC
So how can you buy an actual home for $100?,buy,you,CANNOT_DECIDE
That's literally cheaper than dirt.,'s,That,STATIVE
The possibilities of this were fascinating.,were,possibilities,STATIVE
"I had visions of hipsters from coast to coast converging in Detroit,",had,I,STATIVE
building a new city on rock&roll.,building,converging,DYNAMIC
"I pictured young artists owning homes,",pictured,I,DYNAMIC
fixing up neighborhoods.,fixing,I,DYNAMIC
"I saw community gardens, art parks, a grassroots transformation of a city.",saw,I,DYNAMIC
"We could take that oil-stained soil and those rusted factories,",take,We,DYNAMIC
and create something new and beautiful.,create,soil,DYNAMIC
"With houses going for $100,",going,you,DYNAMIC
"I thought,",thought,I,STATIVE
what would you have to lose by moving to Detroit?,have,you,CANNOT_DECIDE
"And so Quiet Earp and I did some research,",did,I,DYNAMIC
and came up with a list of houses,came,Earp,DYNAMIC
selling for under a grand.,selling,houses,STATIVE
We had plenty to choose from:,had,We,STATIVE
there were more cheap houses,were,houses,STATIVE
than we would have time to visit.,have,houses,STATIVE
