Clause,mainVerb,mainReferent,Gold
"In left-right politics, left-wing politics are political positions or activities",are,politics,STATIVE
"that accept or support social equality, often in opposition to social hierarchy and social inequality.",accept,activities,STATIVE
The political terms Left and Right were coined during the French Revolution,coined,terms,DYNAMIC
"(17891799), referring to the seating arrangement in the Estates General:",referring,,STATIVE
those who sat on the left,sat,those,STATIVE
generally opposed the monarchy,opposed,those,STATIVE
"and supported the revolution,",supported,those,STATIVE
"including the creation of a republic and secularization,",including,,STATIVE
while those on the right were supportive of the traditional institutions of the Old Regime.,were,those,STATIVE
"Use of the term ""Left"" became more prominent after the restoration of the French monarchy in 1815",became,Use,DYNAMIC
"when it was applied to the ""Independents"".",applied,it,DYNAMIC
"The term was later applied to a number of movements, especially republicanism during the French Revolution, socialism, communism, and anarchism.",applied,term,DYNAMIC
"Beginning in the last half of the Twentieth Century, the phrase left-wing has been used to describe an ever widening family of movements,",used,left-wing,DYNAMIC
"including the civil rights movement, anti-war movements, and environmental movements,",including,,STATIVE
"and finally being extended to entire parties,",extended,,DYNAMIC
including the Democratic Party in the United States and the Labour Party in the United Kingdom.,including,,STATIVE
==History==,,,CANNOT_DECIDE
"In politics, the term left wing derives from the French Revolution,",derives,=,STATIVE
"as the anti-monarchist Montagnard and Jacobin deputies from the Third Estate generally sat to the left of the president's chair in parliament, a habit",sat,Montagnard,STATIVE
which began in the Estates General of 1789.,began,habit,DYNAMIC
"Throughout the 19th century in France, the main line dividing left and right was between supporters of the French Republic and those of the Monarchy.",was,line,STATIVE
The June Days Uprising during the Second Republic was an attempt by the left to assert itself,was,Uprising,STATIVE
"after the 1848 Revolution, but only a small portion of the population supported this.",supported,attempt,STATIVE
"In the mid-19th century, nationalism, socialism, democracy, and anti-clericalism became features of the French Left.",became,anti-clericalism,DYNAMIC
"After Napoleon III's 1851 coup and the subsequent establishment of the Second Empire, Marxism began to rival radical republicanism and utopian socialism as a force within left-wing politics.",began,Marxism,DYNAMIC
"The influential Communist Manifesto by Karl Marx and Friedrich Engels, published in 1848, asserted",asserted,Manifesto,DYNAMIC
that all human history is the history of class struggle.,is,history,STATIVE
They predicted,predicted,They,DYNAMIC
that a proletarian revolution would eventually overthrow bourgeois capitalism,overthrow,revolution,DYNAMIC
"and create a classless, stateless, post-monetary society.",create,revolution,DYNAMIC
"In the United States, many leftists, social liberals, progressives and trade unionists were influenced by the works of Thomas Paine,",influenced,unionists,DYNAMIC
"who introduced the concept of asset-based egalitarianism,",introduced,Paine,DYNAMIC
which theorises,theorises,egalitarianism,STATIVE
that social equality is possible by a redistribution of resources.,is,equality,STATIVE
"The International Workingmen's Association (186476),",,,CANNOT_DECIDE
"sometimes called the First International, brought together delegates from many different countries,",brought,Association,DYNAMIC
with many different views about how to reach a classless and stateless society.,reach,views,CANNOT_DECIDE
"Following a split between supporters of Marx and Mikhail Bakunin, anarchists formed the International Workers' Association.",Following,,DYNAMIC
The Second International (18881916),,,CANNOT_DECIDE
became divided over the issue of World War I. Those,became,International,DYNAMIC
"who opposed the war, such as Vladimir Lenin and Rosa Luxemburg, saw themselves as further to the left.",opposed,I.,STATIVE
"In the United States after Reconstruction, the phrase ""the Left"" was used to describe those",used,phrase,DYNAMIC
"who supported trade unions, the civil rights movement and the anti-war movement.",supported,those,STATIVE
"More recently in the United States, left-wing and right-wing have often been used as synonyms for Democratic and Republican, or as synonyms for liberalism and conservatism respectively.",used,left-wing,DYNAMIC
"Since the Right was populist, both in the Western and the Eastern Bloc, anything viewed",was,both,STATIVE
as avant-garde art was called leftist in all Europe.,called,anything,DYNAMIC
"Thus we have the identification of Picasso's Guernica as ""leftist"" in Europe and the condemnation of the Russian composer Shostakovich's opera, The Lady Macbeth of Mtsensk District, in Pravda,",have,we,STATIVE
"as ""Here we have ""leftist"" confusion instead of natural, human music..."".",leftist,Here,STATIVE
==Positions==,,,CANNOT_DECIDE
The following positions are typically associated with left-wing politics.,associated,=,STATIVE
===Economics===,=,=,CANNOT_DECIDE
"Leftist economic beliefs range from Keynesian economics and the welfare state through industrial democracy and the social market to nationalization of the economy and central planning, to the anarchist/ syndicalist advocacy of a council- and assembly-based self-managed anarchist communism.",,,STATIVE
"During the industrial revolution, left-wingers supported trade unions.",supported,left-wingers,STATIVE
"In the early twentieth century, the Left were (with the notable exceptions of libertarians like the anarchists and revolutionary syndicalists) associated with policies",associated,Left,STATIVE
advocating extensive government intervention in the economy.,advocating,policies,STATIVE
Leftists continue to criticize,continue,Leftists,STATIVE
"what they perceive as the exploitative nature of globalization, the race to the bottom and unjust lay-offs.",perceive,they,STATIVE
In the last quarter of the Twentieth Century the belief that government (ruling in accordance with the interests of the people) ought to be directly involved in the day-to-day workings of an economy,involved,government,STATIVE
"declined in popularity amongst the center left, especially social-democrats",declined,belief,DYNAMIC
who became influenced by 'third way' ideology.,became,social-democrats,DYNAMIC
"Other leftists believe in Marxian economics,",believe,leftists,STATIVE
which are based on the economic theories of Karl Marx.,based,economics,STATIVE
"Some distinguish Marx's economic theories from his political philosophy,",distinguish,Some,DYNAMIC
arguing that Marx's approach to understanding the economy is independent of his advocacy of revolutionary socialism or his belief in the inevitability of proletarian revolution.,arguing,Some,STATIVE
"Marxian economics does not exclusively rely upon Marx,",rely,economics,STATIVE
it draws from a range of Marxist and non-Marxist sources.,draws,it,STATIVE
The dictatorship of the proletariat or workers' state are terms,are,dictatorship,STATIVE
used by Marxists to describe,used,terms,DYNAMIC
what they see as a temporary state between the capitalist and communist society.,see,they,STATIVE
"Marx defined the proletariat as salaried workers,",defined,Marx,DYNAMIC
"in contrast to the lumpen proletariat, who he defined as outcasts of society, such as beggars, tricksters, entertainers, buskers, criminals and prostitutes.",defined,he,DYNAMIC
The political relevance of farmers has divided the left.,divided,relevance,DYNAMIC
"In Das Kapital, Marx scarcely mentioned the subject.",mentioned,Marx,DYNAMIC
Mao Zedong believed,believed,Zedong,STATIVE
that it would be rural peasants not urban workers,be,it,STATIVE
who would bring about proletariat revolution.,bring,peasants,DYNAMIC
"Left-libertarians, Libertarian socialists and anarchists believe in a decentralized economy",believe,anarchists,STATIVE
"run by trade unions, workers' councils, cooperatives, municipalities and communes,",run,economy,STATIVE
"and oppose both government and private control of the economy,",oppose,Left-libertarians,STATIVE
"preferring local control,",preferring,economy,STATIVE
in which a nation of decentralized regions are united in a confederation.,united,nation,STATIVE
According to Barry Clark:,According,,STATIVE
