Clause,mainVerb,mainReferent,Gold
"Herbalism (""herbology"" or ""herbal medicine"")",,,CANNOT_DECIDE
"is use of plants for medicinal purposes, and the study of such use.",is,Herbalism,STATIVE
"Plants have been the basis for medical treatments through much of human history,",been,Plants,STATIVE
and such traditional medicine is still widely practiced today.,practiced,basis,DYNAMIC
Modern medicine recognizes herbalism as a form,recognizes,medicine,STATIVE
"of alternative medicine, as the practice of herbalism is not strictly based on evidence",based,practice,STATIVE
gathered using the scientific method.,gathered,evidence,DYNAMIC
"Modern medicine, does, however, make use of many plant-derived compounds as the basis for evidence-tested pharmaceutical drugs, and phytotherapy works to apply modern standards of effectiveness testing to herbs and medicines",does,medicine,DYNAMIC
that are derived from natural sources.,derived,medicines,STATIVE
"The scope of herbal medicine is sometimes extended to include fungal and bee products, as well as minerals, shells and certain animal parts.",extended,scope,DYNAMIC
==History==,,,CANNOT_DECIDE
Archaeological evidence indicates,indicates,History,STATIVE
"that the use of medicinal plants dates at least to the Paleolithic, approximately 60,000 years ago.",dates,use,STATIVE
"Written evidence of herbal remedies dates back over 5,000 years, to the Sumerians,",dates,evidence,STATIVE
who created lists of plants.,created,Sumerians,DYNAMIC
A number of ancient cultures wrote on plants and their medical uses.,wrote,number,DYNAMIC
"In ancient Egypt, herbs are mentioned in Egyptian medical papyri,",mentioned,herbs,DYNAMIC
"depicted in tomb illustrations,",depicted,papyri,STATIVE
or on rare occasions found in medical jars,found,occasions,DYNAMIC
containing trace amounts of herbs.,containing,jars,STATIVE
"The earliest known Greek herbals were those of Diocles of Carystus,",were,earliest,STATIVE
"written during the 3rd century B.C,",written,those,DYNAMIC
"and one by Krateuas from the 1st century B.C. Only a few fragments of these works have survived intact,",survived,those,DYNAMIC
but from what remains,remains,what,STATIVE
scholars have noted,noted,scholars,DYNAMIC
that there is a large amount of overlap with the Egyptian herbals.,is,amount,STATIVE
Seeds likely used for herbalism have been found in the archaeological sites of Bronze Age China,found,Seeds,DYNAMIC
dating from the Shang Dynasty.,dating,sites,STATIVE
"Over a hundred of the 224 drugs mentioned in the Huangdi Neijing, an early Chinese medical text, are herbs.",are,Neijing,STATIVE
"Herbs were also common in the medicine of ancient India,",were,Herbs,STATIVE
where the principal treatment for diseases was diet.,was,treatment,STATIVE
"De Materia Medica by Pedanius Dioscorides, a Roman physician, is a particularly important example of such writings.",is,Medica,STATIVE
"The documentation of herbs and their uses was a central part of both Western and Eastern medical scholarship through to the 1600s,",was,documentation,STATIVE
and these works played an important role in the development of the science of botany.,played,part,DYNAMIC
==Modern herbal medicine==,,,CANNOT_DECIDE
The World Health Organization (WHO),,,CANNOT_DECIDE
estimates,estimates,=,STATIVE
that 80 percent of the population of some Asian and African countries presently use herbal medicine for some aspect of primary health care.,use,percent,DYNAMIC
"Pharmaceuticals are prohibitively expensive for most of the world's population,",are,Pharmaceuticals,STATIVE
half of which lived on less than $2 U.S. per day in 2002.,lived,half,STATIVE
"In comparison, herbal medicines can be grown from seed",grown,medicines,DYNAMIC
or gathered from nature for little or no cost.,gathered,medicines,DYNAMIC
"Many of the pharmaceuticals currently available to physicians have a long history of use as herbal remedies,",have,Many,STATIVE
"including opium, aspirin, digitalis, and quinine.",including,,STATIVE
"According to the World Health Organization, approximately 25% of modern drugs",According,,CANNOT_DECIDE
used in the United States have been derived from plants.,derived,%,DYNAMIC
"At least 7,000 medical compounds in the modern pharmacopoeia are derived from plants.",derived,compounds,STATIVE
Among the 120 active compounds currently isolated from the higher plants,isolated,compounds,DYNAMIC
