Clause,mainVerb,mainReferent,Gold
The Black Willow,,,CANNOT_DECIDE
Allan sat down at his desk,sat,Allan,DYNAMIC
and pulled the chair in close.,pulled,Allan,DYNAMIC
"Opening a side drawer,",Opening,,DYNAMIC
he took out a piece of paper and his inkpot.,took,he,DYNAMIC
"After filling his pen, Allan looked at his paper in the orange glow from the lantern",looked,Allan,DYNAMIC
set back in the desk's right-hand corner.,set,glow,STATIVE
"His pen cast a forbidding line of shadow slanting across the page,",cast,pen,DYNAMIC
echoing the inky darkness crouching in the edges of the lantern's struggling glow.,echoing,pen,DYNAMIC
The only other illumination came from a lurid moonlight,came,illumination,DYNAMIC
"filtered through thin branches and clouds,",filtered,moonlight,STATIVE
casting its bone-pale glow onto the pine floorboards.,casting,,DYNAMIC
"Allan unfolded another page,",unfolded,Allan,DYNAMIC
this one crowded with ranks of letters in tight formation from left to right.,crowded,one,STATIVE
"The lines of letters stepped into their divisions, in the shape of a story's outline:",stepped,lines,DYNAMIC
"the loose, dry skeleton of a tale lay exposed beneath their feet, awaiting tendons, muscle and blushing skin.",lay,skeleton,STATIVE
"Allan reviewed the troops,",reviewed,Allan,DYNAMIC
"all prepared to disembark, their task to form the tale of a young man",prepared,,STATIVE
"returning home from Life Abroad to find his childhood friend a bride to-be,",returning,man,DYNAMIC
"thus upsetting the apple cart of his life's plan,",upsetting,,DYNAMIC
clarified  of course  by his very time away from her,clarified,plan,CANNOT_DECIDE
he loved best.,loved,he,STATIVE
"Although the concept was a simple one, Allan thought",thought,Allan,STATIVE
it had potential.,had,it,STATIVE
"Besides, the public liked a good, simple romance.",liked,public,STATIVE
"Perhaps this will be more saleable,",be,this,STATIVE
he thought and began to write.,thought,he,DYNAMIC
"They gazed at each other,",gazed,They,DYNAMIC
lost in the rapture of love,lost,,STATIVE
based so deeply within their hearts,based,rapture,STATIVE
that they had never seen it before.,seen,they,DYNAMIC
"""What about Roger?""",Roger,What,CANNOT_DECIDE
"she asked,",asked,she,DYNAMIC
knowing,knowing,,STATIVE
that the answer no longer mattered.,mattered,answer,STATIVE
"This is good,",is,This,STATIVE
"he thought,",thought,he,DYNAMIC
pausing to raise the low light of the lantern.,pausing,,DYNAMIC
"I'm almost done,",done,I,STATIVE
and the happy ending is just falling into place.,falling,I,DYNAMIC
"I hardly dare to think it,",dare,I,DYNAMIC
but  I may finish this story!,–,I,DYNAMIC
"As he thought this, a sinuous wind encircled the house,",encircled,wind,DYNAMIC
slipping through the walls to chill him.,slipping,wind,DYNAMIC
The papers and the lantern's flame trembled,trembled,papers,DYNAMIC
as the thin fingers of a great black willow rapped gently on Allan's window and wall like a stranger,rapped,willow,DYNAMIC
knocking on his chamber door.,knocking,stranger,DYNAMIC
"This was no stranger, however;",was,This,STATIVE
"the twisted, ancient thing was older than Allan,",was,thing,STATIVE
its branches rapping on his window since his childhood.,rapping,branches,DYNAMIC
"Its thin, drawn fingers framed the bloated moon,",framed,fingers,DYNAMIC
whose eerie radiation now bathed the room directly.,bathed,radiation,DYNAMIC
"The great, jaundiced eye stared down unblinkingly at the author,",stared,eye,DYNAMIC
who gazed up through his window's tiny frame with trepidation.,gazed,author,DYNAMIC
Allan recalled himself,recalled,Allan,DYNAMIC
and focused once more on the incomplete page before him.,focused,Allan,DYNAMIC
"His pen flickered forth,",flickered,pen,DYNAMIC
words dancing out from its nib.,dancing,pen,DYNAMIC
In the author's eye gleamed the lantern's reflection ,–,reflection,DYNAMIC
or was it a reflection?,was,,CANNOT_DECIDE
"For while the lantern's spark shivered in the chill breeze, this burn",shivered,spark,DYNAMIC
"was steady and true as the motion of its owner's pen,",was,For,STATIVE
scratching out the rhythm of the willow's fingers.,scratching,,DYNAMIC
"The frenzied writing ceased at last,",ceased,writing,DYNAMIC
the author leaned back with a slight sigh as if both exhausted and satisfied by his effort.,leaned,author,DYNAMIC
"He held a hand to his forehead,",held,He,DYNAMIC
eyes closed and face flushed.,eyes,He,STATIVE
"I did it again,",did,I,DYNAMIC
he thought.,thought,he,DYNAMIC
After all that  so,–,that,CANNOT_DECIDE
"near the end, to lose control again.",lose,that,CANNOT_DECIDE
"His breath returning to its normal rhythms,",returning,breath,DYNAMIC
he dared to look at the page before him.,dared,he,DYNAMIC
"His face soft as if caught between a smile and tears,",face,His,STATIVE
he draped his loose cape over her shoulders.,draped,he,DYNAMIC
"""Come, darling,""",,,CANNOT_DECIDE
he whispered.,whispered,he,DYNAMIC
"""Where I am to take you,",am,I,DYNAMIC
