Clause,mainVerb,mainReferent,Gold
"For The Blind,",,,CANNOT_DECIDE
"Inc. 371 EASIJERICHO TURNPIKE, SMITHIOWN,",,,CANNOT_DECIDE
NEW YORK 11787-2976,11787-2976,YORK,CANNOT_DECIDE
Its people like you who make it possible to give the priceless gift of Second Sight .,’s,It,STATIVE
"Dear Friend, Think",Think,Friend,CANNOT_DECIDE
what it would be like to live in a world of dark shapes and shadows,be,it,STATIVE
where you never know,know,you,STATIVE
"what to expect; to feel afraid to go places, to be hesitant about every step",expect,world,CANNOT_DECIDE
you take.,take,you,DYNAMIC
"For too many, this is a daily reality  but today",is,this,STATIVE
you can help make a difference.,help,—,DYNAMIC
"Having a guide dog allows a blind or visually impaired individual to experience the possibilities of life, not the limitations.",allows,Having,DYNAMIC
"It costs over $20,000 to breed,",costs,It,STATIVE
care for,care,It,CANNOT_DECIDE
and train a guide dog like Duke,train,It,CANNOT_DECIDE
and to train his blind teammate.,train,”,CANNOT_DECIDE
"We use Labrador Retrievers, Golden Retrievers and a cross between Labs and Goldens.",use,We,DYNAMIC
Male and female dogs are used.,used,dogs,DYNAMIC
And our dogs are specially bred for temperament and physical soundness.,bred,dogs,DYNAMIC
Every Foundation guide dog is given free of charge to someone,given,dog,DYNAMIC
who is blind or visually impaired.,is,impaired,STATIVE
"We are supported entirely by donations from generous individuals, corporations and foundations.",supported,We,STATIVE
We receive no government funding.,receive,We,DYNAMIC
"The only way we can continue to provide guide dogs, at no cost, to someone",continue,we,DYNAMIC
"who is blind or visually impaired, is through your support.",is,way,STATIVE
Friends like you make it possible to give the gift of Second Sight.,like,Friends,DYNAMIC
I hope,hope,I,STATIVE
the Foundation can count on your caring donation today.,count,Foundation,STATIVE
"Many people send gifts of $35, $50, or even $100 or more ",send,people,DYNAMIC
whatever you are able to give to help maintain this vital service.,are,you,STATIVE
And having a guide dog does make a real difference in the lives of our students.,make,having,DYNAMIC
Its the special bond  of a loving and working 24 hour a day partnership.,’s,It,STATIVE
"As a boy in Bosnia, I walked my dog.",walked,I,DYNAMIC
"Now my guide dog, Franklin, walks me says Sead.",says,Sead,DYNAMIC
He was blinded at 15 by a Serbian missile.,blinded,He,DYNAMIC
"After I got my beautiful black Lab,",got,I,DYNAMIC
I finally felt like a human being again.,felt,I,STATIVE
Now I believe,believe,I,STATIVE
almost anything is possible.,is,anything,STATIVE
Franklin has opened up a whole new world for me.,opened,Franklin,DYNAMIC
A world I thought,thought,I,STATIVE
I would never have again.,have,I,STATIVE
"As Pat explains, Both my friends were zipping through crowds",zipping,“,DYNAMIC
"while I lagged behind,",lagged,I,DYNAMIC
even though I was a fast cane walker.,was,I,STATIVE
"I envied their freedom and most of all,",envied,I,STATIVE
the incredible bond they both had with their guide dogs.,had,they,STATIVE
"With my Lab, Jay, I feel so wonderfully FREE!",feel,I,STATIVE
Hank says,says,Hank,DYNAMIC
he was a good cane traveler for 17 years ,was,he,STATIVE
but felt,felt,traveler,STATIVE
his freedom was curtailed,curtailed,freedom,STATIVE
particularly when traveling.,traveling,,DYNAMIC
I had never had a pet.,had,“,STATIVE
Having Aries just makes life so much easier.,makes,Aries,DYNAMIC
"For one thing, people are nicer to you.",are,,STATIVE
People love dogs.,love,People,STATIVE
They can relate to him,relate,They,STATIVE
and feel,feel,They,STATIVE
they have something to talk to you about.,have,they,STATIVE
"Our graduates, who are leading active lives assisted by the guide dogs given to them by the Guide Dog Foundation,",leading,graduates,STATIVE
"include: social workers, teachers, secretaries, policy makers, college students, musicians, writers, homemakers... mothers and fathers.",include,graduates,STATIVE
"As one of our donors in the New York area told us, Sometimes",Sometimes,“,DYNAMIC
you never see the good work,see,you,DYNAMIC
your money does.,does,money,DYNAMIC
I see the results... the guide does Ive helped sponsor dramatically improve the lives of the men and women,see,I,DYNAMIC
who receive them.,receive,men,DYNAMIC
Wont you please take the time now to send your donation to give someone the priceless gift of independence?,take,you,CANNOT_DECIDE
"Sincerely, Wells B. Jones",,,CANNOT_DECIDE
Chief Executive Officer RS.,,,CANNOT_DECIDE
"For more information about the Guide Dog Foundation, or to become a Guide Dog Foundation volunteer, visit our website at www.guidedog.org.",visit,,CANNOT_DECIDE
