Clause,mainVerb,mainReferent,Gold
Launching the Electronics Free Trade Zone in Dubai,Launching,,CANNOT_DECIDE
"Dubai 01-82 (AFP) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today, i.e. on Saturday, an electronics free e-trade zone",i.e.,zone,DYNAMIC
"which has been named ""Dubai Internet City""",named,zone,DYNAMIC
The cost in the first stage of this unique project is estimated at 200 million dollars.,estimated,cost,STATIVE
"Sheikh Mohammed, who is also the UAE Defence Minister,",is,Mohammed,STATIVE
said during the launching ceremony,said,Mohammed,DYNAMIC
"""we wish to make Dubai a center of modern economy"".",wish,we,STATIVE
"The minister who has a personal website on the internet, further said that",said,minister,STATIVE
he wanted Dubai to become the best place in the world for the advanced (hitech) technological companies.,wanted,he,STATIVE
He said,said,He,DYNAMIC
"that it would he possible for the companies working in the electronic trade sector to make Dubai their headquarters,",working,companies,STATIVE
and to establish offices here,establish,,CANNOT_DECIDE
and provide employment and own machinery in the zone,provide,,CANNOT_DECIDE
opened to companies,opened,zone,STATIVE
fully owned by the foreigners.,owned,companies,STATIVE
"The electronic trade free trade zone is situated in the north of Dubai, close to the free industrial zone in Jabal Ali Mountain, an area",situated,trade,STATIVE
"which is considered to be the first in the country, and tenth in the world for transit movement.",considered,area,STATIVE
Launching 'Dubai Internet city ' coincided with the opening of the annual information fair in Dubai,coincided,city,DYNAMIC
which is considered to be the biggest in the Middle East - Gulf Information Technology Getix.',considered,fair,STATIVE
