Clause,mainVerb,mainReferent,Gold
"Sloths (/slo/ SLOH-th, /sl/ SLO-th)[2] are medium-sized mammals",[,Sloths,STATIVE
belonging to the families Megalonychidae,belonging,mammals,STATIVE
"(two-toed sloth) and Bradypodidae (three-toed sloth),",,,CANNOT_DECIDE
classified into six species.,classified,Bradypodidae,STATIVE
They are part of the order Pilosa,are,They,STATIVE
"and are therefore related to anteaters, which sport a similar set of specialized claws.",related,part,STATIVE
Extant sloths are arboreal,are,sloths,STATIVE
"(tree-dwelling) residents of the jungles of Central and South America, and are known for being slow-moving,",known,residents,STATIVE
"and hence named ""sloths"".",named,residents,STATIVE
"Extinct sloth species include many ground sloths, some of which attained the size of elephants.",include,species,STATIVE
"Sloths make a good habitat for other organisms,",make,Sloths,STATIVE
"and a single sloth may be home to moths, beetles, cockroaches, ciliates, fungi, and algae.",be,sloth,STATIVE
==Taxonomy and names==,=,Taxonomy,CANNOT_DECIDE
"The sloth's taxonomic suborder is Folivora,",is,Taxonomy,STATIVE
"sometimes also called Phyllophaga (Owen, 1842) or Tardigrada (Latham and Davies, 1795).",called,,DYNAMIC
"The first two names both mean ""leaf-eaters""; derived from Latin and Greek, respectively.",mean,names,STATIVE
"Names for the animals used by tribes in Ecuador include ritto, rit, and ridette, mostly forms of the word ""sleep"", ""eat"", and ""dirty"" from Tagaeri tribe of Huaorani.",include,Names,STATIVE
==Ecology==,,,CANNOT_DECIDE
"Sloths are classified as folivores,",classified,Sloths,STATIVE
"as the bulk of their diets consist of buds, tender shoots, and leaves, mainly of Cecropia trees.",consist,bulk,STATIVE
"Some two-toed sloths have been documented as eating insects, small reptiles, and birds as a small supplement to their diets.",documented,sloths,DYNAMIC
Linnaeus's two-toed sloth has recently been documented eating human faeces from open latrines.,documented,sloth,DYNAMIC
They have made extraordinary adaptations to an arboreal browsing lifestyle.,made,They,DYNAMIC
"Leaves, their main food source, provide very little energy or nutrients,",provide,Leaves,DYNAMIC
and do not digest easily.,digest,Leaves,DYNAMIC
"Sloths, therefore, have large, specialized, slow-acting stomachs with multiple compartments",have,Sloths,STATIVE
in which symbiotic bacteria break down the tough leaves.,break,bacteria,DYNAMIC
"Sloths' tongues have the unique ability to protrude from their mouths 10 to 12 inches, an ability",have,tongues,STATIVE
that is useful for collecting leaves just out of reach.,is,ability,STATIVE
"As much as two-thirds of a well-fed sloth's body weight consists of the contents of its stomach,",consists,two-thirds,STATIVE
and the digestive process can take a month or more to complete.,take,two-thirds,STATIVE
"Since leaves provide little energy,",provide,leaves,DYNAMIC
sloths deal with this by a range of economy measures:,deal,sloths,DYNAMIC
they have very low metabolic rates (less than half of that,have,they,STATIVE
"expected for a mammal of their size),",expected,that,STATIVE
and maintain low body temperatures when active,maintain,they,STATIVE
"(3034C or 8693F), and still lower temperatures when resting.",,,STATIVE
"Although unable to survive outside the tropical rainforests of South and Central America, within that environment sloths are outstandingly successful creatures.",are,sloths,STATIVE
"On Barro Colorado Island in Panama, sloths have been estimated to comprise 70% of the biomass of arboreal mammals.",estimated,sloths,DYNAMIC
Four of the six living species are presently rated,rated,Four,STATIVE
"""least concern""; the maned three-toed sloth (Bradypus torquatus), which inhabits Brazil's dwindling Atlantic Forest, is classified as ""endangered"",",classified,sloth,STATIVE
while the island-dwelling pygmy three-toed sloth (B. pygmaeus) is critically endangered.,endangered,sloth,STATIVE
==Physiology==,,,CANNOT_DECIDE
Sloth fur exhibits specialized functions: the outer hairs grow in a direction opposite from that of other mammals.,exhibits,fur,STATIVE
"In most mammals, hairs grow toward the extremities,",grow,hairs,DYNAMIC
"but because sloths spend so much time with their legs above their bodies,",spend,sloths,DYNAMIC
their hairs grow away from the extremities to provide protection from the elements,grow,hairs,DYNAMIC
while the sloth hangs upside down.,hangs,sloth,STATIVE
"In most conditions, the fur hosts two species of symbiotic cyanobacteria,",hosts,fur,STATIVE
which provide camouflage.,provide,species,DYNAMIC
"Because of the cyanobacteria, sloth fur is a small ecosystem of its own,",is,fur,STATIVE
hosting many species of non-parasitic insects.,hosting,ecosystem,STATIVE
"Sloths have short, flat heads, big eyes; short snouts, long legs, and tiny ears.",have,Sloths,STATIVE
Some species have stubby tails,have,species,STATIVE
(67 cm long).,,,CANNOT_DECIDE
"Altogether, sloths' bodies usually are between 50 and 60 cm long.",are,bodies,STATIVE
Sloths' claws serve as their only natural defense.,serve,claws,DYNAMIC
A cornered sloth may swipe at its attackers in an effort to scare them away,swipe,sloth,DYNAMIC
or wound them.,wound,effort,CANNOT_DECIDE
"Despite sloths' apparent defenselessness, predators do not pose special problems:",pose,predators,DYNAMIC
sloths blend in with the trees,blend,sloths,STATIVE
"and, moving only slowly,",moving,,DYNAMIC
do not attract attention.,attract,sloths,DYNAMIC
Only during their infrequent visits to ground level do they become vulnerable.,do,,DYNAMIC
"The main predators of sloths are the jaguar, the harpy eagle, and humans.",are,predators,STATIVE
The majority of recorded sloth deaths in Costa Rica are due to contact with electrical lines and poachers.,are,majority,STATIVE
Their claws also provide a further unexpected deterrent to human hunters;,provide,claws,DYNAMIC
"when hanging upside-down in a tree,",hanging,,STATIVE
they are held in place by the claws themselves,held,they,STATIVE
and often do not fall down,fall,they,DYNAMIC
even if shot from below.,shot,,DYNAMIC
"Despite their adaptation to living in trees, sloths",living,adaptation,CANNOT_DECIDE
(like many other rainforest animals) make competent swimmers.,make,sloths,STATIVE
"This is likely to have been true of the extinct ground sloths, as well,",is,This,STATIVE
as evidenced by the fact,evidenced,,STATIVE
"that megalonychid sloths were able to colonise the Antilles by the Oligocene,",were,sloths,STATIVE
