Clause,mainVerb,mainReferent,Gold
Facebook Fans: You Get,Get,Fans,DYNAMIC
What You Pay For,Pay,Get,DYNAMIC
24 Mar 2010,,,CANNOT_DECIDE
by Rick,,,CANNOT_DECIDE
Take a look at the Facebook Fan Pages of some brands,Take,Mar,CANNOT_DECIDE
and what you see is not a pretty picture.,see,You,DYNAMIC
"Oh, the numbers look good,",look,numbers,STATIVE
but when you dig a little deeper,dig,you,DYNAMIC
a different picture emerges.,emerges,numbers,DYNAMIC
"Walls filled with off topic conversations at best, vile language and real antipathy for the brand at worst.",filled,Walls,STATIVE
What happened?,happened,What,CANNOT_DECIDE
Wasn't having thousands of fans supposed to be a good thing?,having,,CANNOT_DECIDE
"Well, yes and no.",,,CANNOT_DECIDE
"Sure, it's great having several hundred thousands fans.",'s,it,STATIVE
But how did you come to get those fans?,come,you,CANNOT_DECIDE
"Did you earn them through fantastic customer service,",earn,you,CANNOT_DECIDE
"fulfilling the brand promise,",fulfilling,you,CANNOT_DECIDE
"providing value to the community in an authentic and passionate voice, or did you run a Facebook ad campaign",providing,,CANNOT_DECIDE
and hit the broadcast airwaves with a promotion?,hit,you,CANNOT_DECIDE
"Let's look at  my old favorite , TGI Friday's:",look,Let,CANNOT_DECIDE
"If you can see this,",see,you,DYNAMIC
then you might need a Flash Player upgrade,need,favorite,STATIVE
or you need to install Flash Player,need,you,STATIVE
if it's missing.,missing,it,STATIVE
Get Flash Player from Adobe.,Get,,CANNOT_DECIDE
Remember that ad?,Remember,,CANNOT_DECIDE
"Pretty cool, right?",Pretty,,CANNOT_DECIDE
"In fact, as I recall,",recall,I,STATIVE
they got over 1 million Facebook fans.,got,they,DYNAMIC
Google TGI Friday's Fan Woody and it looks pretty good.,TGI,Google,CANNOT_DECIDE
But then something not so awesome happened.,happened,something,DYNAMIC
All those fans wanted their free burgers,wanted,fans,STATIVE
and they wanted them now!,wanted,fans,STATIVE
TGI Friday's completely lost control of the page,lost,Friday,DYNAMIC
and eventually doled out a lot of free burgers.,doled,Friday,DYNAMIC
Now from a short term perspective I'm sure,'m,I,STATIVE
they did ok on the deal.,ok,they,DYNAMIC
People came in,came,People,DYNAMIC
and ate their food.,,,DYNAMIC
"But they could have accomplished that with coupons in the mail, the newspaper or by an email list.",accomplished,they,DYNAMIC
But they decided to go the Social Media route.,decided,they,DYNAMIC
"Now, let's take a look at what the Friday's FanWoody Facebookpage looks like today: Whoops!",take,'s,CANNOT_DECIDE
It's gone.,gone,It,STATIVE
"Apparently Woody and his 900,000+ fans went poof .",went,Woody,DYNAMIC
How come?,come,,CANNOT_DECIDE
I'm guessing,guessing,I,STATIVE
it had something to do with the venom and general anarchy,had,it,STATIVE
the page had created by buying fans rather than growing them.,created,page,DYNAMIC
"A TGI Friday's Facebook page does exist, with roughly a third of the fans",exist,page,STATIVE
they used to have.,used,they,STATIVE
"TGI Friday's pretty much had to spray Agent Orange on their relationship with 600,000 people.",had,Friday,STATIVE
It's easy to pick on TGI Friday's,'s,It,STATIVE
but they certainly aren't the only guilty party.,are,they,STATIVE
I think,think,I,STATIVE
plenty of brands have heard the siren call of Facebook ads.,heard,plenty,DYNAMIC
"The ability to target your demo is really terrific,",is,ability,STATIVE
but you're in danger of creating a relationship with fans,'re,ability,STATIVE
"that ultimately is built on a ""what have you done for me lately"" foundation.",built,fans,STATIVE
"First, you essentially bought these fans.",bought,you,DYNAMIC
You paid Facebook for the right to target them.,paid,You,DYNAMIC
"Then in the case of TGI Friday's or other brands that offer free product or discount coupons,",offer,brands,STATIVE
you are essentially buying them again.,buying,you,DYNAMIC
This sets up a pattern,sets,This,DYNAMIC
"where the consumer now expects to be rewarded for being your fan with a tangible item,",expects,consumer,STATIVE
"that is, free stuff.",is,item,STATIVE
"That's not a bonus item,",'s,That,STATIVE
it's now a standard part of the agreement.,'s,it,STATIVE
Want me as a fan?,Want,,CANNOT_DECIDE
Give me free stuff.,Give,,CANNOT_DECIDE
The point of Social Media isn't to distribute coupons,is,point,STATIVE
"and a real fan wants to engage with a brand for a whole host of reasons,",wants,point,STATIVE
often free / discounted product is the least of these reasons.,is,point,STATIVE
I'm not saying,saying,I,DYNAMIC
"that special bonuses, or 'surprise and delight' offers aren't ever a good thing.",are,delight,STATIVE
I think,think,I,STATIVE
when used properly,used,,DYNAMIC
they can be terrific.,be,they,STATIVE
What do I mean by used properly?,mean,I,CANNOT_DECIDE
As a reward for people who have engaged with the brand in a meaningful way.,engaged,people,DYNAMIC
"Send us a picture of you wearing a brand t-shirt and sure,",Send,you,CANNOT_DECIDE
you've earned a free sandwich.,earned,you,DYNAMIC
Recruit some friends and I'm happy to give you all some coupons.,Recruit,,CANNOT_DECIDE
But when fans enter the relationship feeling,enter,fans,DYNAMIC
they are entitled to free samples,entitled,they,STATIVE
and you're in trouble.,'re,they,STATIVE
"Kathy Sharpe says: April 18, 2010 at 1:02 pm",says,Sharpe,DYNAMIC
About time there was some acknowledgement of the true value of fans.,was,acknowledgement,STATIVE
Even if you have 3 million+ fans,have,value,STATIVE
and they are all well behaved citizens,are,they,STATIVE
what is the real marketing value?,is,have,CANNOT_DECIDE
