Clause,mainVerb,mainReferent,Gold
Ohio Congressman Arrives in Jordan,,,DYNAMIC
"AMMAN, Jordan (AP)",,,CANNOT_DECIDE
"U.S. Representative Tony Hall arrived in Jordan on Saturday en route to Iraq,",arrived,Arrives,DYNAMIC
where he is expected to look into the plight of Iraqis after nearly 10 years of U.N. trade sanctions.,expected,he,STATIVE
"Hall, an Ohio Democrat and one of very few U.S. congressmen to visit Iraq since the 1991 Gulf War over Kuwait, is scheduled to embark Sunday the 12-hour overland trip to the Iraqi capital, Baghdad.",scheduled,Hall,STATIVE
"He did not speak to reporters in Jordan,",speak,He,DYNAMIC
but he told The Associated Press before leaving the United States,told,He,DYNAMIC
"that he hopes to ""separate the humanitarian work from the political issues.""",hopes,he,STATIVE
"During his four days in Iraq, Hall said",said,Hall,DYNAMIC
he wanted to investigate reports from relief agencies,wanted,he,STATIVE
that a quarter of Iraqi children may be suffering from chronic malnutrition.,suffering,quarter,STATIVE
He said,said,He,DYNAMIC
he would pay particular attention to what happens to food and medicine,pay,he,DYNAMIC
entering the country under the U.N. oil-for-food program.,entering,food,DYNAMIC
If supplies are not reaching the people,reaching,supplies,DYNAMIC
"who need them,",need,people,STATIVE
"Hall said,",said,Hall,DYNAMIC
he wanted to find out,wanted,he,STATIVE
"whether the United Nations or relief agencies needed to handle things differently,",needed,agencies,STATIVE
"or whether ""Iraq needs to get out of the way",needs,Nations,STATIVE
"and let us do the job.""",let,Iraq,CANNOT_DECIDE
"The Iraqi government blames the embargo for the malnutrition, infant mortality and other hardships.",blames,government,DYNAMIC
The sanctions cannot be lifted,lifted,sanctions,DYNAMIC
until U.N. inspectors certify,certify,inspectors,DYNAMIC
that Iraq has eliminated its weapons of mass destruction and the means to produce them.,eliminated,Iraq,DYNAMIC
Iraq says,says,Iraq,DYNAMIC
it has done so,done,it,DYNAMIC
and has barred inspectors since late 1998.,barred,it,DYNAMIC
At least one other congressman has visited Iraq.,visited,congressman,DYNAMIC
Energy Secretary Bill Richardson went to Baghdad in 1995 while a representative for New Mexico.,went,Richardson,DYNAMIC
