Clause,mainVerb,mainReferent,Gold
"Sir Joseph Wilson Swan, D.Sc.",,,CANNOT_DECIDE
"h.c., FRS (31 October 1828  27 May 1914)",–,October,CANNOT_DECIDE
was a British physicist and chemist.,was,Swan,STATIVE
He is most famous for inventing an incandescent light bulb.,is,He,STATIVE
"Swan first demonstrated the light bulb at a lecture in Newcastle upon Tyne on 18 December 1878,",demonstrated,Swan,DYNAMIC
but he did not receive a patent until 27 November 1880,receive,Swan,DYNAMIC
(patent No. 4933) after improvement to the original lamp.,,,CANNOT_DECIDE
"His house (in Gateshead, England)",,,CANNOT_DECIDE
"was the first in the world to be lit by lightbulb,",was,house,STATIVE
and the world's first electric-light illumination in a public building was for a lecture Swan,was,house,STATIVE
gave in 1880.,gave,Swan,DYNAMIC
"In 1881, the Savoy Theatre in the City of Westminster, London, was lit by Swan incandescent lightbulbs, the first theatre and the first public building in the world to be lit entirely by electricity.",lit,Theatre,DYNAMIC
"In 1904 Swan was knighted by King Edward VII,",knighted,Swan,DYNAMIC
"awarded the Royal Society's Hughes Medal,",awarded,knighted,DYNAMIC
and was made an honorary member of the Pharmaceutical Society.,made,Swan,DYNAMIC
"He had already received the highest decoration in France, the Lgion d'honneur,",received,He,DYNAMIC
when he visited an international exhibition in Paris in 1881.,visited,he,DYNAMIC
"The exhibition included exhibits of his inventions,",included,exhibition,STATIVE
"and the city was lit with electric light, thanks to Swan's invention.",lit,exhibition,STATIVE
==Early life==,,,CANNOT_DECIDE
"Joseph Wilson Swan was born in 1828 at Pallion Hall in Pallion in the Parish of Bishopwearmouth, Sunderland, Tyne and Wear.",born,,DYNAMIC
His parents were John Swan and Isabella Cameron.,were,parents,STATIVE
"Davidson, Michael W. and The Florida State University.",,,CANNOT_DECIDE
"""Molecular expressionsTM.",,,CANNOT_DECIDE
"Science, optics and you.",,,CANNOT_DECIDE
Pioneers in optics.,Pioneers,,CANNOT_DECIDE
"Joseph Swan (18281914).""",Swan,Joseph,CANNOT_DECIDE
Last modification 26 February 2004.,26,modification,CANNOT_DECIDE
Retrieved 16 November 2009 He was said to have had an enquiring mind even as a child.,said,He,DYNAMIC
"He augmented his education with a fascination of his surroundings, the industry of the area and reading.",augmented,He,DYNAMIC
He attended,attended,He,DYNAMIC
lectures at the Sunderland Atheneum.,,,CANNOT_DECIDE
"He later became a partner in Mawson's, a firm of manufacturing chemists in Newcastle upon Tyne,",became,He,DYNAMIC
"started by John Mawson (9 Sep 1819  17 December 1867) the husband of his sister, Elizabeth Swan (22 Nov 1822  2 August 1905).",started,husband,DYNAMIC
"This company existed as Mawson, Swan and Morgan until 1973,",existed,company,STATIVE
formerly located on Grey Street in Newcastle upon Tyne near Grey's Monument.,located,,STATIVE
The premises are now owned by the Swedish fashion retailer H&M,owned,premises,STATIVE
and can be identified by a line of Victorian-style electric street lamps in front of the store on Grey Street.,identified,premises,DYNAMIC
"Swan lived at Underhill, a large house on Kells Lane North, Low Fell, Gateshead,",lived,Swan,STATIVE
where he conducted most of his experiments in the large conservatory.,conducted,he,DYNAMIC
"The house was later converted into a private fee paying, grant aided co-educational grammar school",converted,house,DYNAMIC
named Beaconsfield School.,named,school,STATIVE
"Here, students could still find examples of Swan's original electrical fittings.",find,students,DYNAMIC
==Electric light==,,,CANNOT_DECIDE
In 1850 Swan began working on a light bulb,began,=,DYNAMIC
using carbonised paper filaments in an evacuated glass bulb.,using,bulb,DYNAMIC
"By 1860 he was able to demonstrate a working device,",was,he,STATIVE
and obtained a British patent,obtained,he,DYNAMIC
"covering a partial vacuum, carbon filament incandescent lamp.",covering,patent,STATIVE
