Clause,mainVerb,mainReferent,Gold
The Mursi (or Mun,Mun,,CANNOT_DECIDE
as they refer to themselves),refer,they,STATIVE
are a Nilotic pastoralist ethnic group,are,Mursi,STATIVE
that inhabits southwestern Ethiopia.,inhabits,group,STATIVE
"They principally reside in the Debub Omo Zone of the Southern Nations, Nationalities, and People's Region, close to the border with South Sudan.",reside,They,STATIVE
"According to the 2007 national census, there are 7,500 Mursi,",According,,STATIVE
448 of whom live in urban areas;,live,448,STATIVE
"of the total number, 92.25% live in the Southern Nations, Nationalities, and People's Region (SNNPR).",live,%,STATIVE
"Surrounded by mountains between the Omo River and its tributary the Mago,",Surrounded,home,STATIVE
the home of the Mursi is one of the most isolated regions of the country.,is,home,STATIVE
"Their neighbors include the Aari, the Banna, the Bodi, the Kara, the Kwegu, the Nyangatom and the Suri.",include,neighbors,STATIVE
They are grouped together with the Me'en and Suri by the Ethiopian government under the name Surma.,grouped,They,STATIVE
==Language==,,,CANNOT_DECIDE
The Mursi speak the Mursi language as a mother tongue.,speak,Mursi,STATIVE
"It is classified as Surmic,",classified,It,STATIVE
which is a branch of the Nilo-Saharan language family.,is,Surmic,STATIVE
"Mursi is closely related (over 80% cognate) to Me'en and Suri, as well as Kwegu.",related,Mursi,STATIVE
"According to the 1994 national census, there were 3,163 people",According,,STATIVE
who were identified as Mursi in the SNNPR;,identified,people,DYNAMIC
"3,158 spoke Mursi as their first language,",spoke,"3,158",STATIVE
while 31 spoke it as their second language.,spoke,31,STATIVE
"According to the analytical volume of the 1994 national census,",According,,STATIVE
"where Mursi was grouped under Me'en,",grouped,Mursi,STATIVE
"89.7% were monolingual,",were,%,STATIVE
and the second languages spoken,spoken,languages,CANNOT_DECIDE
were Bench,were,languages,STATIVE
"(4.2%), Amharic, the official language of Ethiopia (3.5%), and Kafa (1.1%).",,,CANNOT_DECIDE
"Two orthographies for the Mursi language exist, one Amharic-based and the other Latin-based.",exist,orthographies,STATIVE
The former was developed by members of the missionary organization,developed,former,DYNAMIC
"Serving In Mission,",Serving,organization,CANNOT_DECIDE
who have worked amongst the Mursi at Maki since 1987.,worked,organization,DYNAMIC
The Latin-based orthography was developed by Moges Yigezu of Addis Ababa University.,developed,orthography,DYNAMIC
== Religion and culture ==,,,CANNOT_DECIDE
"Like many agro-pastoralists in East Africa, the Mursi experience a force greater than themselves,",experience,Mursi,DYNAMIC
which they call Tumwi.,call,they,DYNAMIC
"This is usually located in the Sky,",located,This,STATIVE
"although sometimes Tumwi manifests itself as a thing of the sky (ahi a tumwin), such as a rainbow or a bird.",manifests,Tumwi,DYNAMIC
"The principal religious and ritual office in the society is that of Kmoru, or Priest.",is,religious,STATIVE
"This is an inherited office, unlike the more informal political role of the Jalaba.",is,This,STATIVE
The Priest embodies in his person the well-being of the group as a whole,embodies,Priest,STATIVE
"and acts as a means of communication between the community and God (Tumwi),",acts,Priest,DYNAMIC
"especially when it is threatened by such events as drought, crop pests and disease.",threatened,it,DYNAMIC
"His role is characterized by the performance of public rituals to bring rain, to protect men, cattle and crops from disease, to ward off threatened attacks from other tribes, to safeguard the fertility of the soil, of men and of the cattle.",characterized,role,STATIVE
"Ideally, in order to preserve this link between the people and God,",preserve,,CANNOT_DECIDE
the Priest should not leave Mursiland or even his local group (bhuran).,leave,Priest,DYNAMIC
"One clan in particular, Komort, is considered to be, par excellence, the priestly clan,",considered,clan,STATIVE
"but there are priestly families in two other clans, namely Garikuli and Bumai.",are,clan,STATIVE
"The religion of the Mursi people is classified as Animism,",classified,religion,STATIVE
"although there is a Serving in Mission Station in the northeastern corner of Mursiland,",is,Serving,STATIVE
"which provides education, basic medical care and instruction in Christianity.",provides,Mursiland,DYNAMIC
==Life Cycles==,,,CANNOT_DECIDE
"The Mursi undergo various rites of passage, educational or disciplinary processes.",undergo,Mursi,DYNAMIC
"Lip plates are a well known aspect of the Mursi and Surma,",are,plates,STATIVE
who are probably the last groups in Africa,are,groups,STATIVE
"amongst whom it is still the norm for women to wear large pottery or wooden discs, or plates,",is,it,STATIVE
 in their lower lips.,’,aspect,CANNOT_DECIDE
Girls' lips are pierced at the age of 15 or 16.,pierced,lips,DYNAMIC
"Occasionally lip plates are worn to a dance by unmarried women,",worn,plates,DYNAMIC
and increasingly they are worn to attract tourists,worn,plates,DYNAMIC
in order to earn some extra money.,earn,,CANNOT_DECIDE
"Similar body ornaments are worn by both sexes of the Suy people, a Brazilian tribe, and by men among the Kayapo.",worn,ornaments,STATIVE
"Ceremonial duelling (thagine), a form",,,CANNOT_DECIDE
"of ritualised male violence, is a highly valued and popular activity of Mursi men, especially unmarried men, and a key marker of Mursi identity.",is,duelling,STATIVE
