Clause,mainVerb,mainReferent,Gold
Dublin and the Dubliners,,,CANNOT_DECIDE
"As capital of Europes most explosive economy, Dublin seems to be changing before your very eyes.",seems,Dublin,STATIVE
"New construction is everywhere,",is,construction,STATIVE
"the streets buzz, traffic is increasingly congested,",is,buzz,DYNAMIC
and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else.,seems,construction,STATIVE
At night the streets are crowded with people bent on having a good time.,crowded,streets,STATIVE
Prosperity is in the air;,is,Prosperity,STATIVE
the roar of the Celtic Tiger can clearly be heard.,heard,roar,DYNAMIC
But this is not the whole picture.,is,this,STATIVE
The proverbial hospitality and warm welcome are still here.,are,hospitality,STATIVE
"This busy, modern European city sits on a thousand years of historyhistory is present everywhere, from elegant Merrion Square to the bullet holes on the General Post Office.",sits,city,STATIVE
"Its also a city of the imagination, reinvented and reappraised in the literature of its exiles.",’s,It,STATIVE
"And the old Dublin is with us, toothe irreverent city of wit and charm and that peculiar magic",is,Dublin,STATIVE
possessed by Ireland and the Irish.,possessed,us,STATIVE
Prosperity has brought with it a new emphasis on historic preservation.,brought,Prosperity,DYNAMIC
Dublin excels in packaging its past for the visitor.,excels,Dublin,DYNAMIC
"You can view artifacts from the Bronze Age,",view,You,DYNAMIC
"trace the history of the Easter Rising,",trace,You,DYNAMIC
or revisit Leopold Blooms odyssey in Ulysses.,revisit,You,DYNAMIC
Old buildings are being recycled;,recycled,buildings,DYNAMIC
"for example, the 17th-century Royal Hospital now holds the Museum of Modern Art.",holds,Hospital,STATIVE
"And Dublin, a city large in expectations, is still small enough for the visitor to see most of its sights on foot.",is,Dublin,STATIVE
City on the Liffey,,,CANNOT_DECIDE
The River Liffey flows from west to east through the center of the city to Dublin Bay.,flows,City,STATIVE
The river forms a natural line between the north and south sections of the city.,forms,river,STATIVE
This geography is important in understanding Dublin.,is,geography,STATIVE
"Historically and culturally this north-south distinction has always been significant,",been,Historically,STATIVE
"and it still is today, with a dose of good-humored rivalry between the two areas.",is,it,STATIVE
" I never go north of the Liffey, one man remarked.",remarked,man,DYNAMIC
"Farther out, both north and south, are the sweeping curves of the Royal and Grand Canals.",are,curves,STATIVE
The occasional cry of gulls and unexpected distant vistas will remind you,remind,cry,DYNAMIC
"that Dublin is by the sea,",is,Dublin,STATIVE
"and the Wicklow mountains, which hold Dublin closely to the coast,",hold,mountains,STATIVE
are visible from everywhere.,are,mountains,STATIVE
"Dublin is an intimate city, physically small but tightly packed, a perfect place for walking.",is,Dublin,STATIVE
"College Green, the home of Trinity College, provides a natural focus just south of the OConnell Street bridge.",provides,Green,DYNAMIC
"OConnell Street, the citys grand boulevard, leads north to Parnell Square.",leads,Street,STATIVE
To the south and east is St. Stephens Green and Georgian Dublin,is,Green,STATIVE
where the national museums are located.,located,museums,STATIVE
"Along the Liffey to the west is Temple Bar, center of nightlife and home to many of Dublins cutting-edge artists and artistic endeavors.",is,Bar,STATIVE
Up the hill from Temple Bar are Dublin Castle and Christ Church Cathedral.,are,Castle,STATIVE
It wont rain on you in Dublin all the time.,n’t,It,STATIVE
The climate here can best be described,described,climate,DYNAMIC
"as changeable and yet the sudden shifts from light to dark, sunshine to shower, are part of the citys magic.",are,shifts,STATIVE
Buildings seem to transform themselves depending on the light;,seem,Buildings,STATIVE
Dublin under a lowering sky is a different place from Dublin in sunshine.,is,Dublin,STATIVE
Enjoying Dublin,,,CANNOT_DECIDE
"Literature has always flourished in Dublin, the only city to have produced three Nobel Prize winners for literatureYeats, Shaw, and Beckett.",flourished,Literature,DYNAMIC
"Joyce, the high priest of literary Modernism, imagined and interpreted Dublin for the world in Ulysses",imagined,Joyce,DYNAMIC
(youll see references to it all over).,’ll,you,DYNAMIC
"However, sometimes it seems",seems,it,STATIVE
"that the city produced artists of this stature by accident, even against its will.",produced,city,DYNAMIC
