Clause,mainVerb,mainReferent,Gold
"The flutina is an early precursor to the diatonic button accordion,",is,flutina,STATIVE
"having one or two rows of treble buttons,",having,precursor,STATIVE
"which are configured to have the tonic of the scale, on the ""draw"" of the bellows.",are,buttons,STATIVE
There is usually no bass keyboard:,is,keyboard,STATIVE
the left hand operates an air valve (silent except for the rush of air).,operates,hand,DYNAMIC
"A rocker switch, called a ""bascule d'harmonie"" is in the front of the keyboard.",is,switch,STATIVE
"When this switch is thumb activated,",is,switch,DYNAMIC
it would open up a pallet,open,it,DYNAMIC
"(a pad that covers a tone hole, at the other end of the key button",covers,pad,STATIVE
"(s), (see photo) for a simple Tonic/Dominant drone:",see,,CANNOT_DECIDE
"Tonic on the draw and Dominant on the press, e.g. Tonic notes C/g, and Dominant G/d, without any major or minor thirds.",,,CANNOT_DECIDE
"Many of these ""Flutina"" accordions were imported into the United States",imported,Many,DYNAMIC
and were common photographers' studio props.,were,,STATIVE
"This imparted a touch of ""culture"" to the sitter, hence the many tintype, ambrotype, etc. images of men and women, with their hands poised over ""Flutinas"",",imparted,This,DYNAMIC
which they may (or may not) have actually played.,played,they,DYNAMIC
Many of the images date from the 1850s through the American Civil War period (18611865).,date,Many,STATIVE
"The internal construction of the flutina resembles the English Wheatstone concertina more than the ""reed banks""",resembles,construction,STATIVE
used in regular accordion construction.,used,banks,DYNAMIC
"Thus, it has a concertina-like sound.",has,it,STATIVE
"Underneath the pallet/keyboard face, there is a rectangular, wooden board, reed pan, with reed chambers,",is,board,STATIVE
"made with airtight, leather covered, thin wooden dividers.",made,chambers,DYNAMIC
"These dividers are between the reeds, for the diatonic scale notes.",are,dividers,STATIVE
"The brass reed tongues are mounted on reed shoes,",mounted,tongues,DYNAMIC
with each tongue nailed on with a single metal pin.,nailed,tongue,DYNAMIC
These reed shoes (or frames) are inserted into dovetail-shaped slots into the top side of the pan.,inserted,shoes,DYNAMIC
"If the keyboard has two rows of keys,",has,keyboard,STATIVE
"the outside row plays the diatonic scale,",plays,row,DYNAMIC
"while the inside row plays the sharps and flats,",plays,row,DYNAMIC
"and these chromatic reeds face the interior of the bellows, in dovetailed slots on the backside of the pan board, without any dividers.",face,row,STATIVE
"The face of the pallet/keyboard actually slides out to reveal the inset reed pan, reminiscent of the construction of a pencil box, or a Japanese puzzle box.",slides,face,DYNAMIC
"The accordion bellows has a very short ""throw"" (the maximum extension of the bellows,",has,bellows,STATIVE
"when drawn out), with most instruments having only four folds.",drawn,,STATIVE
Larger versions had 5 to 7 folds in the bellows.,had,versions,STATIVE
The use of the 4 fold,,,CANNOT_DECIDE
bellows made the duration of the note,made,use,DYNAMIC
"played very short, and the volume of the note comparatively soft, in contrast to the later ""German"" style accordions, with their larger, multi-fold bellows.",played,note,DYNAMIC
"== The name ""flutina"" ==",,,CANNOT_DECIDE
"The term ""flutina"" is actually a more specific English name for a version of the accordon diatonique, accordon mlodique, clavier (keyboard) mlodique, or even accordon romantique.",is,flutina,STATIVE
"Instrument makers of the 19th century often invented many distinct names for all these ""new"" versions of the same instrument.",invented,makers,DYNAMIC
"In addition, English musical instrument dealers",,,CANNOT_DECIDE
"would switch the brass reeds out of the French instruments,",switch,dealers,DYNAMIC
and replace them with steel reeds.,replace,dealers,DYNAMIC
"Then, these English dealers",,,CANNOT_DECIDE
"would stamp their own company name inside the instrument, or the stamp of the specific store",stamp,dealers,DYNAMIC
that was selling the accordion.,selling,store,DYNAMIC
This was a common practice,was,This,STATIVE
"in the 19th century and has continued to be used by many reputable, as well as disreputable,",continued,practice,DYNAMIC
musical instrument dealers.,,,CANNOT_DECIDE
"All these names, which the French makers gave these instruments,",gave,makers,DYNAMIC
"have the pallets on the outside,",have,names,STATIVE
"but the name ""Flutina"" implies an accordion with the pallets",implies,names,STATIVE
"opening on the interior side of the face, just above the buttons, and the air exiting from a narrow slot in back of the protruding keyboard.",exiting,Flutina,DYNAMIC
"This feature was supposed to give a more ""flute-like"" tone to the reeds.",supposed,feature,STATIVE
"Whether the French makers ever used the name ""Flutina"" is not known.",known,used,STATIVE
==History==,,,CANNOT_DECIDE
"The earliest version was known as the Clavier Melodique (""melodious keyboard""), circa 1831.",known,=,STATIVE
It was made by Pichenot Jeune,made,It,DYNAMIC
