Clause,mainVerb,mainReferent,Gold
Yodeling (also yodelling or jodeling),Yodeling,form,CANNOT_DECIDE
is a form of singing,is,,STATIVE
which involves repeated changes of pitch during a single note.,involves,form,STATIVE
The singer quickly switches between the low-pitch chest register,switches,singer,DYNAMIC
"(or ""chest voice"") and the high-pitch head register or falsetto.",,,CANNOT_DECIDE
The English word yodel is derived from the German,derived,yodel,STATIVE
"(and originally Austro-Bavarian) word jodeln, meaning",meaning,jodeln,STATIVE
"""to utter the syllable jo"" (pronounced ""yo"" in English).",utter,,DYNAMIC
This vocal technique is used in many cultures worldwide.,used,technique,DYNAMIC
"Alpine yodeling was a longtime rural tradition in Europe,",was,yodeling,STATIVE
and became popular in the 1830s as an entertainment in theaters and music halls.,became,tradition,DYNAMIC
"In Central Africa, yodeling was a form",was,yodeling,STATIVE
of communication announcing the yodeler's location and identity.,announcing,form,DYNAMIC
"In the United States, traveling minstrels were yodeling in the 1800s, and in 1920",were,minstrels,DYNAMIC
the Victor recording company listed 17 yodels in their catalogue.,listed,minstrels,DYNAMIC
Music historians credit the first country recording to include yodeling to Riley Puckett in 1924.,credit,historians,STATIVE
"In 1928, blending Alpine yodeling with traditional work, blues, hobo, and cowboy music, Jimmie Rodgers released his recording ""Blue Yodel No. 1"".",released,Rodgers,DYNAMIC
Rodger's Blue Yodel created an instant national craze for yodeling in the United States,created,Yodel,DYNAMIC
"and, according to a black musician",according,,STATIVE
"who lived near Rodgers in Mississippi, everyone, both black and white alike,",lived,musician,STATIVE
began to copy Rodgers.,began,Yodel,DYNAMIC
"The popularity lasted through the 1940s,",lasted,popularity,DYNAMIC
but by the 1950s it became rare to hear yodeling in Country or Western music.,became,popularity,DYNAMIC
==History==,,,CANNOT_DECIDE
Most experts agree,agree,experts,STATIVE
that yodeling was used in the Central Alps by herders calling their stock,used,yodeling,DYNAMIC
or to communicate between Alpine villages.,communicate,,CANNOT_DECIDE
"The multi-pitched ""yelling"" later became part of the region's traditional lore and musical expression.",became,yelling,DYNAMIC
"The earliest record of a yodel is in 1545,",is,record,STATIVE
"where it is described as ""the call of a cowherd from Appenzell"".",described,it,STATIVE
"In Persian classical music, singers frequently use tahrir",use,singers,DYNAMIC
"(""tremolo"" in English), a yodeling technique that oscillates on neighbor tones.",oscillates,technique,DYNAMIC
"It is similar to the Swiss yodel,",is,It,STATIVE
and is used as an ornament or trill in phrases,used,It,DYNAMIC
"which have long syllables,",syllables,phrases,STATIVE
and usually falls at the end of a phrase.,falls,It,DYNAMIC
"Tahrir is also prevalent in Azerbaijani, Bulgarian, Macedonian, Turkish, Armenian, Afghan, and Central Asian musical traditions, and to a lesser extent in Pakistani and some Indian music.",is,Tahrir,STATIVE
"In Georgian traditional music, yodeling takes the form of krimanchuli technique,",takes,yodeling,STATIVE
and is used as a top part in three/four part polyphony.,used,yodeling,DYNAMIC
"In Central Africa Pygmy singers use yodels within their elaborate polyphonic singing,",use,singers,DYNAMIC
and the Shona people of Zimbabwe sometimes yodel,yodel,singers,DYNAMIC
while playing the mbira.,playing,,DYNAMIC
The Mbuti of the Congo incorporate distinctive whistles and yodels,incorporate,Mbuti,DYNAMIC
into their songs.,,,CANNOT_DECIDE
"Living from hunting and gathering,",Living,they,STATIVE
they sing hunting and harvest songs,sing,they,DYNAMIC
and use yodelling to call each other.,use,they,DYNAMIC
"In 1952, ethnomusicologist Hugh Tracey recorded their songs",recorded,Tracey,DYNAMIC
and they have been released on compact discs.,released,Tracey,DYNAMIC
British stage performances by yodelers were common in the nineteenth century.,were,performances,STATIVE
"Sir Walter Scott wrote in his June 4, 1830, journal entry",wrote,Scott,DYNAMIC
"that ""Anne wants me to go hear the Tyrolese Minstrels",wants,Anne,STATIVE
"but...I cannot but think their yodeling...is a variation upon the tones of a jackass.""",think,I,STATIVE
==Technique==,,,CANNOT_DECIDE
"Human voices have at least two distinct vocal registers,",have,Technique,STATIVE
"called the ""head"" and ""chest"" voices.",called,registers,STATIVE
Most people can sing tones within a certain range of lower pitches in their chest voice and tones within a certain range of higher pitch in their head voice.,sing,people,DYNAMIC
"Falsetto is an ""unsupported"" register",is,Falsetto,STATIVE
forcing vocal cords in a higher pitch without any head or chest voice air support.,forcing,register,DYNAMIC
"The range of overlap between registers,",,,CANNOT_DECIDE
"called the passaggio, can be challenging for untrained singers.",be,range,STATIVE
"Experienced singers can control their voices in this range,",control,singers,DYNAMIC
easily switching between registers.,switching,singers,DYNAMIC
Yodeling is a version of this technique,is,Yodeling,STATIVE
in which a singer might change register several times in only a few seconds and at a high volume.,change,singer,DYNAMIC
Repeated alternation between registers at a singer's passaggio pitch range produces a very distinctive sound.,produces,alternation,DYNAMIC
