Clause,mainVerb,mainReferent,Gold
CONCLUSIONS OF THE FINANCIAL CRISIS INQUIRY COMMISSION,,,CANNOT_DECIDE
The Financial Crisis Inquiry Commission has been called upon to examine the financial and economic crisis,called,CONCLUSIONS,DYNAMIC
that has gripped our country,gripped,crisis,DYNAMIC
and explain its causes to the American people.,explain,CONCLUSIONS,CANNOT_DECIDE
"We are keenly aware of the significance of our charge,",are,We,STATIVE
given the economic damage,given,significance,STATIVE
that America has suffered in the wake of the greatest financial crisis since the Great Depression.,suffered,damage,DYNAMIC
Our task was first to determine,was,task,STATIVE
what happened,happened,determine,DYNAMIC
and how it happened,happened,what,DYNAMIC
so that we could understand,understand,we,STATIVE
why it happened.,happened,it,DYNAMIC
Here we present our conclusions.,present,we,DYNAMIC
We encourage the American people to join us in making their own assessments based on the evidence,encourage,We,DYNAMIC
gathered in our inquiry.,gathered,evidence,STATIVE
"If we do not learn from history,",learn,we,DYNAMIC
we are unlikely to fully recover from it.,are,we,STATIVE
"Some on Wall Street and in Washington with a stake in the status quo may be tempted to wipe from memory the events of this crisis,",tempted,Some,STATIVE
or to suggest,suggest,,CANNOT_DECIDE
that no one could have foreseen or prevented them.,foreseen,one,DYNAMIC
"This report endeavors to expose the facts,",endeavors,report,STATIVE
"identify responsibility,",identify,report,CANNOT_DECIDE
"unravel myths,",unravel,report,CANNOT_DECIDE
and help us understand,help,report,CANNOT_DECIDE
how the crisis could have been avoided.,avoided,crisis,DYNAMIC
"It is an attempt to record history,",is,record,STATIVE
"not to rewrite it,",rewrite,record,CANNOT_DECIDE
nor allow it to be rewritten.,allow,record,CANNOT_DECIDE
"To help our fellow citizens better understand this crisis and its causes,",help,,CANNOT_DECIDE
"we also present specific conclusions at the end of chapters in Parts III, IV, and V of this report.",present,we,STATIVE
The subject of this report is of no small consequence to this nation.,is,subject,STATIVE
The profound events of 2007 and 2008 were neither bumps in the road nor an accentuated dip in the financial and business cycles,were,events,STATIVE
we have come to expect in a free market economic system.,come,we,DYNAMIC
"This was a fundamental disruptiona financial upheaval,",was,This,STATIVE
if you willthat wreaked havoc in communities and neighborhoods across this country.,—,you,DYNAMIC
"As this report goes to print, there are more than 26 million Americans",are,Americans,STATIVE
"who are out of work,",are,Americans,STATIVE
"cannot find full-time work,",find,Americans,DYNAMIC
or have given up looking for work.,given,Americans,DYNAMIC
About four million families have lost their homes to foreclosure,lost,families,DYNAMIC
and another four and a half million have slipped into the foreclosure process,slipped,families,DYNAMIC
or are seriously behind on their mortgage payments.,are,four,STATIVE
"Nearly $11 trillion in household wealth has vanished,",vanished,$,DYNAMIC
with retirement accounts and life savings swept away.,swept,savings,STATIVE
"Businesses, large and small, have felt the sting of a deep recession.",felt,Businesses,DYNAMIC
"There is much anger about what has transpired, and justifiably so.",is,so,STATIVE
Many people who abided by all the rules now find themselves out of work and uncertain about their future prospects.,find,people,STATIVE
The collateral damage of this crisis has been real people and real communities.,been,damage,STATIVE
The impacts of this crisis are likely to be felt for a generation.,are,impacts,STATIVE
And the nation faces no easy path to renewed economic strength.,faces,nation,STATIVE
"Like so many Americans, we began our exploration with our own views and some preliminary knowledge about how the worlds strongest financial system came to the brink of collapse.",began,we,DYNAMIC
"Even at the time of our appointment to this independent panel, much had already been written and said about the crisis.",written,much,DYNAMIC
Yet all of us have been deeply affected by what we have learned in the course of our inquiry.,affected,all,DYNAMIC
We have been at various times,been,We,STATIVE
"fascinated, surprised,",fascinated,times,CANNOT_DECIDE
"and even shocked by what we saw, heard,",saw,we,DYNAMIC
and read.,read,fascinated,DYNAMIC
Ours has been a journey of revelation.,been,Ours,STATIVE
Much attention over the past two years has been focused on the decisions by the federal government to provide massive financial assistance to stabilize the financial system,focused,attention,STATIVE
and rescue large financial institutions,rescue,attention,CANNOT_DECIDE
that were deemed too systemically important to fail.,deemed,institutions,STATIVE
Those decisionsand,—,decisions,CANNOT_DECIDE
the deep emotions surrounding themwill be debated long into the future.,debated,decisions,DYNAMIC
But our mission was to ask and answer this central question: how did it come to pass,was,mission,STATIVE
that in 2008 our nation was forced to choose between two stark and painful alternativeseither risk the total collapse of our financial system and economy,forced,nation,DYNAMIC
"or inject trillions of taxpayer dollars into the financial system and an array of companies, as millions of Americans",inject,,CANNOT_DECIDE
"still lost their jobs, their savings, and their homes?",lost,millions,DYNAMIC
"In this report, we detail the events of the crisis.",detail,we,STATIVE
"But a simple summary, as we see it, is useful at the outset.",is,see,STATIVE
While the vulnerabilities that created the potential,created,vulnerabilities,DYNAMIC
"for crisis were years in the making,",were,vulnerabilities,STATIVE
it was the collapse of the housing,was,it,STATIVE
"bubblefueled by low interest rates, easy and available credit, scant regulation, and toxic mortgages",fueled,—,STATIVE
that was the spark,was,collapse,STATIVE
"that ignited a string of events,",ignited,spark,DYNAMIC
which led to a full-blown crisis in the fall of 2008.,led,events,DYNAMIC
"Trillions of dollars in risky mortgages had become embedded throughout the financial system,",become,Trillions,DYNAMIC
"as mortgage-related securities were packaged, repackaged,",packaged,securities,DYNAMIC
and sold to investors around the world.,sold,securities,DYNAMIC
"When the bubble burst, hundreds of billions of dollars in losses in mortgages and mortgage-related securities shook markets as well as financial institutions",shook,hundreds,DYNAMIC
that had significant exposures to those mortgages,had,institutions,STATIVE
and had borrowed heavily against them.,borrowed,institutions,DYNAMIC
This happened not just in the United States but around the world.,happened,This,DYNAMIC
The losses were magnified by derivatives such as synthetic securities.,magnified,losses,DYNAMIC
The crisis reached seismic proportions in September 2008 with the failure of Lehman Brothers and the impending collapse of the insurance giant American International Group (AIG).,reached,crisis,DYNAMIC
"Panic fanned by a lack of transparency of the balance sheets of major financial institutions, coupled with a tangle of interconnections among institutions",fanned,Panic,STATIVE
"perceived to be too big to fail,",perceived,institutions,STATIVE
 caused the credit markets to seize up.,caused,”,DYNAMIC
Trading ground to a halt.,Trading,,DYNAMIC
The stock market plummeted.,plummeted,market,DYNAMIC
The economy plunged into a deep recession.,plunged,economy,DYNAMIC
The financial system we examined bears little resemblance to that of our parents generation.,bears,system,STATIVE
The changes in the past three decades alone have been remarkable.,been,changes,STATIVE
The financial markets have become increasingly globalized.,become,markets,DYNAMIC
"Technology has transformed the efficiency, speed, and complexity of financial instruments and transactions.",transformed,Technology,DYNAMIC
There is broader access to and lower costs of financing than ever before.,is,access,STATIVE
And the financial sector itself has become a much more dominant force in our economy.,become,sector,DYNAMIC
"From 1978 to 2007, the amount of debt held by the financial sector soared from $3 trillion to $36 trillion,",soared,amount,DYNAMIC
more than doubling as a share of gross domestic product.,doubling,,DYNAMIC
The very nature of many Wall Street firms changedfrom relatively staid private partnerships to publicly traded corporations,changed,nature,DYNAMIC
taking greater and more diverse kinds of risks.,taking,,DYNAMIC
"By 2005, the 10 largest U.S. commercial banks held 55% of the industrys assets, more than double the level",double,than,STATIVE
held in 1990.,held,banks,STATIVE
"On the eve of the crisis in 2006, financial sector profits constituted 27% of all corporate profits in the United States, up from 15% in 1980.",constituted,profits,STATIVE
Understanding this transformation has been critical to the Commissions analysis.,been,Understanding,STATIVE
"Now to our major findings and conclusions, which are based on the facts",are,,STATIVE
contained in this report:,contained,facts,STATIVE
they are offered with the hope,offered,Now,DYNAMIC
that lessons may be learned to help avoid future catastrophe.,learned,lessons,DYNAMIC
We conclude,conclude,We,DYNAMIC
this financial crisis was avoidable.,was,,STATIVE
"The crisis was the result of human action and inaction, not of Mother Nature or computer models gone haywire.",was,crisis,STATIVE
The captains of finance and the public stewards of our financial system ignored warnings,ignored,captains,DYNAMIC
"and failed to question, understand,",failed,captains,DYNAMIC
and manage evolving risks within a system essential to the well-being of the American public.,manage,captains,DYNAMIC
"Theirs was a big miss, not a stumble.",was,Theirs,STATIVE
"While the business cycle cannot be repealed, a crisis",repealed,cycle,DYNAMIC
of this magnitude need not have occurred.,occurred,crisis,DYNAMIC
"To paraphrase Shakespeare, the fault lies not in the stars, but in us.",lies,fault,STATIVE
Despite the expressed view of many on Wall Street and in Washington,,,DYNAMIC
"that the crisis could not have been foreseen or avoided, there were warning signs.",warning,signs,DYNAMIC
The tragedy was that they were ignored or discounted.,was,tragedy,STATIVE
"There was an explosion in risky subprime lending and securitization, an unsustainable rise in housing prices, widespread reports of egregious and predatory lending practices, dramatic increases in household mortgage debt, and exponential growth in financial firms trading activities, unregulated derivatives, and short-term repo lending markets, among many other red flags.",was,explosion,STATIVE
Yet there was pervasive permissiveness;,was,,STATIVE
little meaningful action was taken to quell the threats in a timely manner.,taken,action,DYNAMIC
"The prime example is the Federal Reserves pivotal failure to stem the flow of toxic mortgages,",is,example,STATIVE
which it could have done by setting prudent mortgage-lending standards.,done,it,DYNAMIC
The Federal Reserve was the one entity,was,Reserve,STATIVE
empowered to do so,empowered,entity,STATIVE
and it did not.,did,entity,DYNAMIC
The record of our examination is replete with evidence of other failures:,is,record,STATIVE
"financial institutions made,",made,record,DYNAMIC
"bought,",bought,institutions,DYNAMIC
and sold mortgage securities,sold,institutions,DYNAMIC
"they never examined, did not care to examine,",examined,they,DYNAMIC
or knew to be defective,knew,institutions,STATIVE
; firms depended on tens of billions of dollars of borrowing,depended,record,STATIVE
"that had to be renewed each and every night,",had,borrowing,DYNAMIC
secured by subprime mortgage securities;,secured,dollars,STATIVE
and major firms and investors blindly relied on credit rating agencies as their arbiters of risk.,blindly,record,STATIVE
What else could one expect on a highway,expect,one,CANNOT_DECIDE
where there were neither speed limits nor neatly painted lines?,were,limits,STATIVE
We conclude widespread failures in financial regulation and supervision proved devastating to the stability of the nations financial markets.,conclude,We,DYNAMIC
"The sentries were not at their posts, in no small part due to the widely accepted faith in the self- correcting nature of the markets and the ability of financial institutions to effectively police themselves.",were,sentries,STATIVE
"More than 30 years of deregulation and reliance on self-regulation by financial institutions, championed by former Federal Reserve chairman Alan Greenspan and others,",championed,years,STATIVE
"supported by successive administrations and Congresses,",supported,years,STATIVE
"and actively pushed by the powerful financial industry at every turn, had stripped away key safeguards,",stripped,years,DYNAMIC
which could have helped avoid catastrophe.,helped,safeguards,DYNAMIC
"This approach had opened up gaps in oversight of critical areas with trillions of dollars at risk, such as the shadow banking system and over-the-counter derivatives markets.",opened,approach,DYNAMIC
"In addition, the government permitted financial firms to pick their preferred regulators in what became a race to the weakest supervisor.",permitted,government,DYNAMIC
Yet we do not accept the view,accept,we,STATIVE
that regulators lacked the power to protect the financial system.,lacked,regulators,STATIVE
They had ample power in many arenas,had,They,STATIVE
and they chose not to use it.,chose,They,DYNAMIC
To give just three examples:,give,,CANNOT_DECIDE
the Securities and Exchange Commission could have required more capital and halted risky practices at the big investment banks.,required,Commission,DYNAMIC
It did not.,did,It,DYNAMIC
The Federal Reserve Bank of New York and other regulators could have clamped down on Citigroups excesses in the run-up to the crisis.,clamped,Bank,DYNAMIC
They did not.,did,They,DYNAMIC
Policy makers and regulators could have stopped the runaway mortgage securitization train.,stopped,regulators,DYNAMIC
They did not.,did,They,DYNAMIC
"In case after case after case, regulators continued to rate the institutions",continued,regulators,DYNAMIC
"they oversaw as safe and sound even in the face of mounting troubles,",oversaw,they,STATIVE
often downgrading them just before their collapse.,downgrading,regulators,DYNAMIC
"And where regulators lacked authority,",lacked,regulators,STATIVE
they could have sought it.,sought,they,DYNAMIC
"Too often, they lacked the political willin a political and ideological environment",lacked,they,STATIVE
that constrained itas well as the fortitude to critically challenge the institutions and the entire system,constrained,environment,STATIVE
they were entrusted to oversee.,entrusted,challenge,STATIVE
Changes in the regulatory system occurred in many instances,occurred,Changes,DYNAMIC
as financial markets evolved.,evolved,markets,DYNAMIC
"But as the report will show,",show,report,DYNAMIC
"the financial industry itself played a key role in weakening regulatory constraints on institutions, markets, and products.",played,industry,DYNAMIC
It did not surprise the Commission,surprise,It,DYNAMIC
that an industry of such wealth and power would exert pressure on policy makers and regulators.,exert,industry,DYNAMIC
"From 1999 to 2008, the financial sector expended $2.7 billion in reported federal lobbying expenses;",expended,sector,DYNAMIC
individuals and political action committees in the sector made more than $1 billion in campaign contributions.,made,committees,DYNAMIC
What troubled us was the extent to which the nation was deprived of the necessary strength and independence of the oversight necessary to safeguard financial stability.,,,STATIVE
We conclude dramatic failures of corporate governance and risk management at many,conclude,We,DYNAMIC
systemically important financial institutions were a key cause of this crisis.,were,management,STATIVE
There was a view,was,view,STATIVE
that instincts for self-preservation inside major financial firms would shield them from fatal risk-taking,shield,instincts,DYNAMIC
"without the need for a steady regulatory hand, which, the firms argued,",argued,firms,DYNAMIC
would stifle innovation.,stifle,hand,DYNAMIC
"Too many of these institutions acted recklessly,",acted,many,DYNAMIC
"taking on too much risk, with too little capital, and with too much dependence on short-term funding.",taking,,DYNAMIC
"In many respects, this reflected a fundamental change in these institutions, particularly the large investment banks and bank holding companies,",reflected,this,STATIVE
which focused their activities increasingly on risky trading activities,focused,companies,STATIVE
that produced hefty profits.,produced,activities,DYNAMIC
They took on enormous exposures in acquiring and supporting subprime lenders,took,They,DYNAMIC
"and creating,",creating,They,DYNAMIC
"packaging,",packaging,acquiring,DYNAMIC
"repackaging,",repackaging,acquiring,DYNAMIC
"and selling trillions of dollars in mortgage-related securities,",selling,They,DYNAMIC
including synthetic financial products.,including,,STATIVE
"Like Icarus, they never feared flying ever closer to the sun.",feared,they,STATIVE
Many of these institutions grew aggressively through poorly executed acquisition and integration strategies,grew,Many,DYNAMIC
that made effective management more challenging.,made,strategies,DYNAMIC
The CEO of Citigroup told the Commission,told,CEO,DYNAMIC
"that a $40 billion position in highly rated mortgage securities would not in any way have excited my attention,",“,position,DYNAMIC
 and the cohead of Citigroups investment bank said,said,cohead,DYNAMIC
he spent a small fraction of 1% of his time on those securities.,spent,he,DYNAMIC
"In this instance, too big to fail meant too big to manage.",meant,big,STATIVE
"Financial institutions and credit rating agencies embraced mathematical models as reliable predictors of risks,",embraced,institutions,DYNAMIC
replacing judgment in too many instances.,replacing,institutions,DYNAMIC
"Too often, risk management became risk justification.",became,management,DYNAMIC
Compensation systemsdesigned in an environment,—,systems,STATIVE
"of cheap money, intense competition, and light regulationtoo often rewarded the quick deal, the short-term gainwithout proper consideration of long-term consequences.",—,gain,DYNAMIC
"Often, those systems encouraged the big betwhere the payoff",encouraged,systems,DYNAMIC
on the upside could be huge and the downside limited.,be,payoff,STATIVE
This was the case up and down the linefrom the corporate boardroom to the mortgage broker on the street.,was,This,STATIVE
Our examination revealed stunning instances of governance breakdowns and irresponsibility.,revealed,examination,DYNAMIC
"You will read, among other things, about AIG senior managements ignorance of the terms and risks of the companys $79 billion derivatives exposure to mortgage-related securities;",read,You,DYNAMIC
"Fannie Maes quest for bigger market share, profits, and bonuses, which led it to ramp up its exposure to risky loans and securities",led,quest,DYNAMIC
as the housing market was peaking;,peaking,market,DYNAMIC
and the costly surprise when Merrill Lynchs top management realized,realized,management,DYNAMIC
that the company held $55 billion in super-senior and supposedly super-safe mortgage-related securities,held,company,STATIVE
that resulted in billions of dollars in losses.,resulted,securities,DYNAMIC
We conclude,conclude,We,DYNAMIC
"a combination of excessive borrowing, risky investments, and lack of transparency put the financial system on a collision course with crisis.",put,We,DYNAMIC
"Clearly, this vulnerability was related to failures of corporate governance and regulation,",related,vulnerability,STATIVE
but it is significant enough by itself to warrant our attention here.,is,it,STATIVE
"In the years leading up to the crisis, too many financial institutions, as well as too many households, borrowed to the hilt,",borrowed,institutions,DYNAMIC
leaving them vulnerable to financial distress,leaving,,DYNAMIC
