Clause,mainVerb,mainReferent,Gold
"July 11, 1997",,,CANNOT_DECIDE
Name,Name,July,CANNOT_DECIDE
Address,,,CANNOT_DECIDE
"City, State Zip",,,CANNOT_DECIDE
Dear Mr./Mrs. Name:,,,CANNOT_DECIDE
We need your help in continuing the work of Jameson Camp.,need,We,STATIVE
Jameson is a not-for-profit agency,is,Jameson,STATIVE
established in 1928 to serve the youth of central Indiana,established,agency,DYNAMIC
who have special needs.,have,youth,STATIVE
"The camp offers summer residential programs for children from ages 7-17,",offers,camp,DYNAMIC
and continues contact with the campers and their families with special overnight and weekend follow-up events during the school year.,continues,camp,DYNAMIC
"All children who attend the camp are referred by social workers, doctors, teachers, counselors, and other professionals.",referred,children,DYNAMIC
"Many of the children have learning disabilities, behavioral problems, or come from economically distressed families.",have,Many,STATIVE
"The goal of our organized camping experience is to improve the total health of the children socially, emotionally, and physically.",is,goal,STATIVE
This year Jameson Camp is planning an Inaugural fund-raising event: The Jameson Grill!,planning,Camp,DYNAMIC
"This event is designed to be fun for campers, their families, friends of the camp, neighbors, staff, and anyone interested in finding out more about Jameson.",designed,event,STATIVE
"In short, Fun for Everyone!",Fun,,CANNOT_DECIDE
"The family-friendly event, September 20, 1997, will include a hog roast, activities for kids and adults, prizes for activities, and a small raffle.",include,event,STATIVE
Lucky attendees can go home with a great prize.,go,attendees,DYNAMIC
This is where we need your help.,is,This,STATIVE
Can you help support this wonderful event by furnishing any type of products or services,help,you,CANNOT_DECIDE
that can be used as prizes for our activities or as a raffle prize?,used,type,DYNAMIC
Your contribution will help with funding,help,contribution,DYNAMIC
so Jameson Camp can continue providing the year-round camping experience,continue,Camp,DYNAMIC
that gives kids a chance to create dreams.,gives,experience,DYNAMIC
Enclosed is a form,is,Enclosed,STATIVE
you can complete and return to us in the postage-paid envelope.,complete,you,DYNAMIC
"Or, you can fax us at 241-2760, or e-mail, icfundrzr@aol.com.",fax,you,DYNAMIC
Your quick response will help us begin organizing our prizes.,help,response,DYNAMIC
"After we receive your commitment,",receive,we,DYNAMIC
we will contact you about picking up your contribution.,contact,we,DYNAMIC
"If you have any questions, please call me at 241-2661.",call,,CANNOT_DECIDE
We appreciate your support of our first event of this type.,appreciate,We,STATIVE
"Sincerely, Pat Bray Director of Development Help Blaze The Trail -- 1997 Jameson Camp",Blaze,Director,CANNOT_DECIDE
Thank you for your last Annual Fund Gift!,Thank,Camp,CANNOT_DECIDE
