Clause,mainVerb,mainReferent,Gold
"Mantis shrimp or stomatopods are marine crustaceans, the members of the order Stomatopoda.",are,shrimp,STATIVE
"They may reach 30 centimetres (12 in) in length,",reach,They,DYNAMIC
though in exceptional cases have been recorded at up to 38 cm (15 in).,recorded,,DYNAMIC
The carapace of mantis shrimp covers only the rear part of the head and the first four segments of the thorax.,covers,carapace,STATIVE
There are more than 400 species of Mantis shrimp.,are,species,STATIVE
"They come in a variety of colours, from shades of brown to bright neon colours",come,They,STATIVE
"and are among the most important predators in many shallow, tropical and sub-tropical marine habitats.",are,They,STATIVE
"Despite being common,",being,,STATIVE
they are poorly understood,understood,they,STATIVE
as many species spend most of their life tucked away in burrows and holes.,spend,species,DYNAMIC
"Called ""sea locusts"" by ancient Assyrians, ""prawn killers"" in Australia",Called,killers,STATIVE
"and now sometimes referred to as ""thumb splitters""  because of the animal's ability to inflict painful gashes",referred,killers,DYNAMIC
if handled incautiously  mantis shrimp sport powerful claws,handled,,STATIVE
"that they use to attack and kill prey by spearing, stunning, or dismemberment.",use,handled,DYNAMIC
"In captivity, some larger species are capable of breaking through aquarium glass with a single strike.",are,species,STATIVE
==Ecology==,,,CANNOT_DECIDE
Around 400 species of mantis shrimp have currently been described worldwide;,described,=,DYNAMIC
all living species are in the suborder Unipeltata.,are,species,STATIVE
These aggressive and typically solitary sea creatures spend most of their time hiding in rock formations,spend,creatures,DYNAMIC
or burrowing intricate passageways in the sea bed.,burrowing,spend,DYNAMIC
They rarely exit their homes,exit,They,DYNAMIC
except to feed,,,CANNOT_DECIDE
"and relocate,",,,CANNOT_DECIDE
"and can be diurnal, nocturnal, or crepuscular, depending on the species.",be,,STATIVE
They either wait,wait,They,DYNAMIC
"for prey to chance upon them or, unlike most crustaceans, sometimes hunt, chase,",hunt,They,DYNAMIC
and kill prey.,kill,They,DYNAMIC
"Although some live in temperate seas,",live,some,STATIVE
most species live in tropical and subtropical seas in the Indian and Pacific Oceans between eastern Africa and Hawaii.,live,species,STATIVE
==Claws==,,,CANNOT_DECIDE
They are commonly separated into two distinct groups,separated,=,DYNAMIC
determined by the manner of claws,determined,groups,STATIVE
they possess:,possess,they,STATIVE
*Spearers are armed with spiny appendages,armed,Spearers,STATIVE
"topped with barbed tips,",topped,appendages,STATIVE
used to stab and snag prey.,used,tips,DYNAMIC
"*Smashers, on the other hand, possess a much more developed club and a more rudimentary spear",possess,Smashers,STATIVE
(which is nevertheless quite sharp and still used in fights between their own kind);,is,which,STATIVE
the club is used to bludgeon and smash their meals apart.,used,club,DYNAMIC
"The inner aspect of the dactyl (the terminal portion of the appendage) can also possess a sharp edge,",possess,aspect,STATIVE
with which the animal can cut prey,cut,animal,DYNAMIC
while it swims.,swims,it,DYNAMIC
"Both types strike by rapidly unfolding and swinging their raptorial claws at the prey,",strike,types,DYNAMIC
and are capable of inflicting serious damage on victims significantly greater in size than themselves.,are,types,STATIVE
"In smashers, these two weapons are employed with blinding quickness, with an acceleration of 10,400 g",employed,weapons,DYNAMIC
"(102,000 m/s2 or 335,000 ft/s2) and speeds of 23 m/s from a standing start.",,,CANNOT_DECIDE
"Because they strike so rapidly,",strike,they,DYNAMIC
they generate cavitation bubbles between the appendage and the striking surface.,generate,they,DYNAMIC
"The collapse of these cavitation bubbles produces measurable forces on their prey in addition to the instantaneous forces of 1,500 newtons",produces,collapse,DYNAMIC
"that are caused by the impact of the appendage against the striking surface,",caused,newtons,DYNAMIC
which means,means,surface,STATIVE
that the prey is hit twice by a single strike,hit,prey,DYNAMIC
; first by the claw and then by the collapsing cavitation bubbles,collapsing,,CANNOT_DECIDE
that immediately follow.,follow,bubbles,DYNAMIC
"Even if the initial strike misses the prey, the resulting shock wave can be enough to stun or kill the prey.",be,wave,STATIVE
The snap can also produce sonoluminescence from the collapsing bubble.,produce,snap,DYNAMIC
"This will produce a very small amount of light and high temperatures in the range of several thousand kelvins within the collapsing bubble,",produce,This,DYNAMIC
although both the light and high temperatures are too weak and short-lived to be detected without advanced scientific equipment.,are,temperatures,STATIVE
The light emission and temperature increase probably have no biological significance,have,increase,STATIVE
but are rather side-effects of the rapid snapping motion.,are,emission,STATIVE
Pistol shrimp produce this effect in a very similar manner.,produce,shrimp,DYNAMIC
"Smashers use this ability to attack snails, crabs, molluscs and rock oysters,",use,Smashers,DYNAMIC
their blunt clubs enabling them to crack the shells of their prey into pieces.,enabling,use,DYNAMIC
"Spearers, on the other hand, prefer the meat of softer animals, like fish, which their barbed claws can more easily slice and snag.",prefer,Spearers,STATIVE
==Eyes==,=,Eyes,CANNOT_DECIDE
The mantis shrimp has one of the most elaborate visual systems,has,Eyes,STATIVE
ever discovered.,discovered,systems,DYNAMIC
The midband region of its eye is made up of six rows of specialised ommatidia.,made,region,STATIVE
"Four rows carry up to 16 different photoreceptor pigments, 12 for colour sensitivity, others for colour filtering.",carry,rows,STATIVE
The vision of the mantis shrimp is so precise,is,vision,STATIVE
that it can perceive both polarised light and multispectral images.,perceive,it,DYNAMIC
Their eyes (both mounted on mobile stalks and capable of moving independently of each other),mounted,both,STATIVE
are similarly variably coloured,are,eyes,STATIVE
and are considered to be the most complex eyes in the animal kingdom.,considered,eyes,STATIVE
Each compound eye is made up of up to ten thousand ommatidia of the apposition type.,made,eye,STATIVE
Each eye consists of two flattened hemispheres,consists,eye,STATIVE
"separated by six parallel rows of specialised ommatidia,",,,STATIVE
"collectively called the midband,",called,hemispheres,STATIVE
which divides the eye into three regions.,divides,hemispheres,STATIVE
This configuration enables mantis shrimp to see objects with three parts of the same eye.,enables,configuration,STATIVE
"In other words, each eye possesses trinocular vision and depth perception.",possesses,eye,STATIVE
"The upper and lower hemispheres are used primarily for recognition of form and motion, like the eyes of many other crustaceans.",used,hemispheres,DYNAMIC
"Rows 14 of the midband are specialised for colour vision, from ultra-violet to longer wavelengths.",specialised,–,STATIVE
They aren't currently believed to be sensitive to infrared light.,believed,They,STATIVE
The optical elements in these rows have eight different classes of visual pigments,have,elements,STATIVE
"and the rhabdom is divided into three different pigmented layers (tiers), each for different wavelengths.",divided,elements,STATIVE
The three tiers in rows 2 and 3 are separated by colour filters,separated,tiers,STATIVE
"(intrarhabdomal filters) that can be divided into four distinct classes, two classes in each row.",divided,filters,DYNAMIC
"It is organised like a sandwich; a tier, a colour filter of one class, a tier again, a colour filter of another class, and then a last tier.",organised,It,STATIVE
"Rows 56 are also segregated into different tiers,",segregated,Rows,STATIVE
but have only one class of visual pigment (a ninth class),have,Rows,STATIVE
and are specialised for polarisation vision.,specialised,Rows,STATIVE
They can detect different planes of polarised light.,detect,They,DYNAMIC
A tenth class of visual pigment is found in the dorsal and ventral hemispheres of the eye.,found,class,STATIVE
"The midband only covers about 510 of the visual field at any given instant,",covers,midband,STATIVE
"but like most crustaceans, mantis shrimps have their the eyes mounted on stalks.",have,midband,STATIVE
"In mantis shrimps the movement of the stalked eye is unusually free,",is,movement,STATIVE
and can be driven in all possible axes of movement,driven,movement,DYNAMIC
 up to at least 70  by eight individual eyecup muscles,–,axes,CANNOT_DECIDE
divided into six functional groups.,divided,muscles,STATIVE
"By using these muscles to scan the surroundings with the midband,",using,they,DYNAMIC
"they can add information about forms, shapes and landscape",add,they,DYNAMIC
which cannot be detected by the upper and lower hemisphere of the eye.,detected,information,DYNAMIC
They can also track moving objects,track,They,DYNAMIC
"using large, rapid eye movements",using,objects,DYNAMIC
where the two eyes move independently.,move,eyes,DYNAMIC
"By combining different techniques,",combining,midband,DYNAMIC
"including saccadic movements, the midband can cover a very wide range of the visual field.",including,,STATIVE
"Some species have at least 16 different photoreceptor types,",have,species,STATIVE
which are divided into four classes,divided,types,STATIVE
"(their spectral sensitivity is further tuned by colour filters in the retinas), 12 of them for colour analysis in the different wavelengths",tuned,classes,STATIVE
(including six,including,,STATIVE
which are sensitive to ultraviolet light),are,six,STATIVE
and four of them for analysing polarised light.,analysing,types,CANNOT_DECIDE
"By comparison, most humans have only four visual pigments,",have,humans,STATIVE
"of which three are dedicated to see colour, and the human lenses block ultraviolet light.",dedicated,three,STATIVE
The visual information leaving the retina seems to be processed into numerous parallel data streams,streams,information,STATIVE
"leading into the central nervous system,",leading,,STATIVE
greatly reducing the analytical requirements at higher levels.,reducing,,DYNAMIC
At least two species have been reported to be able to detect circularly polarised light.,reported,species,DYNAMIC
"Some of their biological quarter-wave plates perform more uniformly over the visual spectrum than any current man-made polarizing optics,",perform,Some,DYNAMIC
and it has been speculated,speculated,Some,DYNAMIC
that this could inspire a new type of optical media,inspire,this,DYNAMIC
that would outperform the current generation of Blu-ray disc technology.,outperform,type,DYNAMIC
The species Gonodactylus smithii is the only organism,is,smithii,STATIVE
known to simultaneously detect the four linear and two circular polarization components,known,organism,STATIVE
"required to measure all four Stokes parameters,",required,components,STATIVE
