Clause,mainVerb,mainReferent,Gold
"The domestic dog (Canis lupus familiaris, previously Canis familiaris) is a member of the Canidae family of the mammalian order Carnivora.",is,dog,STATIVE
"The term ""domestic dog"" is generally used for both domesticated and feral varieties.",used,term,DYNAMIC
"The dog was the first domesticated animalGreger Larson, Elinor K. Karlsson, Angela Perri, Matthew T. Webster, Simon Y. W. Ho, Joris Peters, Peter W. Stahl, Philip J. Piper, Frode Lingaas, Merete Fredholm, Kenine E. Comstock, Jaime F. Modiano, Claude Schelling, Alexander I. Agoulnik, Peter A. Leegwater, Keith Dobney, Jean-Denis Vignes, Carles Vilt, Leif Anderssond, and Kerstin Lindblad-Toh; Edited by Joachim Burger.",was,dog,STATIVE
(2012).,,,CANNOT_DECIDE
"Rethinking dog domestication by integrating genetics, archeology, and biogeography.",Rethinking,,CANNOT_DECIDE
vol.,,,CANNOT_DECIDE
"109 no. 23 > Greger Larson, 88788883, doi: 10.1073/pnas.1203005109.",pnas,Larson,CANNOT_DECIDE
http://www.pnas.org/content/109/23/8878.full,,,CANNOT_DECIDE
"and has been the most widely kept working, hunting, and pet animal in human history.",been,and,STATIVE
"The word ""dog"" can also refer to the male of a canine species,",refer,dog,STATIVE
"as opposed to the word ""bitch""",opposed,,STATIVE
which refers to the female of the species.,refers,bitch,STATIVE
"Recent studies of ""well-preserved remains of a dog-like canid from the Razboinichya Cave"" in the Altai Mountains of southern Siberia concluded",concluded,studies,DYNAMIC
"that a particular instance of early wolf domestication approximately 33,000 years ago did not result in modern dog lineages, possibly because of climate disruption during the Last Glacial Maximum.",result,instance,DYNAMIC
The authors postulate,postulate,authors,DYNAMIC
that at least several such incipient events have occurred.,occurred,events,DYNAMIC
"A study of fossil dogs and wolves in Belgium, Ukraine, and Russia tentatively dates domestication from 14,000 years ago to more than 31,700 years ago.",dates,study,DYNAMIC
"Another recent study has found support for claims of dog domestication between 14,000 and 16,000 years ago, with a range between 9,000 and 34,000 years ago, depending on mutation rate assumptions.",found,study,DYNAMIC
Dogs' value to early human hunter-gatherers led to them quickly becoming ubiquitous across world cultures.,led,value,DYNAMIC
"Dogs perform many roles for people, such as hunting,",perform,Dogs,DYNAMIC
"herding, pulling loads, protection, assisting police and military, companionship, and, more recently, aiding handicapped individuals.",herding,hunting,CANNOT_DECIDE
"This impact on human society has given them the nickname ""man's best friend"" in the Western world.",given,impact,DYNAMIC
"In some cultures, however, dogs are also a source of meat.",are,dogs,STATIVE
"In 2001, there were estimated to be 400 million dogs in the world.",estimated,,STATIVE
"Most breeds of dog are at most a few hundred years old,",are,breeds,STATIVE
having been artificially selected for particular morphologies and behaviors by people for specific functional roles.,selected,breeds,DYNAMIC
"Through this selective breeding, the dog has developed into hundreds of varied breeds,",developed,dog,DYNAMIC
and shows more behavioral and morphological variation than any other land mammal.,shows,dog,STATIVE
"For example, height measured to the withers ranges from 15.2 centimetres (6.0 in) in the Chihuahua to about 76 cm (30 in) in the Irish Wolfhound;",ranges,height,STATIVE
"color varies from white through grays (usually called ""blue"") to black, and browns from light",varies,color,STATIVE
"(tan) to dark (""red"" or ""chocolate"") in a wide variation of patterns;",,,CANNOT_DECIDE
"coats can be short or long, coarse-haired to wool-like, straight, curly,",be,coats,STATIVE
or smooth.,,,CANNOT_DECIDE
It is common,is,It,STATIVE
for most breeds to shed this coat.,shed,breeds,CANNOT_DECIDE
==Etymology and related terminology==,,,CANNOT_DECIDE
Dog is the common use term,is,Dog,STATIVE
"that refers to members of the subspecies Canis lupus familiaris (canis, ""dog""; lupus, ""wolf""",refers,term,STATIVE
"; familiaris, ""of a household"" or ""domestic"").",,,CANNOT_DECIDE
"The term can also be used to refer to a wider range of related species, such as the members of the genus Canis, or ""true dogs"",",used,term,DYNAMIC
"including the wolf, coyote, and jackals,",including,,STATIVE
"or it can refer to the members of the tribe Canini,",refer,wolf,STATIVE
"which would also include the African wild dog,",include,refer,STATIVE
"or it can be used to refer to any member of the family Canidae,",used,term,DYNAMIC
"which would also include the foxes, bush dog, raccoon dog, and others.",include,Canidae,STATIVE
"Some members of the family have dog in their common names, such as the raccoon dog and the African wild dog.",have,members,STATIVE
A few animals have dog in their common names,have,animals,STATIVE
"but are not canids, such as the prairie dog.",are,animals,STATIVE
"The English word dog comes from Middle English dogge, from Old English docga, a ""powerful dog breed"".",comes,dog,STATIVE
"The term may possibly derive from Proto-Germanic *dukkn,",derive,term,STATIVE
"represented in Old English finger-docce (""finger-muscle"").",represented,dukkōn,STATIVE
The word also shows the familiar petname diminutive -ga,shows,word,STATIVE
"also seen in frogga ""frog"",",seen,ga,STATIVE
"picga ""pig"", stagga ""stag"", wicga ""beetle, worm"", among others.",beetle,pig,CANNOT_DECIDE
"The term dog may ultimately derive from the earliest layer of Proto-Indo-European vocabulary,",derive,dog,STATIVE
reflecting the role of the dog as the earliest domesticated animal.,reflecting,,DYNAMIC
"In 14th-century England, hound (from hund) was the general word for all domestic canines,",was,hound,STATIVE
"and dog referred to a subtype of hound, a group",referred,word,STATIVE
including the mastiff.,including,,STATIVE
It is believed,believed,It,STATIVE
"this ""dog"" type was so common,",was,type,STATIVE
"it eventually became the prototype of the category ""hound"".",became,it,DYNAMIC
"By the 16th century, dog had become the general word,",become,dog,DYNAMIC
and hound had begun to refer only to types,begun,dog,DYNAMIC
used for hunting.,used,types,DYNAMIC
"Hound, cognate to German Hund, Dutch hond, common Scandinavian hund, and Icelandic hundur, is ultimately derived from the Proto-Indo-European *kwon- ""dog"",",derived,Hound,STATIVE
"found in Sanskrit kukuur (), Welsh ci (plural cwn), Latin canis, Greek kn, and Lithuanian u.",found,kýōn,STATIVE
"In breeding circles, a male canine is referred to as a dog,",referred,canine,DYNAMIC
"while a female is called a bitch (Middle English bicche, from Old English bicce, ultimately from Old Norse bikkja).",called,female,STATIVE
A group of offspring is a litter.,is,group,STATIVE
"The father of a litter is called the sire,",called,father,STATIVE
and the mother is called the dam.,called,father,STATIVE
"Offspring are, in general, called pups or puppies, from French poupe,",called,Offspring,STATIVE
until they are about a year old.,are,they,STATIVE
"The process of birth is whelping, from the Old English word hwelp (cf. German Welpe, Dutch welp, Swedish valpa, Icelandic hvelpur).",whelping,process,STATIVE
"The term ""whelp"" can also be used to refer to the young of any canid, or as a (somewhat archaic) alternative to ""puppy"".",used,whelp,DYNAMIC
==Taxonomy==,,,CANNOT_DECIDE
"In 1753, the father of modern biological taxonomy, Carl Linnaeus, listed among the types of quadrupeds familiar to him, the Latin word for dog, canis.",listed,canis,DYNAMIC
"Among the species within this genus, Linnaeus listed the fox, as Canis vulpes, wolves",listed,Linnaeus,DYNAMIC
"(Canis lupus), and the domestic dog, (Canis canis).",,,CANNOT_DECIDE
"In later editions, Linnaeus dropped Canis canis",dropped,Linnaeus,DYNAMIC
"and greatly expanded his list of the Canis genus of quadrupeds, and by 1758",expanded,Linnaeus,DYNAMIC
"included alongside the foxes, wolves, and jackals and many more terms",included,Linnaeus,DYNAMIC
"that are now listed as synonyms for domestic dog,",listed,terms,STATIVE
"including aegyptius (hairless dog), aquaticus, (water dog), and mustelinus (literally ""badger dog"").",including,,STATIVE
Among these were two,were,used,STATIVE
"that later experts have been widely used for domestic dogs as a species: Canis domesticus and, most predominantly, Canis familiaris, the ""common"" or ""familiar"" dog.",used,two,DYNAMIC
The domestic dog was accepted as a species in its own right,accepted,dog,DYNAMIC
"until overwhelming evidence from behavior, vocalizations, morphology, and molecular biology led to the contemporary scientific understanding",led,evidence,DYNAMIC
"that a single species, the gray wolf, is the common ancestor for all breeds of domestic dogs.",is,species,STATIVE
"In recognition of this fact, the domestic dog was reclassified in 1993 as Canis lupus familiaris, a subspecies of the gray wolf Canis lupus, by the Smithsonian Institution and the American Society of Mammalogists.",reclassified,dog,DYNAMIC
C. l. familiaris is listed as the name for the taxon,listed,familiaris,STATIVE
that is broadly used in the scientific community,used,taxon,DYNAMIC
"and recommended by ITIS,",recommended,taxon,STATIVE
although Canis familiaris is a recognised synonym.,is,familiaris,STATIVE
"Since that time, C. domesticus and all taxa referring to domestic dogs or subspecies of dog listed by Linnaeus, Johann Friedrich Gmelin in 1792, and Christian Smith in 1839,",referring,domesticus,CANNOT_DECIDE
lost their subspecies status,lost,domesticus,DYNAMIC
and have been listed as taxonomic synonyms for Canis lupus familiaris.,listed,Smith,DYNAMIC
==History and evolution==,,,CANNOT_DECIDE
Canis lupus laying in grass.,laying,lupus,STATIVE
jpg|thumb|Domestic dogs are descended from gray wolves.,descended,dogs,STATIVE
"Domestic dogs inherited complex behaviors from their wolf ancestors,",inherited,dogs,DYNAMIC
which would have been pack hunters with complex body language.,been,ancestors,STATIVE
"These sophisticated forms of social cognition and communication may account for their trainability, playfulness, and ability to fit into human households and social situations,",account,forms,STATIVE
and these attributes have given dogs a relationship with humans,given,forms,DYNAMIC
that has enabled them to become one of the most successful species on the planet today.,enabled,relationship,STATIVE
"Although experts largely disagree over the details of dog domestication,",disagree,experts,STATIVE
it is agreed,agreed,it,STATIVE
that human interaction played a significant role in shaping the subspecies.,played,interaction,DYNAMIC
"Domestication may have occurred initially in separate areas, particularly Siberia and Europe.",occurred,Domestication,DYNAMIC
It is thought,thought,It,STATIVE
"that the current lineage of dogs were domesticated between 15,000 years and 8,500 years ago.",domesticated,lineage,DYNAMIC
"Shortly after the latest domestication, dogs became ubiquitous in human populations,",became,dogs,DYNAMIC
and spread throughout the world.,spread,dogs,DYNAMIC
"Emigrants from Siberia likely crossed the Bering Strait with dogs in their company,",crossed,Emigrants,DYNAMIC
and some experts suggest,suggest,Emigrants,STATIVE
the use of sled dogs may have been critical to the success of the waves,been,use,STATIVE
"that entered North America roughly 12,000 years ago,",entered,waves,DYNAMIC
"although the earliest archaeological evidence of dog-like canids in North America dates from about 9,400 years ago.",dates,evidence,STATIVE
"Dogs were an important part of life for the Athabascan population in North America,",were,Dogs,STATIVE
and were their only domesticated animal.,were,,STATIVE
"Dogs also carried much of the load in the migration of the Apache and Navajo tribes 1,400 years ago.",carried,Dogs,DYNAMIC
Use of dogs as pack animals in these cultures often persisted after the introduction of the horse to North America.,persisted,Use,DYNAMIC
"The current consensus among biologists and archaeologists is that the dating of first domestication is indeterminate,",is,consensus,STATIVE
"although more recent evidence shows isolated domestication events as early as 33,000 years ago.",shows,evidence,STATIVE
There is conclusive evidence,is,evidence,STATIVE
"the present lineage of dogs genetically diverged from their wolf ancestors at least 15,000 years ago,",ancestors,lineage,DYNAMIC
but some believe domestication to have occurred earlier.,believe,evidence,STATIVE
Evidence is accruing,accruing,Evidence,STATIVE
"that there were previous domestication events,",were,events,STATIVE
but that those lineages died out.,died,events,DYNAMIC
It is not known,known,It,STATIVE
"whether humans domesticated the wolf as such to initiate dog's divergence from its ancestors,",domesticated,humans,DYNAMIC
or whether dog's evolutionary path had already taken a different course prior to domestication.,taken,humans,DYNAMIC
"For example, it is hypothesized",hypothesized,it,STATIVE
"that some wolves gathered around the campsites of paleolithic camps to scavenge refuse,",gathered,wolves,DYNAMIC
and associated evolutionary pressure developed,developed,humans,DYNAMIC
that favored those,favored,that,STATIVE
"who were less frightened by, and keener in approaching, humans.",were,those,STATIVE
The bulk of the scientific evidence for the evolution of the domestic dog stems from morphological studies of archaeological findings and mitochondrial DNA studies.,stems,bulk,STATIVE
"The divergence date of roughly 15,000 years ago is based in part on archaeological evidence",based,date,STATIVE
that demonstrates,demonstrates,evidence,DYNAMIC
"the domestication of dogs occurred more than 15,000 years ago,",occurred,dogs,DYNAMIC
and some genetic evidence indicates,indicates,date,STATIVE
"the domestication of dogs from their wolf ancestors began in the late Upper Paleolithic close to the Pleistocene/Holocene boundary, between 17,000 and 14,000 years ago.",began,domestication,DYNAMIC
"But there is a wide range of other, contradictory findings",is,range,STATIVE
that make this issue controversial.,make,findings,DYNAMIC
There are findings,are,findings,STATIVE
"beginning currently at 33,000 years ago distinctly placing them",beginning,findings,DYNAMIC
as domesticated dogs evidenced not only by shortening of the muzzle,evidenced,dogs,STATIVE
but widening as well as crowding of teeth.,crowding,,CANNOT_DECIDE
Archaeological evidence suggests,suggests,evidence,STATIVE
"that the latest point at which dogs could have diverged from wolves was roughly 15,000 years ago,",was,point,STATIVE
although it is possible,is,it,STATIVE
they diverged much earlier.,diverged,they,DYNAMIC
"In 2008, a team of international scientists released findings from an excavation at Goyet Cave in Belgium",released,team,DYNAMIC
"declaring a large, toothy canine",declaring,released,DYNAMIC
"existed 31,700 years ago",existed,team,STATIVE
"and ate a diet of horse, musk ox and reindeer.",ate,team,DYNAMIC
"Prior to this Belgian discovery, the earliest dog bones found",found,bones,DYNAMIC
"were two large skulls from Russia and a mandible from Germany dated from roughly 14,000 years ago.",dated,skulls,STATIVE
"Remains of smaller dogs from Natufian cave deposits in the Middle East, including the earliest burial of a human being with a domestic dog, have been dated to around 10,000 to 12,000 years ago.",including,,DYNAMIC
"There is a great deal of archaeological evidence for dogs throughout Europe and Asia around this period and through the next two thousand years (roughly 8,000 to 10,000 years ago), with specimens",is,deal,STATIVE
"uncovered in Germany, the French Alps, and Iraq, and cave paintings in Turkey.",uncovered,specimens,DYNAMIC
The oldest remains of a domesticated dog in the Americas were found in Texas,found,remains,DYNAMIC
"and have been dated to about 9,400 years ago.",dated,remains,DYNAMIC
===DNA studies===,,,CANNOT_DECIDE
"DNA studies have provided a wide range of possible divergence dates, from 15,000 to 40,000 years ago, to as much as 100,000 to 140,000 years ago.",provided,=,DYNAMIC
These results depend on a number of assumptions.,depend,results,STATIVE
"Genetic studies are based on comparisons of genetic diversity between species,",based,studies,STATIVE
and depend on a calibration date.,depend,studies,STATIVE
"Some estimates of divergence dates from DNA evidence use an estimated wolfcoyote divergence date of roughly 700,000 years ago as a calibration.",use,estimates,STATIVE
"If this estimate is incorrect,",is,estimate,STATIVE
"and the actual wolfcoyote divergence is closer to one or two million years ago, or more, than the DNA evidence",is,divergence,STATIVE
that supports specific dogwolf divergence dates would be interpreted very differently.,interpreted,dates,DYNAMIC
"Furthermore, it is believed",believed,it,STATIVE
"the genetic diversity of wolves has been in decline for the last 200 years,",been,diversity,STATIVE
and that the genetic diversity of dogs has been reduced by selective breeding.,reduced,diversity,DYNAMIC
This could significantly bias DNA analyses to support an earlier divergence date.,support,This,STATIVE
The genetic evidence for the domestication event occurring in East Asia is also subject to violations of assumptions.,is,evidence,STATIVE
"These conclusions are based on the location of maximal genetic divergence,",based,conclusions,STATIVE
and assume,assume,conclusions,STATIVE
"hybridization does not occur,",occur,hybridization,DYNAMIC
and that breeds remain geographically localized.,remain,hybridization,STATIVE
"Although these assumptions hold for many species, there is good reason to believe",is,reason,STATIVE
that they do not hold for canines.,hold,they,STATIVE
Genetic analyses indicate,indicate,analyses,STATIVE
"all dogs are likely descended from a handful of domestication events with a small number of founding females,",are,dogs,STATIVE
although there is evidence,is,evidence,STATIVE
domesticated dogs interbred with local populations of wild wolves on several occasions.,interbred,dogs,DYNAMIC
Data suggest,suggest,Data,STATIVE
"dogs first diverged from wolves in East Asia,",diverged,dogs,DYNAMIC
"and these domesticated dogs then quickly migrated throughout the world,",migrated,Data,DYNAMIC
reaching the North American continent around 8000 BC.,reaching,,DYNAMIC
"The oldest groups of dogs, which show the greatest genetic variability",show,groups,STATIVE
"and are the most similar to their wolf ancestors,",are,groups,STATIVE
"are primarily Asian and African breeds,",are,groups,STATIVE
"including the Basenji, Lhasa Apso, and Siberian Husky.",including,,STATIVE
"Some breeds thought to be very old, such as the Pharaoh Hound, Ibizan Hound, and Norwegian Elkhound, are now known to have been created more recently.",known,breeds,STATIVE
A great deal of controversy surrounds the evolutionary framework for the domestication of dogs.,surrounds,deal,STATIVE
Although it is widely claimed,claimed,it,STATIVE
"that ""man domesticated the wolf,""",domesticated,man,DYNAMIC
man might not have taken such a proactive role in the process.,taken,man,DYNAMIC
The nature of the interaction between man and wolf that led to domestication is unknown and controversial.,is,nature,STATIVE
"At least three early species of the Homo genus began spreading out of Africa roughly 400,000 years ago,",began,species,DYNAMIC
and thus lived for a considerable time in contact with canine species.,lived,species,STATIVE
"Despite this, there is no evidence of any adaptation of canine species to the presence of the close relatives of modern man.",is,evidence,STATIVE
"If dogs were domesticated,",domesticated,dogs,DYNAMIC
"as believed, roughly 15,000 years ago, the event",believed,,STATIVE
(or events) would have coincided with a large expansion in human territory and the development of agriculture.,coincided,event,DYNAMIC
This has led some biologists to suggest,led,This,DYNAMIC
one of the forces that led to the domestication of dogs was a shift in human lifestyle in the form of established human settlements.,was,led,STATIVE
Permanent settlements would have coincided with a greater amount of disposable food,coincided,settlements,DYNAMIC
and would have created a barrier between wild and anthropogenic canine populations.,created,settlements,DYNAMIC
