Clause,mainVerb,mainReferent,Gold
Patolli (patoli) or patole (patole) is one of the oldest games in America.,is,paˈtoːlːi,STATIVE
It was very much a game of commoners and nobles alike,was,It,STATIVE
and it was reported by the conquistadors,reported,game,DYNAMIC
that Montezuma often enjoyed watching his nobles play the game at court.,enjoyed,Montezuma,DYNAMIC
==History==,,,CANNOT_DECIDE
Patolli (or variants of it) was played by a wide range of pre-Columbian Mesoamerican cultures,played,History,DYNAMIC
and known all over Mesoamerica:,known,History,STATIVE
"the Teotihuacanos (the builders of Teotihuacan, ca.",,,CANNOT_DECIDE
200 BC - 650 AD) played it as well as the Toltecs (ca.,played,Teotihuacanos,DYNAMIC
"750 - 1000), the inhabitants of Chichen Itza (founded by refugee Toltec nobles, ca.",founded,Itza,DYNAMIC
"1100 - 1300), the Aztecs (who claimed Toltec descent, 1168 - 1521), and all of the people",claimed,inhabitants,DYNAMIC
"they conquered (practically all of Mesoamerica,",conquered,they,DYNAMIC
including the Zaptotecs and the Mixtecs).,including,,STATIVE
The ancient Mayans also played a version of Patolli.,played,Mayans,DYNAMIC
Anthropologist E. Adamson Hoebel (1966),,,CANNOT_DECIDE
said,said,Hoebel,DYNAMIC
"the Aztec patolli derives from the East Indian game of pachisi.,",derives,patolli,STATIVE
but in R. Barry Lewis of the Department of Anthropology at the University of Illinois (1988) said,said,patolli,DYNAMIC
"the similarity between the two games is due to the limitations of a board game,",is,similarity,STATIVE
meaning,meaning,,STATIVE
the two games were independently derived.,derived,games,DYNAMIC
==Players==,,,CANNOT_DECIDE
Patolli is a race/war game with a heavy focus on gambling.,is,Patolli,STATIVE
Players would meet,meet,Players,DYNAMIC
and inspect the items,inspect,Players,DYNAMIC
each other had available to gamble.,had,other,STATIVE
"They bet blankets, Maguey plants, precious stones, gold adornments, food or just about anything.",bet,They,DYNAMIC
"In extreme cases, they would bet their homes and sometimes their family and freedom.",bet,they,DYNAMIC
Agreeing to play against someone was not done casually as the winner of the game would ultimately win all of the opponent's store of offerings.,done,Agreeing,DYNAMIC
Each player must have the same number of items to bet at the beginning of the game.,have,player,STATIVE
"The ideal number of items to bet is six,",is,number,STATIVE
although any number would be acceptable as long as each player agreed.,be,number,STATIVE
The reason for having at least six bits of treasure is because there are six jade markers that will traverse the game board.,is,reason,STATIVE
"As each marker successfully completes the circuit around the board, the opponent is required to hand over ownership of an item from his or her treasure.",required,opponent,STATIVE
"Once an agreement is made to play, the players prepare themselves by invoking the god of games, Macuilxochitl, by offering incense, prayers and food.",prepare,players,DYNAMIC
After psyching themselves up - the game begins.,begins,game,DYNAMIC
==Gameplay and Game Pieces==,,,CANNOT_DECIDE
The goal of patolli was to move six game pieces through the specified squares.,was,Gameplay,STATIVE
The object of the game is for a player to win all of the opponent's treasure.,is,object,STATIVE
"To do this,",do,,CANNOT_DECIDE
the players may need to play more than one round of the game.,need,players,STATIVE
"In order to complete a round, a player needs to get all of the six game markers from the starting queue position to the ending square position on the game board before the other player.",needs,player,STATIVE
Five or six black beans were used as dice.,used,beans,DYNAMIC
Number cubes were also used.,used,cubes,DYNAMIC
"If a toss results in all the beans standing on their sides,",results,toss,DYNAMIC
then the tosser wins all the goods bet by both parties.,wins,tosser,DYNAMIC
The game pieces were six red and six blue pebbles,were,pieces,STATIVE
and each player controlled one color.,controlled,pieces,DYNAMIC
"Some markers that could be used were beans, or kernels of maize.",were,markers,STATIVE
"In order to get one of the stone markers on the board, the player tosses five specially prepared black beans on the game area.",tosses,player,DYNAMIC
The black beans has one side marked with a hole.,has,beans,STATIVE
Thus tossing the black beans would result in several black beans,result,tossing,DYNAMIC
showing this white mark and others,showing,beans,CANNOT_DECIDE
showing a blank side.,showing,others,CANNOT_DECIDE
"In order to get on the game board, one black beans would have to land with the hole face up",have,beans,STATIVE
and all the others face down,face,beans,CANNOT_DECIDE
(getting a score of one).,getting,,DYNAMIC
The players take turns tossing.,take,players,DYNAMIC
"Once a player is able to get on the board,",is,player,STATIVE
the game begins,begins,game,DYNAMIC
and the player is allowed to place one of the game markers from the queue onto the starting square of the game board.,allowed,game,STATIVE
"The game mat had an ""X"" shape with squares",had,mat,STATIVE
and the design was painted on it with liquid rubber.,painted,mat,DYNAMIC
There are 52 landing positions in all.,are,positions,STATIVE
The game board could be drawn on a bit of leather or on a straw mat,drawn,board,DYNAMIC
and decorated with colored dye,decorated,board,STATIVE
or it could also be carved into the floor or table top.,carved,board,DYNAMIC
The four landing positions in the middle of the X is a special area.,is,positions,STATIVE
"For instance, a player can kick the opponent jade off of the game board",kick,player,DYNAMIC
and back into the opponent starting queue if the player should 'land' a jade on the opponent jade in this area.,back,player,DYNAMIC
The opponent would then be required to transfer ownership of one of the items,required,opponent,STATIVE
being bet at this time.,bet,items,STATIVE
Another special area is marked by two darker triangular shapes near the end of each arm of the X.,marked,area,STATIVE
"If a player should land a jade inside one of these triangular areas,",land,player,DYNAMIC
the player would be required to transfer ownership of an item to the opponent.,required,player,STATIVE
There are two special square marks at the end of each arm of the X. Any player who lands on one of these squares is required to roll the black beans,are,marks,STATIVE
and take another turn.,take,arm,CANNOT_DECIDE
"After a player has a game marker on the game board, the player must move one of the game markers the same number of times",move,player,DYNAMIC
as there are holes,are,number,STATIVE
showing from the toss.,showing,holes,STATIVE
If the player cannot move,move,player,DYNAMIC
"because he would overshoot the ending square or land on an occupied spot,",overshoot,he,DYNAMIC
then he loses the turn.,loses,he,DYNAMIC
"If the toss shows five holes,",shows,toss,STATIVE
then the player must choose one game marker to move ten spaces.,choose,player,DYNAMIC
Macuilxochitl is also playing the game.,playing,Macuilxochitl,DYNAMIC
"The Magliabechiano codex says: Patolli's god was Macuilxochitl, deity of music, dance, gambling and games,",says,codex,DYNAMIC
called God of the Five Flowers.,called,Macuilxochitl,STATIVE
Players are required to give Macuilxochitl an item,required,Players,STATIVE
if a toss of the patolli result in no holes (all blank sides) showing.,showing,holes,DYNAMIC
A space is reserved above the game board for these items.,reserved,space,STATIVE
The winner of the round will receive the treasure,receive,winner,DYNAMIC
located in this space as a gift from Macuilxochitl.,located,treasure,STATIVE
==Spanish Conquest==,,,CANNOT_DECIDE
The Spanish priests forbade the game during the Spanish conquest of Mexico,forbade,priests,DYNAMIC
and were known to have burned the hands of people,known,priests,STATIVE
caught playing the game.,caught,people,DYNAMIC
