Clause,mainVerb,mainReferent,Gold
Iraq clears visit by Ohio official,clears,Iraq,DYNAMIC
By Scott Montgomery Washington,,,CANNOT_DECIDE
The Iraqi government has agreed to let U.S. Rep. Tony Hall visit the country next week to assess a humanitarian crisis,agreed,government,DYNAMIC
that has festered since the Gulf War,festered,crisis,DYNAMIC
"of 1990, Hall's office said Monday.",said,office,DYNAMIC
"The Dayton Democrat, who has traveled to other crisis points including Sierra Leone and North Korea,",traveled,Democrat,DYNAMIC
will spend three days,spend,Democrat,STATIVE
visiting hospitals and other facilities to seek understanding,visiting,days,DYNAMIC
why aid has been ineffective in stemming malnourishment and other medical problems.,been,aid,STATIVE
Iraq has been under economic sanctions since the war,been,Iraq,STATIVE
"ended,",ended,war,DYNAMIC
which some say have thwarted the country's ability to recover from the devastation of the bombing campaign.,say,some,DYNAMIC
"The Persian Gulf War destroyed much of the country's medical infrastructure,",destroyed,War,DYNAMIC
according to a report by the World Health Organization.,according,,CANNOT_DECIDE
In 1996 the WHO found,found,WHO,DYNAMIC
that much of the population existed in a state of ``semi starvation.'',existed,much,STATIVE
"Hall will be only the second member of Congress to travel in Iraq since the war,",be,Hall,STATIVE
according to Hall's office.,according,,CANNOT_DECIDE
"The last visitor was then-U.S. Rep. Bill Richardson of New Mexico,",was,visitor,STATIVE
who went to help a pair of U.S. oilmen in diplomatic trouble.,went,Richardson,DYNAMIC
"Hall flies to Amman, Jordan, on Friday,",flies,Hall,DYNAMIC
where he'll spend the night before driving to Iraq.,spend,he,DYNAMIC
Flights are not permitted into Iraq.,permitted,Flights,STATIVE
Hall is to return to Washington on April 22.,is,Hall,DYNAMIC
Story Filed By Cox Newspapers,,,CANNOT_DECIDE
