Clause,mainVerb,mainReferent,Gold
The Anti-Terrorist - Undermining The Motivation For Terrorism,Undermining,,CANNOT_DECIDE
"By Rev. Bill McGinnis , Director - LoveAllPeople.org",LoveAllPeople.org,,CANNOT_DECIDE
"This website and everything on it is in the Public Domain,",is,Anti-Terrorist,STATIVE
"so you may use it freely, even without attribution.",use,you,DYNAMIC
"BACKGROUND , September 11, 2004",,,CANNOT_DECIDE
"Three years have now gone by since the September 11th attacks in 2001,",gone,September,DYNAMIC
and terrorism is a far greater threat to us now,is,terrorism,STATIVE
than it was then.,was,it,STATIVE
"The number and severity of terrorist attacks worldwide has increased dramatically,",increased,number,DYNAMIC
as has the number of active terrorists.,has,number,DYNAMIC
"Before 9/11, terrorism was confined to a small number of extremist individuals,",confined,terrorism,STATIVE
"loosely linked by radical Islam and hatred of Israel and its sole supporter, the USA.",linked,number,STATIVE
"Now, many more moderate Muslims have become radicalized, world-wide, willing to kill innocent civilians",become,Muslims,DYNAMIC
in order to achieve their purposes.,achieve,,CANNOT_DECIDE
"And the serious targets have expanded to include civilians in Russia, India, Maylasia, the Philippines, Spain, and elsewhere, as well as Israel and its sole supporter, the United States.",expanded,targets,DYNAMIC
"True, the USA has not suffered a successful major attack since 9/11,",suffered,USA,DYNAMIC
but this does not mean,mean,USA,STATIVE
that we are safer.,are,we,STATIVE
The terrorists could strike any time,strike,terrorists,DYNAMIC
"they choose, through any of the numerous loopholes",choose,they,DYNAMIC
so well reported in our media.,reported,loopholes,DYNAMIC
But they have chosen,chosen,they,DYNAMIC
"not to attack,",attack,they,CANNOT_DECIDE
"perhaps because they are waiting to produce an effect even greater than the 9/11 attacks,",waiting,they,STATIVE
so they do not appear to be losing strength.,appear,they,STATIVE
What could be more spectacular than the 9/11 attacks?,be,What,CANNOT_DECIDE
Nuclear!,,,CANNOT_DECIDE
Or massive bio-chemical attack!,,,CANNOT_DECIDE
And I think,think,I,STATIVE
this is what they are waiting for.,is,this,STATIVE
"All of our frantic preparations may have had some effect in preventing small-time casual attacks,",had,All,STATIVE
"but they cannot stop a serious planned attack, any more",stop,All,DYNAMIC
than a mere door lock can stop a serious robber,stop,more,DYNAMIC
who really wants to get into your house.,wants,robber,STATIVE
So the Bush administration can keep claiming,keep,administration,STATIVE
"that we are safer now, under their policies.",safer,we,STATIVE
"But this claim is merely feel-good propaganda,",is,claim,STATIVE
intended to keep the neo-cons in power.,keep,,STATIVE
It cannot withstand clear-headed scrutiny.,withstand,It,DYNAMIC
"The fact is,",is,fact,STATIVE
Bush policies have failed completely,failed,policies,DYNAMIC
"even to diminish terrorism, much less defeat it.",diminish,policies,CANNOT_DECIDE
"By trying to ""stamp out"" terrorism by killing terrorists, Bush and Israel have made things infinitely worse for us: more dangerous, not safer.",made,Israel,DYNAMIC
"And proof that Bush has failed may come at any moment, explosively, with one big successful attack here in the USA.",come,proof,DYNAMIC
May God help us all.,help,God,DYNAMIC
WHAT IS TERRORISM?,IS,WHAT,CANNOT_DECIDE
"TERRORISM is ""the systematic use of violence to create a general climate of fear in a population",is,TERRORISM,STATIVE
"and thereby to bring about a particular political objective.""",bring,use,CANNOT_DECIDE
Source: Britannica.com,,,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
We believe,believe,We,STATIVE
"that any terrorist act is a crime against humanity and against the will of God,",is,act,STATIVE
because it deliberately intends to injure and kill innocent people.,intends,crime,STATIVE
NEUTRALIZING TERRORISM,,,CANNOT_DECIDE
Our purpose here is to NEUTRALIZE TERRORISM by removing the motivation for it.,is,purpose,STATIVE
"Without motivation, terrorism will quickly die down, like a plant without water.",die,terrorism,DYNAMIC
We completely reject the idea,reject,We,STATIVE
"that terrorism can be defeated by brute force,",defeated,terrorism,DYNAMIC
"because brute force radicalizes the moderates,",radicalizes,force,DYNAMIC
and they then join the terrorists.,join,We,DYNAMIC
So you end up fighting the entire population.,end,you,DYNAMIC
"Brute force has failed in Palestine,",failed,force,DYNAMIC
and it is failing in Iraq.,failing,force,DYNAMIC
"We try to be even-handed in opposing all terrorism,",try,We,DYNAMIC
although we recognize,recognize,we,STATIVE
that the greatest terrorist threat in the world today comes from radical Muslims,comes,threat,STATIVE
who falsely believe,believe,Muslims,STATIVE
"that Allah approves of their criminal behavior against Israel, The United States, Russia, India, the Philippines, Australia, and others",approves,Allah,STATIVE
"whom they falsely believe to be ""waging war against Allah.""",believe,they,STATIVE
"And the second-greatest terrorist threat comes from several countries, mainly Israel,",comes,threat,STATIVE
