Clause,mainVerb,mainReferent,Gold
"Tara stood stock-still,",stood,Tara,STATIVE
waiting,waiting,,STATIVE
for the first tiny gleam from the scout craft to appear in the darkness of the wormhole.,appear,,CANNOT_DECIDE
"The gentle constant breeze of recycled air from the vent above blew an annoying hair against her nose,",blew,breeze,DYNAMIC
but she ignored it.,ignored,breeze,DYNAMIC
"A gasp from the psychic broke her silent vigil,",broke,gasp,DYNAMIC
and she turned.,turned,gasp,DYNAMIC
"""Results, Harmon?""",,,CANNOT_DECIDE
she suppressed the surge of annoyance,suppressed,she,DYNAMIC
that ran through her,ran,surge,DYNAMIC
as she contemplated the psi's gift of getting all the hot news first.,contemplated,she,DYNAMIC
Harmon's face slowly animated,animated,face,DYNAMIC
- joy sweeping in to replace stern concentration.,sweeping,joy,DYNAMIC
"""Tarrin says",says,Tarrin,DYNAMIC
the planet's a freaking gemstone!,'s,planet,STATIVE
"Thriving with life, large and small forms, no buildings of any kind, hydrocarbons, metals, and a stable atmosphere.",Thriving,,STATIVE
He's not even bringing them back through for a face to face briefing.,bringing,He,DYNAMIC
He says,says,He,DYNAMIC
"we should come through now, immediately,",come,we,DYNAMIC
"before the probe is reported late.""",reported,probe,DYNAMIC
"""Harmon, tell that good for nothing son of a beta to get his hindquarters through the gate and back here NOW,",tell,Harmon,CANNOT_DECIDE
or I'll open fire on him,open,Harmon,DYNAMIC
"when we come back through.""",come,we,DYNAMIC
Tara fumed.,,,DYNAMIC
Of all the impertinence!,Of,,CANNOT_DECIDE
"Tarrin, no doubt with orders from Mason, was questioning her command decisions.",questioning,Tarrin,DYNAMIC
That's what I get for not using mercenaries.,'s,That,STATIVE
"She returned to her watch, regarding her own reflection in the long window.",returned,She,DYNAMIC
"Mahogany-black curly hair, cut short in the typical military style",cut,hair,STATIVE
"framed a careworn, dark-skinned face.",framed,style,STATIVE
It was not an attractive face right now;,was,It,STATIVE
"her ebony eyes shadowed by hours on the watch, full lips",shadowed,eyes,STATIVE
pursed with frustration.,pursed,lips,STATIVE
She had the look of every leader,had,She,STATIVE
she had ever known.,known,she,STATIVE
"At six foot two, she stood a full head taller than even her Arrallin first officer.",stood,she,STATIVE
Her glowering expression completed the imposing effect.,completed,expression,STATIVE
"She picked imaginary flecks off her stark gray jumpsuit,",picked,She,DYNAMIC
and snorted.,snorted,She,DYNAMIC
"You look like hell, Tar.",look,You,STATIVE
Don't blow this.,Do,,CANNOT_DECIDE
Don't let fatigue get to you.,let,,CANNOT_DECIDE
She used the discretion of the mirrored window to secretively survey her crew.,used,She,DYNAMIC
"Harmon was an excellent addition to the bridge team,",was,Harmon,STATIVE
but was she open minded enough to defy United Earth Command,was,addition,CANNOT_DECIDE
and sever all ties from Earth?,sever,,CANNOT_DECIDE
"She watched the psi bob her head, unaware of the rest of the bridge,",watched,She,DYNAMIC
shaking blonde curls,shaking,head,DYNAMIC
as she chattered away with the approaching psi relay on Mason's ship.,chattered,she,DYNAMIC
She seemed so depthless,seemed,She,STATIVE
"- self conscious and shallow on the outside, but having that incredible gift.",having,She,STATIVE
There had to be more to her.,had,,STATIVE
"Well, if she didn't pan out,",pan,she,DYNAMIC
she'd be terminated.,terminated,she,DYNAMIC
Any crew member that would jeopardize the project was meat.,was,member,STATIVE
"It would be a shame to lose that talent, though.",be,It,STATIVE
"Rakal, her first officer, was staring pensively at his panel.",staring,Rakal,DYNAMIC
He was what this was all about.,was,He,STATIVE
She watched his graceful fingers,watched,She,DYNAMIC
ending in thick black claws tap out calculations on the panel.,tap,fingers,STATIVE
"His pointed ears swiveled back and forth,",swiveled,ears,DYNAMIC
"catching every sound from the bridge,",catching,,DYNAMIC
while his long tail swished to the rhythm of his thoughts.,swished,tail,DYNAMIC
Only those of the Arrallin Insurrection inner team knew,knew,those,STATIVE
he was no common 'beta furry'.,was,he,STATIVE
"His silken fur, which would be tawny golden and striped with jet black bands,",be,fur,STATIVE
"was dyed perfectly to a pure black,",dyed,fur,STATIVE
and his mane trimmed and thinned,trimmed,fur,STATIVE
as to be indistinguishable from the rest of his coat.,be,mane,CANNOT_DECIDE
His eyes had been treated and darkened to a rich purple to disguise the brilliant golden yellow color,treated,eyes,DYNAMIC
"that would mark him as an Alpha Arrallin, and leader of his hive.",mark,color,DYNAMIC
"Right now, he looked like an overgrown wolf",looked,he,STATIVE
who'd learned touch-typing.,learned,wolf,DYNAMIC
The scout ship re-emerged from the hole,re-emerged,ship,DYNAMIC
- a brilliant speck emerging from a sphere of velvety blackness.,emerging,speck,DYNAMIC
"It's hail crackled across the comm,",'s,It,DYNAMIC
and Tara spun to retake her seat at the helm.,spun,crackled,DYNAMIC
"""Launch the second probe.",Launch,,CANNOT_DECIDE
Won't Central be crushed to learn,crushed,,STATIVE
that another gateway has yielded little more than a class F planet and a white dwarf system.,yielded,gateway,DYNAMIC
Level 1 and 2 staffers should prepare to be briefed,prepare,staffers,DYNAMIC
and move out.,move,staffers,CANNOT_DECIDE
This sounds,sounds,This,STATIVE
"like it's the one.""",,,STATIVE
"The distinctive whuffle of pleasure rippled through the betas on the bridge,",rippled,whuffle,DYNAMIC
"and Rakal let loose a small growl,",let,whuffle,DYNAMIC
as if to caution his charges against false hope.,caution,Rakal,CANNOT_DECIDE
"They'd scouted twenty-seven gates so far,",scouted,They,DYNAMIC
and none had turned up anything worth the Insurrection's time.,turned,They,DYNAMIC
Tara would not let giddy hopes drag them onto a rock,let,Tara,DYNAMIC
"that would spell the end for the project, and the Arrallin species.",spell,rock,DYNAMIC
