Clause,mainVerb,mainReferent,Gold
"A confederation, also known as confederacy or league,",known,confederation,STATIVE
is a union of political units for common action in relation to other units.,is,confederation,STATIVE
Usually created by treaty,created,confederations,DYNAMIC
"but often later adopting a common constitution,",adopting,later,DYNAMIC
confederations tend to be established for dealing with critical issues,tend,confederations,STATIVE
"(such as defense, foreign affairs, or a common currency), with the central government being required to provide support for all members.",required,government,STATIVE
The nature of the relationship among the states constituting a confederation varies considerably.,varies,nature,STATIVE
"Likewise, the relationship between the member states, the central government, and the distribution of powers among them is highly variable.",is,relationship,STATIVE
Some looser confederations are similar to intergovernmental organizations,are,confederations,STATIVE
and even may permit secession from the confederation.,permit,confederations,DYNAMIC
Other confederations with stricter rules may resemble federations.,resemble,confederations,STATIVE
A unitary state or federation may decentralize powers to regional or local entities in a confederal form.,decentralize,state,DYNAMIC
"In a non-political context, confederation is used to describe a type of organization",used,confederation,DYNAMIC
which consolidates authority from other autonomous (or semi-autonomous) bodies.,consolidates,type,STATIVE
Examples include sports confederations or confederations of pan-European trades unions.,include,Examples,STATIVE
"In Canada, the word confederation has an additional, unrelated meaning.",has,confederation,STATIVE
"""Confederation"" refers to the process of (or the event of) establishing or joining the Canadian federal state.",refers,Confederation,STATIVE
"In the context of the history of the indigenous peoples of the Americas, a confederacy may refer to a semi-permanent political and military alliance",refer,confederacy,STATIVE
"consisting of multiple nations (or ""tribes"", ""bands"", or ""villages"")",consisting,alliance,STATIVE
which maintained their separate leadership.,maintained,nations,STATIVE
"One of the most well-known is the Iroquois Confederacy,",is,One,STATIVE
but there were many others during different eras and locations across North America;,were,Confederacy,STATIVE
"these include the Wabanaki Confederacy, Western Confederacy, Powhatan Confederacy, Seven Nations of Canada, Pontiac's Confederacy, Illinois Confederation, Tecumseh's Confederacy, Great Sioux Nation, Blackfoot Confederacy, Iron Confederacy and Council of Three Fires.",include,these,STATIVE
== Examples ==,,,CANNOT_DECIDE
===Belgium===,,,CANNOT_DECIDE
Many scholars have proposed,proposed,=,DYNAMIC
that Belgium has some characteristics of a confederation.,has,Belgium,STATIVE
"For example, C. E. Lagasse declared",declared,Lagasse,DYNAMIC
"that Belgium was ""near the political system of a Confederation",was,Belgium,STATIVE
""" regarding the agreements between Belgian regions and communities,",regarding,system,CANNOT_DECIDE
"while Centre de recherche et d'information socio-politiques (CRISP) director Vincent de Coorebyter called Belgium ""undoubtedly a federation...[with] some aspects of a confederation"" in Le Soir.",called,socio-politiques,DYNAMIC
"Also in Le Soir, Professor Michel Quvit of the Catholic University of Leuven wrote",wrote,Quévit,DYNAMIC
"that the ""Belgian political system is already in dynamics of a Confederation"".",is,system,STATIVE
"Nevertheless, the Belgian regions and communities lack the necessary autonomy to leave the Belgian state.",lack,regions,STATIVE
"As such, the federal aspects seem to dominate.",seem,aspects,STATIVE
"Also for fiscal policy and public finances, the federal state dominates the other levels of government.",dominates,state,STATIVE
"The limited confederal aspects appear to be a meager political reflection of the profound sociological, cultural and economic differences between Flemings and Walloons (or French-speaking Belgians).",appear,aspects,STATIVE
"As an example, in the last several decades, over 95% of the Belgians have voted for political parties",voted,%,DYNAMIC
that represent voters from only one community.,represent,parties,STATIVE
Parties that advocate Belgian unity and appeal to voters of both communities systematically get only a few percent of the votes.,get,Parties,DYNAMIC
"This makes Belgium fundamentally different from federal countries like Switzerland, Canada, Germany and Australia.",makes,This,STATIVE
"In those countries, national parties get over 90% of the votes.",get,parties,DYNAMIC
"The only comparable places with Belgium are Catalonia, the Basque Country, Northern Ireland and Scotland,",are,places,STATIVE
"where there is majority voter turnout for local political parties,",is,turnout,STATIVE
while national parties draw less (sometimes much less) than half of the votes.,draw,parties,DYNAMIC
===Canada===,,,CANNOT_DECIDE
"In modern terminology, Canada is a federation and not a confederation.",is,Canada,STATIVE
