Clause,mainVerb,mainReferent,Gold
Conservatism as a political and social philosophy promotes retaining traditional social institutions in the context of the culture and civilization.,Conservatism,,STATIVE
Some conservatives seek to preserve things,seek,conservatives,STATIVE
"as they are,",are,,STATIVE
"emphasizing stability and continuity,",emphasizing,they,DYNAMIC
"while others, called reactionaries, oppose modernism",oppose,others,STATIVE
"and seek a return to ""the way things were"".",seek,,DYNAMIC
"The first established use of the term in a political context originated with Franois-Ren de Chateaubriand in 1818,",originated,use,DYNAMIC
during the period of Bourbon restoration that sought to roll back the policies of the French Revolution.,,,DYNAMIC
"The term, historically associated with right-wing politics,",associated,term,STATIVE
has since been used to describe a wide range of views.,used,term,DYNAMIC
There is no single set of policies,is,set,STATIVE
"that are universally regarded as conservative,",regarded,policies,STATIVE
because the meaning of conservatism depends on what is considered traditional in a given place and time.,depends,meaning,STATIVE
Thus conservatives from different parts of the worldeach upholding their respective traditionsmay disagree on a wide range of issues.,disagree,conservatives,STATIVE
"Edmund Burke, an 18th-century politician who opposed the French Revolution",opposed,politician,DYNAMIC
"but supported the American Revolution, is credited as one of the main theorists of conservatism in Great Britain in the 1790s.",credited,Burke,DYNAMIC
"According to Quintin Hogg, the chairman of the British Conservative Party in 1959,",According,,CANNOT_DECIDE
"""Conservatism is not so much a philosophy as an attitude, a constant force,",is,Conservatism,STATIVE
"performing a timeless function in the development of a free society,",performing,attitude,DYNAMIC
"and corresponding to a deep and permanent requirement of human nature itself.""",corresponding,attitude,STATIVE
==Development of Western conservatism==,,,CANNOT_DECIDE
===Great Britain===,=,=,CANNOT_DECIDE
"In Britain, conservative ideas (though not yet called that)",called,ideas,STATIVE
emerged in the Tory movement during the Restoration period (16601688).,emerged,ideas,DYNAMIC
Toryism supported a hierarchical society with a monarch,supported,Toryism,STATIVE
who ruled by divine right.,ruled,monarch,DYNAMIC
Tories opposed the idea,opposed,Tories,STATIVE
"that sovereignty derived from the people,",derived,sovereignty,DYNAMIC
and rejected the authority of parliament and freedom of religion.,rejected,Tories,STATIVE
"Robert Filmer's Patriarcha: or the Natural Power of Kings, published posthumously in 1680",published,Patriarcha,DYNAMIC
"but written before the English Civil War of 1642-1651,",written,Patriarcha,DYNAMIC
became accepted as the statement of their doctrine.,became,Power,DYNAMIC
"However, the Glorious Revolution of 1688 destroyed this principle to some degree by establishing a constitutional government in England,",destroyed,Revolution,DYNAMIC
leading to the hegemony of the Tory-opposed Whig ideology.,leading,,DYNAMIC
"Faced with defeat,",Faced,Tories,STATIVE
